Sample	Type	Gobal	commonPMD	CGI	LINE	LTR	SINE
ESCC_1	ESCC_Tumor	0.711422	0.633155	0.165177	0.700279	0.709008	0.809875
ESCC_2	ESCC_Tumor	0.730906	0.69634	0.123223	0.733542	0.73559	0.829196
ESCC_3	ESCC_Tumor	0.645693	0.568246	0.144797	0.623556	0.623173	0.740928
ESCC_4	ESCC_Tumor	0.667032	0.594843	0.163308	0.637336	0.65036	0.768968
ESCC_5	ESCC_Tumor	0.655384	0.562077	0.0894022	0.625653	0.630227	0.774171
ESCC_6	ESCC_Tumor	0.67236	0.640002	0.0710029	0.685472	0.689468	0.795207
ESCC_7	ESCC_Tumor	0.634433	0.565835	0.126241	0.624566	0.623116	0.741181
ESCC_8	ESCC_Tumor	0.741795	0.715593	0.13071	0.746242	0.738487	0.838024
ESCC_9	ESCC_Tumor	0.659762	0.57024	0.200616	0.639238	0.639182	0.759949
ESCC_10	ESCC_Tumor	0.780618	0.779981	0.143374	0.8157	0.806381	0.872765
ESCC_11	ESCC_Tumor	0.75184	0.738587	0.0681418	0.79228	0.78987	0.872613
ESCC_12	ESCC_Tumor	0.628002	0.538765	0.114188	0.613064	0.637085	0.759415
ESCC_13	ESCC_Tumor	0.676798	0.616602	0.0946293	0.683586	0.689757	0.806179
ESCC_14	ESCC_Tumor	0.733831	0.705858	0.16458	0.743521	0.744564	0.837787
ESCC_15	ESCC_Tumor	0.699492	0.588239	0.196017	0.658467	0.668226	0.811804
ESCC_16	ESCC_Tumor	0.695229	0.617333	0.137802	0.679905	0.678151	0.794225
ESCC_17	ESCC_Tumor	0.738396	0.668842	0.136824	0.727412	0.717519	0.837232
ESCC_19	ESCC_Tumor	0.643053	0.482401	0.131656	0.584708	0.59956	0.757001
ESCC_20	ESCC_Tumor	0.637048	0.541139	0.148575	0.608581	0.599287	0.744889
ESCC_21	ESCC_Tumor	0.665362	0.6011	0.120541	0.652458	0.643334	0.765402
ESCC_22	ESCC_Tumor	0.656282	0.562475	0.152237	0.636461	0.609293	0.759839
ESCC_Nonmalignant_1	ESCC_Nonmalignant	0.774213	0.768458	0.117021	0.806101	0.797153	0.880767
ESCC_Nonmalignant_2	ESCC_Nonmalignant	0.756956	0.756535	0.104191	0.796535	0.788278	0.873644
ESCC_Nonmalignant_3	ESCC_Nonmalignant	0.751711	0.728691	0.127276	0.762805	0.753439	0.84586
ESCC_Nonmalignant_53F	ESCC_Nonmalignant	0.763954	0.74623	0.101014	0.774976	0.768744	0.865391
ESCC_Nonmalignant_54M	ESCC_Nonmalignant	0.756336	0.74146	0.0796981	0.778743	0.768571	0.863711
GEJ_1	EAC/GEJ_Tumor	0.78488	0.757661	0.301339	0.779756	0.775305	0.86021
GEJ_2	EAC/GEJ_Tumor	0.664974	0.562564	0.301525	0.616498	0.620142	0.78285
GEJ_3	EAC/GEJ_Tumor	0.743437	0.700521	0.215366	0.732974	0.726315	0.834775
GEJ_4	EAC/GEJ_Tumor	0.686422	0.601141	0.149339	0.664774	0.661928	0.783624
GEJ_5	EAC/GEJ_Tumor	0.621606	0.510449	0.3676	0.560737	0.560946	0.742591
GEJ_6	EAC/GEJ_Tumor	0.66157	0.569443	0.232515	0.623441	0.622229	0.756532
GEJ_7	EAC/GEJ_Tumor	0.748493	0.698312	0.309424	0.729069	0.723877	0.838691
EAC_1	EAC/GEJ_Tumor	0.547394	0.388087	0.137201	0.507318	0.490012	0.664043
EAC_2	EAC/GEJ_Tumor	0.741245	0.685676	0.170447	0.719998	0.717079	0.845344
EAC_3	EAC/GEJ_Tumor	0.686993	0.616495	0.192216	0.659325	0.651396	0.802041
EAC_4	EAC/GEJ_Tumor	0.786494	0.751977	0.170033	0.783219	0.778821	0.881421
EAC_6	EAC/GEJ_Tumor	0.700602	0.650777	0.23017	0.685767	0.679319	0.802954
GEJ_Nonmalignant_1	GEJ_Nonmalignant	0.791909	0.763762	0.129304	0.798311	0.786804	0.888435
GEJ_Nonmalignant_2	GEJ_Nonmalignant	0.797612	0.774177	0.142451	0.808332	0.797344	0.890669
GEJ_Nonmalignant_3	GEJ_Nonmalignant	0.797181	0.771588	0.221601	0.790345	0.781261	0.879963
GEJ_Nonmalignant_4	GEJ_Nonmalignant	0.779466	0.737752	0.215576	0.764049	0.757378	0.87127
GEJ_Nonmalignant_5	GEJ_Nonmalignant	0.763217	0.71839	0.252845	0.744728	0.736457	0.853471
GEJ_Nonmalignant_6	GEJ_Nonmalignant	0.75267	0.693779	0.221407	0.729273	0.723679	0.850491
GEJ_Nonmalignant_7	GEJ_Nonmalignant	0.801826	0.775906	0.237028	0.795398	0.786414	0.88205
