Sample	Type	SharedPMDs	EAC_specificPMDs	ESCC_specificPMDs	SharedHMDs
EAC_1	EAC/GEJ_Tumor	0.270803	0.318581	0.565312	0.690393
EAC_2	EAC/GEJ_Tumor	0.482935	0.620672	0.696266	0.759824
EAC_3	EAC/GEJ_Tumor	0.426185	0.477171	0.599153	0.698778
EAC_4	EAC/GEJ_Tumor	0.5942	0.662123	0.74465	0.794405
EAC_6	EAC/GEJ_Tumor	0.4715	0.538405	0.599825	0.690049
ESCC_1	ESCC_Tumor	0.463366	0.743935	0.628969	0.76043
ESCC_10	ESCC_Tumor	0.681031	0.753075	0.699989	0.772229
ESCC_11	ESCC_Tumor	0.614063	0.770041	0.634077	0.796384
ESCC_12	ESCC_Tumor	0.399104	0.659301	0.406166	0.708399
ESCC_13	ESCC_Tumor	0.466486	0.676782	0.47617	0.735836
ESCC_14	ESCC_Tumor	0.567825	0.686636	0.592346	0.745846
ESCC_15	ESCC_Tumor	0.381558	0.692011	0.50382	0.795145
ESCC_16	ESCC_Tumor	0.459841	0.700093	0.438969	0.757309
ESCC_17	ESCC_Tumor	0.52111	0.697902	0.548139	0.786943
ESCC_19	ESCC_Tumor	0.302858	0.716201	0.323479	0.767691
ESCC_2	ESCC_Tumor	0.541243	0.663845	0.624849	0.738677
ESCC_20	ESCC_Tumor	0.350862	0.629323	0.373457	0.712346
ESCC_21	ESCC_Tumor	0.435225	0.594569	0.489797	0.689534
ESCC_22	ESCC_Tumor	0.34299	0.625119	0.412078	0.747475
ESCC_3	ESCC_Tumor	0.426963	0.572376	0.467264	0.684499
ESCC_4	ESCC_Tumor	0.425624	0.597275	0.48803	0.68302
ESCC_5	ESCC_Tumor	0.393533	0.551669	0.491894	0.72928
ESCC_6	ESCC_Tumor	0.46569	0.592408	0.537387	0.690477
ESCC_7	ESCC_Tumor	0.405939	0.559673	0.451164	0.645504
ESCC_8	ESCC_Tumor	0.567303	0.671203	0.622676	0.722305
ESCC_9	ESCC_Tumor	0.427139	0.665451	0.454903	0.737606
ESCC_Nonmalignant_1	ESCC_Nonmalignant	0.629457	0.730477	0.683995	0.775487
ESCC_Nonmalignant_2	ESCC_Nonmalignant	0.618189	0.691282	0.668612	0.761856
ESCC_Nonmalignant_3	ESCC_Nonmalignant	0.558882	0.670734	0.618389	0.73871
ESCC_Nonmalignant_53F	ESCC_Nonmalignant	0.593511	0.692946	0.650263	0.750909
ESCC_Nonmalignant_54M	ESCC_Nonmalignant	0.58458	0.701287	0.640058	0.746939
GEJ_1	EAC/GEJ_Tumor	0.607286	0.631166	0.715995	0.766399
GEJ_2	EAC/GEJ_Tumor	0.307592	0.358289	0.596847	0.711618
GEJ_3	EAC/GEJ_Tumor	0.521011	0.586826	0.672533	0.72618
GEJ_4	EAC/GEJ_Tumor	0.469804	0.536409	0.656655	0.722771
GEJ_5	EAC/GEJ_Tumor	0.266549	0.337546	0.560427	0.647446
GEJ_6	EAC/GEJ_Tumor	0.423821	0.499387	0.654121	0.705077
GEJ_7	EAC/GEJ_Tumor	0.507859	0.561879	0.673548	0.751996
GEJ_Nonmalignant_1	GEJ_Nonmalignant	0.610523	0.67311	0.71639	0.775668
GEJ_Nonmalignant_2	GEJ_Nonmalignant	0.625545	0.685912	0.740648	0.780232
GEJ_Nonmalignant_3	GEJ_Nonmalignant	0.638257	0.682163	0.701272	0.758287
GEJ_Nonmalignant_4	GEJ_Nonmalignant	0.560347	0.630668	0.698336	0.746657
GEJ_Nonmalignant_5	GEJ_Nonmalignant	0.538599	0.596853	0.637985	0.734298
GEJ_Nonmalignant_6	GEJ_Nonmalignant	0.503052	0.584594	0.6668	0.739408
GEJ_Nonmalignant_7	GEJ_Nonmalignant	0.641588	0.683713	0.706145	0.76489
