Sample	Type	Mutation
LP2000105-DNA_A01_vs_LP2000102-DNA_A01	EAC_specificPMDs	9.85144834777687
LP2000330-DNA_A01_vs_LP2000316-DNA_A01	EAC_specificPMDs	5.66603032596739
LP2000331-DNA_A01_vs_LP2000322-DNA_A01	EAC_specificPMDs	5.14492096752075
LP6005334-DNA_A02_vs_LP6005333-DNA_A02	EAC_specificPMDs	5.7983755598586
LP6005334-DNA_A03_vs_LP6005333-DNA_A03	EAC_specificPMDs	7.59330779450812
LP6005334-DNA_B02_vs_LP6005333-DNA_B02	EAC_specificPMDs	8.99120432748401
LP6005334-DNA_C02_vs_LP6005333-DNA_C02	EAC_specificPMDs	3.01085407102501
LP6005334-DNA_D03_vs_LP6005333-DNA_D03	EAC_specificPMDs	3.07702668797061
LP6005334-DNA_E02_vs_LP6005333-DNA_E02	EAC_specificPMDs	1.89419116006793
LP6005334-DNA_E03_vs_LP6005333-DNA_E03	EAC_specificPMDs	8.27157711820056
LP6005334-DNA_F02_vs_LP6005333-DNA_F02	EAC_specificPMDs	13.1435360408207
LP6005334-DNA_F03_vs_LP6005333-DNA_F03	EAC_specificPMDs	0.959502945711265
LP6005334-DNA_G02_vs_LP6005333-DNA_G02	EAC_specificPMDs	11.6546521595446
LP6005334-DNA_G03_vs_LP6005333-DNA_G03	EAC_specificPMDs	4.24331906163689
LP6005334-DNA_H01_vs_LP6005333-DNA_H01	EAC_specificPMDs	10.6207050197695
LP6005334-DNA_H02_vs_LP6005333-DNA_H02	EAC_specificPMDs	15.178344011898
LP6005334-DNA_H03_vs_LP6005333-DNA_H03	EAC_specificPMDs	13.7721759018039
LP6005409-DNA_A02_vs_LP6005408-DNA_A02	EAC_specificPMDs	4.59072530060131
LP6005409-DNA_A04_vs_LP6005408-DNA_A04	EAC_specificPMDs	7.14664263012529
LP6005409-DNA_B01_vs_LP6005408-DNA_B01	EAC_specificPMDs	25.6336174893035
LP6005409-DNA_B04_vs_LP6005408-DNA_B04	EAC_specificPMDs	4.54936741501031
LP6005409-DNA_C01_vs_LP6005408-DNA_C01	EAC_specificPMDs	3.15147088203441
LP6005409-DNA_C02_vs_LP6005408-DNA_C02	EAC_specificPMDs	1.96036377701353
LP6005409-DNA_D01_vs_LP6005408-DNA_D01	EAC_specificPMDs	15.1700724347798
LP6005409-DNA_E03_vs_LP6005408-DNA_E03	EAC_specificPMDs	12.2584772891732
LP6005409-DNA_F01_vs_LP6005408-DNA_F01	EAC_specificPMDs	8.05651611312735
LP6005409-DNA_F02_vs_LP6005408-DNA_F02	EAC_specificPMDs	5.72393136579479
LP6005409-DNA_F03_vs_LP6005408-DNA_F03	EAC_specificPMDs	1.81147538888592
LP6005409-DNA_H03_vs_LP6005408-DNA_H03	EAC_specificPMDs	3.70566654895385
LP6005496-DNA_A01_vs_LP6005408-DNA_B03	EAC_specificPMDs	15.3603187084984
LP6005500-DNA_A01_vs_LP6005499-DNA_A01	EAC_specificPMDs	4.3839358726463
LP6005500-DNA_A02_vs_LP6005499-DNA_A02	EAC_specificPMDs	10.0334230443773
LP6005500-DNA_A03_vs_LP6005499-DNA_A03	EAC_specificPMDs	5.02911888786594
LP6005500-DNA_B01_vs_LP6005499-DNA_B01	EAC_specificPMDs	5.96380710222261
LP6005500-DNA_C01_vs_LP6005499-DNA_C01	EAC_specificPMDs	4.23504748451869
LP6005500-DNA_C02_vs_LP6005499-DNA_C02	EAC_specificPMDs	8.27157711820056
LP6005500-DNA_E01_vs_LP6005499-DNA_E01	EAC_specificPMDs	4.4335653353555
LP6005500-DNA_E02_vs_LP6005499-DNA_E02	EAC_specificPMDs	15.8069838728813
LP6005500-DNA_F01_vs_LP6005499-DNA_F01	EAC_specificPMDs	7.3120741724893
LP6005500-DNA_G01_vs_LP6005499-DNA_G01	EAC_specificPMDs	13.5571148967307
LP6005500-DNA_G02_vs_LP6005499-DNA_G02	EAC_specificPMDs	1.59641438381271
LP6005500-DNA_G03_vs_LP6005499-DNA_G03	EAC_specificPMDs	8.58589704869219
LP6005500-DNA_H03_vs_LP6005499-DNA_H03	EAC_specificPMDs	7.2955310182529
LP6005690-DNA_A02_vs_LP6005689-DNA_A02	EAC_specificPMDs	4.94640311668394
LP6005690-DNA_B02_vs_LP6005689-DNA_B02	EAC_specificPMDs	20.1495618599366
LP6005690-DNA_D01_vs_LP6005689-DNA_D01	EAC_specificPMDs	6.36084280389623
LP6005690-DNA_D02_vs_LP6005689-DNA_D02	EAC_specificPMDs	12.415637254419
LP6005690-DNA_D03_vs_LP6005689-DNA_D03	EAC_specificPMDs	11.505763771417
LP6005690-DNA_E01_vs_LP6005689-DNA_E01	EAC_specificPMDs	11.7621826620812
LP6005690-DNA_E02_vs_LP6005689-DNA_E02	EAC_specificPMDs	0.00827157711820056
LP6005690-DNA_E03_vs_LP6005689-DNA_E03	EAC_specificPMDs	4.74788526584712
LP6005690-DNA_F02_vs_LP6005689-DNA_F02	EAC_specificPMDs	14.9467398525884
LP6005690-DNA_F03_vs_LP6005689-DNA_F03	EAC_specificPMDs	5.96380710222261
LP6005690-DNA_G01_vs_LP6005689-DNA_G01	EAC_specificPMDs	8.39565077497357
LP6005690-DNA_G02_vs_LP6005689-DNA_G02	EAC_specificPMDs	8.11441715295475
LP6005690-DNA_H01_vs_LP6005689-DNA_H01	EAC_specificPMDs	14.2188410661868
LP6005690-DNA_H02_vs_LP6005689-DNA_H02	EAC_specificPMDs	18.1230254659774
LP6005935-DNA_A01_vs_LP6005979-DNA_A01	EAC_specificPMDs	15.7738975644085
LP6005935-DNA_A02_vs_LP6005934-DNA_A02	EAC_specificPMDs	10.0582377757319
LP6005935-DNA_A03_vs_LP6005934-DNA_A03	EAC_specificPMDs	3.97862859385447
LP6005935-DNA_B01_vs_LP6005934-DNA_B01	EAC_specificPMDs	5.13664939040255
LP6005935-DNA_B02_vs_LP6005934-DNA_B02	EAC_specificPMDs	11.0177407214432
LP6005935-DNA_B03_vs_LP6005934-DNA_B03	EAC_specificPMDs	15.4182197483259
LP6005935-DNA_B04_vs_LP6005934-DNA_B04	EAC_specificPMDs	6.92331004793387
LP6005935-DNA_C01_vs_LP6005934-DNA_C01	EAC_specificPMDs	64.501758367728
LP6005935-DNA_C02_vs_LP6005979-DNA_B01	EAC_specificPMDs	10.6372481740059
