gene	Expression	Type	Domain
ENSG00000201788	-3.30389783180405	EAC_Tumor	EAC_specificPMDs
ENSG00000280038	-3.26834130555974	EAC_Tumor	EAC_specificPMDs
ENSG00000166634	-2.75687146456769	EAC_Tumor	EAC_specificPMDs
ENSG00000167768	-1.90854396170068	EAC_Tumor	EAC_specificPMDs
ENSG00000250929	-3.0911311973284	EAC_Tumor	EAC_specificPMDs
ENSG00000231062	-2.37620025538999	EAC_Tumor	EAC_specificPMDs
ENSG00000129455	0.438235873889446	EAC_Tumor	EAC_specificPMDs
ENSG00000250594	-3.25689436618738	EAC_Tumor	EAC_specificPMDs
ENSG00000129451	3.2490311567105	EAC_Tumor	EAC_specificPMDs
ENSG00000250420	-2.50280401157957	EAC_Tumor	EAC_specificPMDs
ENSG00000030304	-2.41399917596836	EAC_Tumor	EAC_specificPMDs
ENSG00000248548	-3.25620478510305	EAC_Tumor	EAC_specificPMDs
ENSG00000228045	-3.20112004531231	EAC_Tumor	EAC_specificPMDs
ENSG00000177519	-2.13795884351248	EAC_Tumor	EAC_specificPMDs
ENSG00000106571	-0.471848044840659	EAC_Tumor	EAC_specificPMDs
ENSG00000100842	0.347451870565118	EAC_Tumor	EAC_specificPMDs
ENSG00000241757	-3.29464845438122	EAC_Tumor	EAC_specificPMDs
ENSG00000249916	-2.23028571024204	EAC_Tumor	EAC_specificPMDs
ENSG00000249309	-3.1075099703608	EAC_Tumor	EAC_specificPMDs
ENSG00000236461	-3.27302956558457	EAC_Tumor	EAC_specificPMDs
ENSG00000197919	-2.99255185452755	EAC_Tumor	EAC_specificPMDs
ENSG00000057149	0.589710338683827	EAC_Tumor	EAC_specificPMDs
ENSG00000271419	-3.300262519399	EAC_Tumor	EAC_specificPMDs
ENSG00000241098	-3.22766222616417	EAC_Tumor	EAC_specificPMDs
ENSG00000235141	-2.88775288174335	EAC_Tumor	EAC_specificPMDs
ENSG00000276699	-1.91312787736954	EAC_Tumor	EAC_specificPMDs
ENSG00000277770	-3.17864796992079	EAC_Tumor	EAC_specificPMDs
ENSG00000234740	-2.84546597126424	EAC_Tumor	EAC_specificPMDs
ENSG00000250180	-3.22216637931324	EAC_Tumor	EAC_specificPMDs
ENSG00000235593	-3.14196933693095	EAC_Tumor	EAC_specificPMDs
ENSG00000232573	5.44882975801569	EAC_Tumor	EAC_specificPMDs
ENSG00000147509	-1.99476235580181	EAC_Tumor	EAC_specificPMDs
ENSG00000163221	0.913430397585574	EAC_Tumor	EAC_specificPMDs
ENSG00000006377	-2.30178496541947	EAC_Tumor	EAC_specificPMDs
ENSG00000250066	-3.28131874450976	EAC_Tumor	EAC_specificPMDs
ENSG00000207323	-3.11419738360285	EAC_Tumor	EAC_specificPMDs
ENSG00000118113	-2.73346241533588	EAC_Tumor	EAC_specificPMDs
ENSG00000258121	-3.07160541512694	EAC_Tumor	EAC_specificPMDs
ENSG00000218180	-2.26256597510265	EAC_Tumor	EAC_specificPMDs
ENSG00000205636	-3.30503949488562	EAC_Tumor	EAC_specificPMDs
ENSG00000240477	-2.48723440612018	EAC_Tumor	EAC_specificPMDs
ENSG00000232752	-3.0804542480217	EAC_Tumor	EAC_specificPMDs
ENSG00000100302	0.784375441032884	EAC_Tumor	EAC_specificPMDs
ENSG00000227252	-1.543500328493	EAC_Tumor	EAC_specificPMDs
ENSG00000258690	-3.16534650180026	EAC_Tumor	EAC_specificPMDs
ENSG00000260239	-2.40719299850033	EAC_Tumor	EAC_specificPMDs
ENSG00000137726	-0.144536193637536	EAC_Tumor	EAC_specificPMDs
ENSG00000113657	2.97103617254019	EAC_Tumor	EAC_specificPMDs
ENSG00000237000	-3.15938127696561	EAC_Tumor	EAC_specificPMDs
ENSG00000132429	-1.96469426003857	EAC_Tumor	EAC_specificPMDs
ENSG00000237691	-2.9670462004889	EAC_Tumor	EAC_specificPMDs
ENSG00000226663	-3.18703181567075	EAC_Tumor	EAC_specificPMDs
ENSG00000276229	-3.32192809488736	EAC_Tumor	EAC_specificPMDs
ENSG00000223485	-1.93103771550147	EAC_Tumor	EAC_specificPMDs
ENSG00000220494	-2.37419053870689	EAC_Tumor	EAC_specificPMDs
ENSG00000251770	-3.26142298515651	EAC_Tumor	EAC_specificPMDs
ENSG00000115138	-1.83055542180127	EAC_Tumor	EAC_specificPMDs
ENSG00000232382	-3.28807596898311	EAC_Tumor	EAC_specificPMDs
ENSG00000253777	-3.23750736077873	EAC_Tumor	EAC_specificPMDs
ENSG00000226186	-2.30081695969138	EAC_Tumor	EAC_specificPMDs
ENSG00000250062	-3.15129727759841	EAC_Tumor	EAC_specificPMDs
ENSG00000227879	-2.41316681805751	EAC_Tumor	EAC_specificPMDs
ENSG00000270835	-3.16789828349726	EAC_Tumor	EAC_specificPMDs
ENSG00000238271	-0.73061814579638	EAC_Tumor	EAC_specificPMDs
ENSG00000279737	-3.28023274065016	EAC_Tumor	EAC_specificPMDs
ENSG00000227471	-1.87527282192243	EAC_Tumor	EAC_specificPMDs
ENSG00000251108	-3.15206176299624	EAC_Tumor	EAC_specificPMDs
ENSG00000232989	-3.25754721393498	EAC_Tumor	EAC_specificPMDs
ENSG00000112799	0.486311113231729	EAC_Tumor	EAC_specificPMDs
ENSG00000250320	-2.0059378406878	EAC_Tumor	EAC_specificPMDs
ENSG00000258942	-2.8972863283517	EAC_Tumor	EAC_specificPMDs
ENSG00000199222	-3.24409989335095	EAC_Tumor	EAC_specificPMDs
ENSG00000244159	-3.04142333842216	EAC_Tumor	EAC_specificPMDs
ENSG00000202023	-3.24644974980194	EAC_Tumor	EAC_specificPMDs
ENSG00000169035	2.1024619455197	EAC_Tumor	EAC_specificPMDs
ENSG00000275591	-3.02176686581609	EAC_Tumor	EAC_specificPMDs
ENSG00000215016	-0.936019191593179	EAC_Tumor	EAC_specificPMDs
ENSG00000238503	-3.28127747508577	EAC_Tumor	EAC_specificPMDs
ENSG00000131738	-3.12935933804387	EAC_Tumor	EAC_specificPMDs
ENSG00000201025	-3.20951330184875	EAC_Tumor	EAC_specificPMDs
ENSG00000252086	-3.32192809488736	EAC_Tumor	EAC_specificPMDs
ENSG00000231560	-3.09251559575131	EAC_Tumor	EAC_specificPMDs
ENSG00000236427	-2.42191014754961	EAC_Tumor	EAC_specificPMDs
ENSG00000275128	-3.32192809488736	EAC_Tumor	EAC_specificPMDs
ENSG00000229754	-1.30388194152868	EAC_Tumor	EAC_specificPMDs
ENSG00000225869	-2.66278906171497	EAC_Tumor	EAC_specificPMDs
ENSG00000218490	-3.08251747458474	EAC_Tumor	EAC_specificPMDs
ENSG00000261651	-3.03749710677462	EAC_Tumor	EAC_specificPMDs
ENSG00000259869	-2.51655682824862	EAC_Tumor	EAC_specificPMDs
ENSG00000223903	-3.1243261606184	EAC_Tumor	EAC_specificPMDs
ENSG00000224351	-3.28689049704461	EAC_Tumor	EAC_specificPMDs
ENSG00000257668	-3.16618153476787	EAC_Tumor	EAC_specificPMDs
ENSG00000226590	-3.27587125633931	EAC_Tumor	EAC_specificPMDs
ENSG00000249381	-3.24930603846211	EAC_Tumor	EAC_specificPMDs
ENSG00000272597	-2.89355538701837	EAC_Tumor	EAC_specificPMDs
ENSG00000270712	-3.26172623422624	EAC_Tumor	EAC_specificPMDs
ENSG00000201816	-3.22911465884029	EAC_Tumor	EAC_specificPMDs
ENSG00000152595	-3.09292314840431	EAC_Tumor	EAC_specificPMDs
ENSG00000231460	-3.30796927965262	EAC_Tumor	EAC_specificPMDs
ENSG00000253506	0.701325643868625	EAC_Tumor	EAC_specificPMDs
ENSG00000230453	-1.78956777906012	EAC_Tumor	EAC_specificPMDs
ENSG00000252757	-3.01535365768032	EAC_Tumor	EAC_specificPMDs
ENSG00000197651	-3.30512262918341	EAC_Tumor	EAC_specificPMDs
ENSG00000225342	-2.62908925761557	EAC_Tumor	EAC_specificPMDs
ENSG00000138483	-3.11376535204987	EAC_Tumor	EAC_specificPMDs
ENSG00000226953	-2.49710007263073	EAC_Tumor	EAC_specificPMDs
ENSG00000243903	-3.3194082421	EAC_Tumor	EAC_specificPMDs
ENSG00000233143	-3.14102034418518	EAC_Tumor	EAC_specificPMDs
ENSG00000279447	-2.50834457773422	EAC_Tumor	EAC_specificPMDs
ENSG00000239263	-2.91175683948749	EAC_Tumor	EAC_specificPMDs
ENSG00000200701	-2.97651271006929	EAC_Tumor	EAC_specificPMDs
ENSG00000236510	-2.64327435893116	EAC_Tumor	EAC_specificPMDs
ENSG00000071967	3.27200469942097	EAC_Tumor	EAC_specificPMDs
ENSG00000169253	0.783033831722425	EAC_Tumor	EAC_specificPMDs
ENSG00000164651	-2.02899569212037	EAC_Tumor	EAC_specificPMDs
ENSG00000233292	-2.94655433581719	EAC_Tumor	EAC_specificPMDs
ENSG00000248423	-3.10320695781564	EAC_Tumor	EAC_specificPMDs
ENSG00000267325	-2.52665755846115	EAC_Tumor	EAC_specificPMDs
ENSG00000255377	-3.18502401938179	EAC_Tumor	EAC_specificPMDs
ENSG00000106278	-0.76399492005027	EAC_Tumor	EAC_specificPMDs
ENSG00000130508	2.7190581319823	EAC_Tumor	EAC_specificPMDs
ENSG00000225079	-1.65335113456876	EAC_Tumor	EAC_specificPMDs
ENSG00000200224	-2.83238168696209	EAC_Tumor	EAC_specificPMDs
ENSG00000226986	-0.275727854190649	EAC_Tumor	EAC_specificPMDs
ENSG00000250958	-3.00648262471342	EAC_Tumor	EAC_specificPMDs
ENSG00000148680	-2.28704980995223	EAC_Tumor	EAC_specificPMDs
ENSG00000267919	-3.03141627842401	EAC_Tumor	EAC_specificPMDs
ENSG00000258754	-2.75511920702741	EAC_Tumor	EAC_specificPMDs
ENSG00000249621	-3.10629981965119	EAC_Tumor	EAC_specificPMDs
ENSG00000257844	-3.29832620217448	EAC_Tumor	EAC_specificPMDs
ENSG00000170323	-0.961329746752467	EAC_Tumor	EAC_specificPMDs
ENSG00000266760	-3.3047295747996	EAC_Tumor	EAC_specificPMDs
ENSG00000229143	-3.25581247513718	EAC_Tumor	EAC_specificPMDs
ENSG00000235337	-2.78545036589873	EAC_Tumor	EAC_specificPMDs
ENSG00000238107	-2.36585716372622	EAC_Tumor	EAC_specificPMDs
ENSG00000214121	-0.602559901081674	EAC_Tumor	EAC_specificPMDs
ENSG00000232286	-3.30771951786305	EAC_Tumor	EAC_specificPMDs
ENSG00000181965	-3.30160162352757	EAC_Tumor	EAC_specificPMDs
ENSG00000265885	-3.26537384089858	EAC_Tumor	EAC_specificPMDs
ENSG00000241741	0.864706077383746	EAC_Tumor	EAC_specificPMDs
ENSG00000165685	-2.03213601762924	EAC_Tumor	EAC_specificPMDs
ENSG00000266356	-2.71209758276808	EAC_Tumor	EAC_specificPMDs
ENSG00000251258	-3.05214581466394	EAC_Tumor	EAC_specificPMDs
ENSG00000203785	0.703882212162816	EAC_Tumor	EAC_specificPMDs
ENSG00000254931	-3.1545459470103	EAC_Tumor	EAC_specificPMDs
ENSG00000244358	-3.24738116946067	EAC_Tumor	EAC_specificPMDs
ENSG00000228141	-3.14353262790668	EAC_Tumor	EAC_specificPMDs
ENSG00000224743	-2.97237135758146	EAC_Tumor	EAC_specificPMDs
ENSG00000250890	-3.16883449997395	EAC_Tumor	EAC_specificPMDs
ENSG00000241220	-2.88672329271698	EAC_Tumor	EAC_specificPMDs
ENSG00000274709	-3.24250173974811	EAC_Tumor	EAC_specificPMDs
ENSG00000252908	-2.71839396591577	EAC_Tumor	EAC_specificPMDs
ENSG00000279881	-3.01506679784591	EAC_Tumor	EAC_specificPMDs
ENSG00000256285	-3.29611973942562	EAC_Tumor	EAC_specificPMDs
ENSG00000250806	-3.26859071201288	EAC_Tumor	EAC_specificPMDs
ENSG00000219790	-2.80977781654814	EAC_Tumor	EAC_specificPMDs
ENSG00000251975	-3.30716279237522	EAC_Tumor	EAC_specificPMDs
ENSG00000259018	-3.32192809488736	EAC_Tumor	EAC_specificPMDs
ENSG00000227920	-3.10187228873885	EAC_Tumor	EAC_specificPMDs
ENSG00000207559	-3.15697831260036	EAC_Tumor	EAC_specificPMDs
ENSG00000243795	-3.04529210676501	EAC_Tumor	EAC_specificPMDs
ENSG00000278130	-3.08967522003937	EAC_Tumor	EAC_specificPMDs
ENSG00000260163	-3.21823532932458	EAC_Tumor	EAC_specificPMDs
ENSG00000253851	-3.32192809488736	EAC_Tumor	EAC_specificPMDs
ENSG00000277592	-3.22500300153725	EAC_Tumor	EAC_specificPMDs
ENSG00000271252	-2.78507704928039	EAC_Tumor	EAC_specificPMDs
ENSG00000272639	-3.32192809488736	EAC_Tumor	EAC_specificPMDs
ENSG00000218730	-3.11603744835284	EAC_Tumor	EAC_specificPMDs
ENSG00000213717	-2.44060299487628	EAC_Tumor	EAC_specificPMDs
ENSG00000199450	-3.32192809488736	EAC_Tumor	EAC_specificPMDs
ENSG00000249150	-3.2649253923384	EAC_Tumor	EAC_specificPMDs
ENSG00000241665	-3.19637956660702	EAC_Tumor	EAC_specificPMDs
ENSG00000253892	-3.29943172419518	EAC_Tumor	EAC_specificPMDs
ENSG00000222952	-3.08748159606819	EAC_Tumor	EAC_specificPMDs
ENSG00000212499	-3.03128115832227	EAC_Tumor	EAC_specificPMDs
ENSG00000222302	-2.4332101953615	EAC_Tumor	EAC_specificPMDs
ENSG00000232692	-2.87150532840319	EAC_Tumor	EAC_specificPMDs
ENSG00000212485	-3.23190353694873	EAC_Tumor	EAC_specificPMDs
ENSG00000227769	-2.98400358871073	EAC_Tumor	EAC_specificPMDs
ENSG00000281327	-2.70869821118532	EAC_Tumor	EAC_specificPMDs
ENSG00000276706	-3.08981061159679	EAC_Tumor	EAC_specificPMDs
ENSG00000222496	-3.27739808953973	EAC_Tumor	EAC_specificPMDs
ENSG00000258895	-1.67477196065822	EAC_Tumor	EAC_specificPMDs
ENSG00000234152	-1.30174031507559	EAC_Tumor	EAC_specificPMDs
ENSG00000259724	-3.21071737851237	EAC_Tumor	EAC_specificPMDs
ENSG00000187987	-2.59981390070771	EAC_Tumor	EAC_specificPMDs
ENSG00000201523	-3.18790834048681	EAC_Tumor	EAC_specificPMDs
ENSG00000236268	-2.96752224841523	EAC_Tumor	EAC_specificPMDs
ENSG00000264525	-3.05615028185644	EAC_Tumor	EAC_specificPMDs
ENSG00000251756	-2.82690692228978	EAC_Tumor	EAC_specificPMDs
ENSG00000232883	-1.08543486094384	EAC_Tumor	EAC_specificPMDs
ENSG00000234488	-0.950192245072234	EAC_Tumor	EAC_specificPMDs
ENSG00000228730	-3.28385946607028	EAC_Tumor	EAC_specificPMDs
ENSG00000222740	-3.27181394495558	EAC_Tumor	EAC_specificPMDs
ENSG00000259511	-2.64163006158995	EAC_Tumor	EAC_specificPMDs
ENSG00000248748	-3.30688302960554	EAC_Tumor	EAC_specificPMDs
ENSG00000212379	-3.30759334547995	EAC_Tumor	EAC_specificPMDs
ENSG00000219135	-1.85142024032005	EAC_Tumor	EAC_specificPMDs
ENSG00000214819	-3.31038877370931	EAC_Tumor	EAC_specificPMDs
ENSG00000232292	-3.12568187101459	EAC_Tumor	EAC_specificPMDs
ENSG00000224595	-3.26832602114171	EAC_Tumor	EAC_specificPMDs
ENSG00000251223	-3.16890376311671	EAC_Tumor	EAC_specificPMDs
ENSG00000226254	-3.05365596190784	EAC_Tumor	EAC_specificPMDs
ENSG00000163207	-0.632955226247858	EAC_Tumor	EAC_specificPMDs
ENSG00000145824	4.51655905028372	EAC_Tumor	EAC_specificPMDs
ENSG00000231810	-3.26153859901728	EAC_Tumor	EAC_specificPMDs
ENSG00000219776	-2.7120920750546	EAC_Tumor	EAC_specificPMDs
ENSG00000258552	-3.23219075178213	EAC_Tumor	EAC_specificPMDs
ENSG00000279166	-2.91438508338695	EAC_Tumor	EAC_specificPMDs
ENSG00000250622	-3.14918655457531	EAC_Tumor	EAC_specificPMDs
ENSG00000227770	-1.62955583556566	EAC_Tumor	EAC_specificPMDs
ENSG00000263567	-3.03601446588151	EAC_Tumor	EAC_specificPMDs
ENSG00000231991	3.80135242340225	EAC_Tumor	EAC_specificPMDs
ENSG00000257164	-3.27691752426662	EAC_Tumor	EAC_specificPMDs
ENSG00000223568	-3.11614989368682	EAC_Tumor	EAC_specificPMDs
ENSG00000252487	-3.06464752027709	EAC_Tumor	EAC_specificPMDs
ENSG00000259692	-1.72123201139412	EAC_Tumor	EAC_specificPMDs
ENSG00000232759	-2.59501336592117	EAC_Tumor	EAC_specificPMDs
ENSG00000006059	-2.9386858978907	EAC_Tumor	EAC_specificPMDs
ENSG00000179428	-2.79005925326358	EAC_Tumor	EAC_specificPMDs
ENSG00000232305	-3.19480915797453	EAC_Tumor	EAC_specificPMDs
ENSG00000267603	-3.13384192304343	EAC_Tumor	EAC_specificPMDs
ENSG00000201209	-3.12839836113276	EAC_Tumor	EAC_specificPMDs
ENSG00000238721	-2.88305350100204	EAC_Tumor	EAC_specificPMDs
ENSG00000226693	-3.28976843584176	EAC_Tumor	EAC_specificPMDs
ENSG00000255815	-0.926864323974713	EAC_Tumor	EAC_specificPMDs
ENSG00000113739	0.0730888133334	EAC_Tumor	EAC_specificPMDs
ENSG00000281769	-3.2644391596551	EAC_Tumor	EAC_specificPMDs
ENSG00000137975	-0.344907777209668	EAC_Tumor	EAC_specificPMDs
ENSG00000234025	-3.23655679281951	EAC_Tumor	EAC_specificPMDs
ENSG00000203489	-2.60896116846826	EAC_Tumor	EAC_specificPMDs
ENSG00000152583	4.80581504955867	EAC_Tumor	EAC_specificPMDs
ENSG00000200222	-3.31355554251979	EAC_Tumor	EAC_specificPMDs
ENSG00000227400	-2.87475471281897	EAC_Tumor	EAC_specificPMDs
ENSG00000240052	-2.39383707847056	EAC_Tumor	EAC_specificPMDs
ENSG00000250304	-3.22369631633133	EAC_Tumor	EAC_specificPMDs
ENSG00000267597	-3.23926265237642	EAC_Tumor	EAC_specificPMDs
ENSG00000226397	-3.08352516993359	EAC_Tumor	EAC_specificPMDs
