gene	Expression	Type	Domain
ENSG000002017881	-3.08978234628834	ESCC_Tumor	EAC_specificPMDs
ENSG000002800381	-3.24238877265774	ESCC_Tumor	EAC_specificPMDs
ENSG000001666341	-1.11044080471812	ESCC_Tumor	EAC_specificPMDs
ENSG000001677681	2.39427367526506	ESCC_Tumor	EAC_specificPMDs
ENSG000002509291	-2.16754516864055	ESCC_Tumor	EAC_specificPMDs
ENSG000002310621	-2.07781593753675	ESCC_Tumor	EAC_specificPMDs
ENSG000001294551	2.35816098464855	ESCC_Tumor	EAC_specificPMDs
ENSG000002505941	-3.13544937191553	ESCC_Tumor	EAC_specificPMDs
ENSG000001294511	4.83735364795167	ESCC_Tumor	EAC_specificPMDs
ENSG000002504201	-2.1770914903756	ESCC_Tumor	EAC_specificPMDs
ENSG000000303041	-2.3682788856591	ESCC_Tumor	EAC_specificPMDs
ENSG000002485481	-3.28760793582516	ESCC_Tumor	EAC_specificPMDs
ENSG000002280451	-2.76783623287836	ESCC_Tumor	EAC_specificPMDs
ENSG000001775191	-0.551737787159009	ESCC_Tumor	EAC_specificPMDs
ENSG000001065711	2.34883288487784	ESCC_Tumor	EAC_specificPMDs
ENSG000001008421	4.16557579472714	ESCC_Tumor	EAC_specificPMDs
ENSG000002417571	-3.25573636096442	ESCC_Tumor	EAC_specificPMDs
ENSG000002499161	-0.933074888536576	ESCC_Tumor	EAC_specificPMDs
ENSG000002493091	-2.71209411321882	ESCC_Tumor	EAC_specificPMDs
ENSG000002364611	-3.24878435979397	ESCC_Tumor	EAC_specificPMDs
ENSG000001979191	-2.72366046822765	ESCC_Tumor	EAC_specificPMDs
ENSG000000571491	4.30852577084275	ESCC_Tumor	EAC_specificPMDs
ENSG000002714191	-3.22834336729494	ESCC_Tumor	EAC_specificPMDs
ENSG000002410981	-2.59524124133144	ESCC_Tumor	EAC_specificPMDs
ENSG000002351411	-2.9075431566374	ESCC_Tumor	EAC_specificPMDs
ENSG000002766991	-2.4245231104097	ESCC_Tumor	EAC_specificPMDs
ENSG000002777701	-3.20814089229281	ESCC_Tumor	EAC_specificPMDs
ENSG000002347401	-2.41552604242412	ESCC_Tumor	EAC_specificPMDs
ENSG000002501801	-3.11883939639424	ESCC_Tumor	EAC_specificPMDs
ENSG000002355931	-3.055724734234	ESCC_Tumor	EAC_specificPMDs
ENSG000002325731	5.5910267181195	ESCC_Tumor	EAC_specificPMDs
ENSG000001475091	0.558878273526035	ESCC_Tumor	EAC_specificPMDs
ENSG000001632211	3.58714458067309	ESCC_Tumor	EAC_specificPMDs
ENSG000000063771	-0.02487052870992	ESCC_Tumor	EAC_specificPMDs
ENSG000002500661	-2.95771562094001	ESCC_Tumor	EAC_specificPMDs
ENSG000002073231	-1.95762475297011	ESCC_Tumor	EAC_specificPMDs
ENSG000001181131	-2.56456318084978	ESCC_Tumor	EAC_specificPMDs
ENSG000002581211	-1.66728967981955	ESCC_Tumor	EAC_specificPMDs
ENSG000002181801	-2.21949177878845	ESCC_Tumor	EAC_specificPMDs
ENSG000002056361	-3.19704882810554	ESCC_Tumor	EAC_specificPMDs
ENSG000002404771	-2.34905695582815	ESCC_Tumor	EAC_specificPMDs
ENSG000002327521	-2.83362531932322	ESCC_Tumor	EAC_specificPMDs
ENSG000001003021	1.31114845271928	ESCC_Tumor	EAC_specificPMDs
ENSG000002272521	-1.45323007053335	ESCC_Tumor	EAC_specificPMDs
ENSG000002586901	-2.98327986932404	ESCC_Tumor	EAC_specificPMDs
ENSG000002602391	-2.10485303838548	ESCC_Tumor	EAC_specificPMDs
ENSG000001377261	0.296410738720526	ESCC_Tumor	EAC_specificPMDs
ENSG000001136571	4.05115564283836	ESCC_Tumor	EAC_specificPMDs
ENSG000002370001	-3.01174545078254	ESCC_Tumor	EAC_specificPMDs
ENSG000001324291	0.640874762195205	ESCC_Tumor	EAC_specificPMDs
ENSG000002376911	-2.67406757310626	ESCC_Tumor	EAC_specificPMDs
ENSG000002266631	-3.18713076133455	ESCC_Tumor	EAC_specificPMDs
ENSG000002762291	-3.32192809488736	ESCC_Tumor	EAC_specificPMDs
ENSG000002234851	0.432180426034521	ESCC_Tumor	EAC_specificPMDs
ENSG000002204941	-2.59192994038811	ESCC_Tumor	EAC_specificPMDs
ENSG000002517701	-3.20624964343636	ESCC_Tumor	EAC_specificPMDs
ENSG000001151381	0.28256549083937	ESCC_Tumor	EAC_specificPMDs
ENSG000002323821	-3.23772383912404	ESCC_Tumor	EAC_specificPMDs
ENSG000002537771	-2.6126996937972	ESCC_Tumor	EAC_specificPMDs
ENSG000002261861	-1.53890546044088	ESCC_Tumor	EAC_specificPMDs
ENSG000002500621	-2.73437676452067	ESCC_Tumor	EAC_specificPMDs
ENSG000002278791	0.579854480554413	ESCC_Tumor	EAC_specificPMDs
ENSG000002708351	-3.21709260165922	ESCC_Tumor	EAC_specificPMDs
ENSG000002382711	0.266714357995811	ESCC_Tumor	EAC_specificPMDs
ENSG000002797371	-3.25917834540282	ESCC_Tumor	EAC_specificPMDs
ENSG000002274711	1.41363958182485	ESCC_Tumor	EAC_specificPMDs
ENSG000002511081	-3.08218304297532	ESCC_Tumor	EAC_specificPMDs
ENSG000002329891	-2.96969069518714	ESCC_Tumor	EAC_specificPMDs
ENSG000001127991	0.682056267828223	ESCC_Tumor	EAC_specificPMDs
ENSG000002503201	-0.776382932822238	ESCC_Tumor	EAC_specificPMDs
ENSG000002589421	-1.34642879026025	ESCC_Tumor	EAC_specificPMDs
ENSG000001992221	-3.10844245705107	ESCC_Tumor	EAC_specificPMDs
ENSG000002441591	-1.76213913598293	ESCC_Tumor	EAC_specificPMDs
ENSG000002020231	-3.05846742225883	ESCC_Tumor	EAC_specificPMDs
ENSG000001690351	3.56648358103335	ESCC_Tumor	EAC_specificPMDs
ENSG000002755911	-2.41123777141996	ESCC_Tumor	EAC_specificPMDs
ENSG000002150161	-0.666992351712987	ESCC_Tumor	EAC_specificPMDs
ENSG000002385031	-3.06650239407054	ESCC_Tumor	EAC_specificPMDs
ENSG000001317381	-2.789898523248	ESCC_Tumor	EAC_specificPMDs
ENSG000002010251	-3.00873098002789	ESCC_Tumor	EAC_specificPMDs
ENSG000002520861	-3.03321547482401	ESCC_Tumor	EAC_specificPMDs
ENSG000002315601	-1.92069176386111	ESCC_Tumor	EAC_specificPMDs
ENSG000002364271	-1.15130201412481	ESCC_Tumor	EAC_specificPMDs
ENSG000002751281	-3.32192809488736	ESCC_Tumor	EAC_specificPMDs
ENSG000002297541	-1.41739656789727	ESCC_Tumor	EAC_specificPMDs
ENSG000002258691	-2.83611265919772	ESCC_Tumor	EAC_specificPMDs
ENSG000002184901	-2.94954923042194	ESCC_Tumor	EAC_specificPMDs
ENSG000002616511	-3.04129928046627	ESCC_Tumor	EAC_specificPMDs
ENSG000002598691	-1.32260703300065	ESCC_Tumor	EAC_specificPMDs
ENSG000002239031	-2.9763001799278	ESCC_Tumor	EAC_specificPMDs
ENSG000002243511	-3.26447558786617	ESCC_Tumor	EAC_specificPMDs
ENSG000002576681	-3.0791590643698	ESCC_Tumor	EAC_specificPMDs
ENSG000002265901	-3.18741491742646	ESCC_Tumor	EAC_specificPMDs
ENSG000002493811	-3.10195093783975	ESCC_Tumor	EAC_specificPMDs
ENSG000002725971	-2.77778627271824	ESCC_Tumor	EAC_specificPMDs
ENSG000002707121	-3.18222417611183	ESCC_Tumor	EAC_specificPMDs
ENSG000002018161	-2.85526438898319	ESCC_Tumor	EAC_specificPMDs
ENSG000001525951	-3.0265240852858	ESCC_Tumor	EAC_specificPMDs
ENSG000002314601	-3.28869676888852	ESCC_Tumor	EAC_specificPMDs
ENSG000002535061	0.888748372563687	ESCC_Tumor	EAC_specificPMDs
ENSG000002304531	0.100580362308387	ESCC_Tumor	EAC_specificPMDs
ENSG000002527571	-2.58646413999911	ESCC_Tumor	EAC_specificPMDs
ENSG000001976511	-3.22650857594256	ESCC_Tumor	EAC_specificPMDs
ENSG000002253421	-2.01100436511926	ESCC_Tumor	EAC_specificPMDs
ENSG000001384831	-3.06529125087054	ESCC_Tumor	EAC_specificPMDs
ENSG000002269531	-1.61674098788492	ESCC_Tumor	EAC_specificPMDs
ENSG000002439031	-3.28303113148239	ESCC_Tumor	EAC_specificPMDs
ENSG000002331431	-2.88099724511146	ESCC_Tumor	EAC_specificPMDs
ENSG000002794471	-2.74908015321212	ESCC_Tumor	EAC_specificPMDs
ENSG000002392631	-1.91335617025201	ESCC_Tumor	EAC_specificPMDs
ENSG000002007011	-2.56229371497621	ESCC_Tumor	EAC_specificPMDs
ENSG000002365101	-1.83476672175889	ESCC_Tumor	EAC_specificPMDs
ENSG000000719671	3.53590915051587	ESCC_Tumor	EAC_specificPMDs
ENSG000001692531	1.03728165148802	ESCC_Tumor	EAC_specificPMDs
ENSG000001646511	-1.95024086600289	ESCC_Tumor	EAC_specificPMDs
ENSG000002332921	-2.76791078921268	ESCC_Tumor	EAC_specificPMDs
ENSG000002484231	-2.58721433956158	ESCC_Tumor	EAC_specificPMDs
ENSG000002673251	-1.45152680698331	ESCC_Tumor	EAC_specificPMDs
ENSG000002553771	-3.11689802509269	ESCC_Tumor	EAC_specificPMDs
ENSG000001062781	2.91693637920912	ESCC_Tumor	EAC_specificPMDs
ENSG000001305081	3.02553658060678	ESCC_Tumor	EAC_specificPMDs
ENSG000002250791	-1.92237672722354	ESCC_Tumor	EAC_specificPMDs
ENSG000002002241	-2.17120394273319	ESCC_Tumor	EAC_specificPMDs
ENSG000002269861	-0.712411431531122	ESCC_Tumor	EAC_specificPMDs
ENSG000002509581	-2.33102595012203	ESCC_Tumor	EAC_specificPMDs
