Term	N,n,B,b	Erichment	p_value	FDR	Gene_number
positive regulation of insulin secretion involved in cellular response to glucose stimulus(GO:0035774)	16990, 661, 33, 3	2.337	0.34934095908	0.723805821049	33
organophosphate catabolic process(GO:0046434)	16990, 1060, 161, 13	1.294	0.609973459527	0.914697288267	161
CDP-diacylglycerol metabolic process(GO:0046341)	16990, 1001, 14, 1	1.212	0.665324640696	0.943191321463	14
pyridine-containing compound biosynthetic process(GO:0072525)	16990, 1485, 75, 11	1.678	0.249496718949	0.627718944157	75
negative regulation of chemotaxis(GO:0050922)	16990, 10, 56, 1	30.339	0.147279777657	0.492297241509	56
NAD biosynthesis via nicotinamide riboside salvage pathway(GO:0034356)	16990, 1202, 15, 1	0.942	0.72529664553	0.96804989266	15
dendrite development(GO:0016358)	16990, 295, 33, 3	5.236	0.0825100500823	0.382344259052	33
amino sugar biosynthetic process(GO:0046349)	16990, 1580, 13, 1	0.827	0.732313967254	0.971734043977	13
cofactor biosynthetic process(GO:0051188)	16990, 1537, 227, 25	1.217	0.590672978628	0.903095049968	227
negative regulation of lymphocyte mediated immunity(GO:0002707)	16990, 1927, 38, 6	1.392	0.537823616341	0.87397523856	38
regulation of lymphocyte mediated immunity(GO:0002706)	16990, 1958, 148, 21	1.231	0.569037807049	0.890127181296	148
positive regulation of leukocyte mediated immunity(GO:0002705)	16990, 1428, 131, 12	1.09	0.816521614095	0.998847651016	131
negative regulation of leukocyte mediated immunity(GO:0002704)	16990, 1927, 48, 6	1.102	0.758669637937	0.982552762111	48
regulation of leukocyte mediated immunity(GO:0002703)	16990, 1209, 202, 16	1.113	0.805054569002	0.993920040272	202
positive regulation of production of molecular mediator of immune response(GO:0002702)	16990, 1428, 95, 12	1.503	0.367335526443	0.738310205388	95
negative regulation of production of molecular mediator of immune response(GO:0002701)	16990, 1958, 35, 6	1.488	0.470807984239	0.830736025015	35
regulation of production of molecular mediator of immune response(GO:0002700)	16990, 1488, 139, 16	1.314	0.516407320687	0.863074343483	139
regulation of steroid hormone secretion(GO:2000831)	16990, 81, 19, 3	33.119	0.000581365601297	0.0139818427112	19
establishment of mitochondrion localization(GO:0051654)	16990, 859, 23, 6	5.16	0.00418687358356	0.059582431766	23
maintenance of organelle location(GO:0051657)	16990, 1638, 11, 2	1.886	0.414781920812	0.785432211178	11
establishment of organelle localization(GO:0051656)	16990, 307, 279, 8	1.587	0.524264111204	0.8668650309	279
maintenance of location in cell(GO:0051651)	16990, 1960, 93, 10	0.932	0.913578203	1.0	93
hippo signaling(GO:0035329)	16990, 1829, 27, 5	1.72	0.367813856883	0.738310205388	27
spindle localization(GO:0051653)	16990, 180, 42, 1	2.247	0.659745614122	0.939981162301	42
positive regulation of lymphocyte mediated immunity(GO:0002708)	16990, 1428, 104, 10	1.144	0.762392087637	0.983784628319	104
renal water homeostasis(GO:0003091)	16990, 1866, 32, 4	1.138	0.716154633714	0.964362762644	32
positive regulation of cytoskeleton organization(GO:0051495)	16990, 1882, 210, 35	1.505	0.0681082084825	0.346667177567	210
negative regulation of cytoskeleton organization(GO:0051494)	16990, 800, 133, 11	1.756	0.244596526778	0.622093467735	133
