Term	N,n,B,b	Erichment	p_value	FDR	Gene_number
positive regulation of insulin secretion involved in cellular response to glucose stimulus(GO:0035774)	16990, 46, 33, 2	22.385	0.0198084531765	0.328547102687	33
organophosphate catabolic process(GO:0046434)	16990, 1994, 161, 26	1.376	0.282393078747	0.885281892629	161
CDP-diacylglycerol metabolic process(GO:0046341)	16990, 1373, 14, 4	3.536	0.0712159826656	0.577252215647	14
pyridine-containing compound biosynthetic process(GO:0072525)	16990, 158, 75, 2	2.868	0.457629411837	1.0	75
negative regulation of chemotaxis(GO:0050922)	16990, 151, 56, 1	2.009	0.717045375616	1.0	56
NAD biosynthesis via nicotinamide riboside salvage pathway(GO:0034356)	16990, 1930, 15, 4	2.347	0.199884127222	0.800866793545	15
dendrite development(GO:0016358)	16990, 1764, 33, 1	0.292	0.975717092545	1.0	33
amino sugar biosynthetic process(GO:0046349)	16990, 1747, 13, 4	2.992	0.10382875487	0.663502757399	13
cofactor biosynthetic process(GO:0051188)	16990, 158, 227, 4	1.895	0.566036946155	1.0	227
negative regulation of lymphocyte mediated immunity(GO:0002707)	16990, 187, 38, 3	7.173	0.0433542248462	0.475020094556	38
regulation of lymphocyte mediated immunity(GO:0002706)	16990, 187, 148, 5	3.069	0.145759788627	0.735382967393	148
positive regulation of leukocyte mediated immunity(GO:0002705)	16990, 140, 131, 2	1.853	0.703746656055	1.0	131
negative regulation of leukocyte mediated immunity(GO:0002704)	16990, 187, 48, 3	5.678	0.0790022588974	0.60138189936	48
regulation of leukocyte mediated immunity(GO:0002703)	16990, 187, 202, 5	2.249	0.347289206154	0.947074207302	202
positive regulation of production of molecular mediator of immune response(GO:0002702)	16990, 588, 95, 3	0.912	0.914767578794	1.0	95
negative regulation of production of molecular mediator of immune response(GO:0002701)	16990, 1909, 35, 3	0.763	0.898693656751	1.0	35
regulation of production of molecular mediator of immune response(GO:0002700)	16990, 1942, 139, 14	0.881	0.960811999345	1.0	139
regulation of steroid hormone secretion(GO:2000831)	16990, 92, 19, 1	9.72	0.239614713891	0.841889535294	19
establishment of mitochondrion localization(GO:0051654)	16990, 1361, 23, 2	1.086	0.735454664762	1.0	23
maintenance of organelle location(GO:0051657)	16990, 426, 11, 1	3.626	0.370026022709	0.958957526525	11
establishment of organelle localization(GO:0051656)	16990, 909, 279, 10	0.67	0.998393239765	1.0	279
maintenance of location in cell(GO:0051651)	16990, 599, 93, 5	1.525	0.595328104	1.0	93
hippo signaling(GO:0035329)	16990, 1216, 27, 2	1.035	0.771779317758	1.0	27
spindle localization(GO:0051653)	16990, 619, 42, 2	1.307	0.733998398643	1.0	42
positive regulation of lymphocyte mediated immunity(GO:0002708)	16990, 140, 104, 2	2.334	0.578930313763	1.0	104
renal water homeostasis(GO:0003091)	16990, 994, 32, 7	3.739	0.0129703101598	0.275486264307	32
positive regulation of cytoskeleton organization(GO:0051495)	16990, 45, 210, 1	1.798	0.854746871291	1.0	210
