Term	N,n,B,b	Erichment	p_value	FDR	Gene_number
positive regulation of insulin secretion involved in cellular response to glucose stimulus(GO:0035774)	16990, 1534, 33, 12	4.027	0.000137179514267	0.00743263528309	33
organophosphate catabolic process(GO:0046434)	16990, 1797, 161, 27	1.586	0.0795293270111	0.493891855165	161
CDP-diacylglycerol metabolic process(GO:0046341)	16990, 1317, 14, 2	1.843	0.452867567814	0.904982551385	14
pyridine-containing compound biosynthetic process(GO:0072525)	16990, 155, 75, 3	4.385	0.154072356535	0.646934025296	75
negative regulation of chemotaxis(GO:0050922)	16990, 246, 56, 2	2.467	0.49609437892	0.928933852941	56
NAD biosynthesis via nicotinamide riboside salvage pathway(GO:0034356)	16990, 0, 15, 0	0.0	1.0	1.0	15
dendrite development(GO:0016358)	16990, 728, 33, 1	0.707	0.894737987186	1.0	33
amino sugar biosynthetic process(GO:0046349)	16990, 1533, 13, 4	3.41	0.0735872786438	0.479084936015	13
cofactor biosynthetic process(GO:0051188)	16990, 166, 227, 4	1.804	0.600125346454	0.97223630828	227
negative regulation of lymphocyte mediated immunity(GO:0002707)	16990, 880, 38, 5	2.54	0.167203575105	0.666837411869	38
regulation of lymphocyte mediated immunity(GO:0002706)	16990, 33, 148, 1	3.479	0.664902778504	0.996628969961	148
positive regulation of leukocyte mediated immunity(GO:0002705)	16990, 145, 131, 1	0.894	0.942951611742	1.0	131
negative regulation of leukocyte mediated immunity(GO:0002704)	16990, 33, 48, 1	10.726	0.292353257813	0.800869870053	48
regulation of leukocyte mediated immunity(GO:0002703)	16990, 33, 202, 1	2.549	0.772458373936	1.0	202
positive regulation of production of molecular mediator of immune response(GO:0002702)	16990, 145, 95, 2	2.467	0.545513737864	0.952915950967	95
negative regulation of production of molecular mediator of immune response(GO:0002701)	16990, 957, 35, 3	1.522	0.588712765719	0.969270126622	35
regulation of production of molecular mediator of immune response(GO:0002700)	16990, 145, 139, 2	1.686	0.748633109796	1.0	139
regulation of steroid hormone secretion(GO:2000831)	16990, 245, 19, 1	3.65	0.434982224562	0.898081914308	19
establishment of mitochondrion localization(GO:0051654)	16990, 1365, 23, 4	2.165	0.274759886862	0.789552733008	23
maintenance of organelle location(GO:0051657)	16990, 1286, 11, 1	1.201	0.615785884139	0.976645929119	11
establishment of organelle localization(GO:0051656)	16990, 1406, 279, 28	1.213	0.586901174408	0.969270126622	279
maintenance of location in cell(GO:0051651)	16990, 1555, 93, 12	1.41	0.452330395725	0.904772408871	93
