Term	N,n,B,b	Erichment	p_value	FDR	Gene_number
positive regulation of insulin secretion involved in cellular response to glucose stimulus(GO:0035774)	16990, 1935, 33, 6	1.596	0.401842477148	0.725376792047	33
organophosphate catabolic process(GO:0046434)	16990, 740, 161, 13	1.854	0.149173767028	0.486698590101	161
CDP-diacylglycerol metabolic process(GO:0046341)	16990, 1155, 14, 1	1.051	0.690237808347	0.889088504651	14
pyridine-containing compound biosynthetic process(GO:0072525)	16990, 1381, 75, 10	1.64	0.304854013205	0.648252786701	75
negative regulation of chemotaxis(GO:0050922)	16990, 1138, 56, 7	1.866	0.277271790952	0.624709422951	56
NAD biosynthesis via nicotinamide riboside salvage pathway(GO:0034356)	16990, 170, 15, 1	6.663	0.284349701156	0.628960977679	15
dendrite development(GO:0016358)	16990, 1907, 33, 9	2.43	0.0435036839957	0.271989867297	33
amino sugar biosynthetic process(GO:0046349)	16990, 1020, 13, 1	1.281	0.636964406711	0.863826006617	13
cofactor biosynthetic process(GO:0051188)	16990, 1901, 227, 32	1.26	0.43008509352	0.740464435847	227
negative regulation of lymphocyte mediated immunity(GO:0002707)	16990, 13, 38, 1	34.393	0.121301033255	0.448018721352	38
regulation of lymphocyte mediated immunity(GO:0002706)	16990, 13, 148, 1	8.831	0.419938092136	0.732733016582	148
positive regulation of leukocyte mediated immunity(GO:0002705)	16990, 1686, 131, 14	1.077	0.819984816685	0.958371286628	131
negative regulation of leukocyte mediated immunity(GO:0002704)	16990, 13, 48, 1	27.228	0.152677013413	0.490869561387	48
regulation of leukocyte mediated immunity(GO:0002703)	16990, 13, 202, 1	6.47	0.523853120505	0.803486450774	202
positive regulation of production of molecular mediator of immune response(GO:0002702)	16990, 1686, 95, 13	1.379	0.464508549371	0.763016294361	95
negative regulation of production of molecular mediator of immune response(GO:0002701)	16990, 13, 35, 1	37.341	0.109401646376	0.424372515377	35
regulation of production of molecular mediator of immune response(GO:0002700)	16990, 13, 139, 1	9.402	0.399547341751	0.72412310242	139
regulation of steroid hormone secretion(GO:2000831)	16990, 455, 19, 1	1.965	0.599866901986	0.844907700893	19
establishment of mitochondrion localization(GO:0051654)	16990, 1003, 23, 8	5.892	0.000222769358498	0.00805891004249	23
maintenance of organelle location(GO:0051657)	16990, 0, 11, 0	0.0	1.0	1.0	11
establishment of organelle localization(GO:0051656)	16990, 874, 279, 24	1.672	0.0787916383059	0.371921276007	279
maintenance of location in cell(GO:0051651)	16990, 1629, 93, 13	1.458	0.380118886468	0.711073304942	93
hippo signaling(GO:0035329)	16990, 160, 27, 1	3.933	0.461959311134	0.76147507016	27
spindle localization(GO:0051653)	16990, 1882, 42, 10	2.149	0.0703757640196	0.349695628358	42
positive regulation of lymphocyte mediated immunity(GO:0002708)	16990, 1640, 104, 9	0.897	0.935597107776	1.0	104
renal water homeostasis(GO:0003091)	16990, 1405, 32, 3	1.134	0.738119867051	0.914804576272	32
positive regulation of cytoskeleton organization(GO:0051495)	16990, 1649, 210, 31	1.521	0.0863244065045	0.386611168796	210
negative regulation of cytoskeleton organization(GO:0051494)	16990, 762, 133, 16	2.682	0.00330888564285	0.0523544077043	133
regulation of cytoskeleton organization(GO:0051493)	16990, 689, 516, 40	1.912	0.00122270846443	0.0260231314775	516
positive regulation of filopodium assembly(GO:0051491)	16990, 144, 30, 2	7.866	0.104925764982	0.419474772798	30
regulation of granulocyte differentiation(GO:0030852)	16990, 0, 15, 0	0.0	1.0	1.0	15
prostate gland development(GO:0030850)	16990, 96, 11, 1	16.089	0.140106726847	0.471928120542	11
granulocyte differentiation(GO:0030851)	16990, 1528, 18, 1	0.618	0.835709617218	0.9667540305	18
regulation of epithelial cell differentiation(GO:0030856)	16990, 1475, 139, 25	2.072	0.00383675071182	0.0586190806036	139
negative regulation of epithelial cell differentiation(GO:0030857)	16990, 1222, 39, 10	3.565	0.00234958424767	0.0422358793012	39
epithelial cell differentiation(GO:0030855)	16990, 1845, 314, 69	2.024	1.78722536335e-07	6.14039571266e-05	314
regulation of protein sumoylation(GO:0033233)	16990, 1541, 21, 2	1.05	0.728483567097	0.90800879962	21
positive regulation of epithelial cell differentiation(GO:0030858)	16990, 1129, 58, 8	2.076	0.164487036784	0.506194911663	58
polarized epithelial cell differentiation(GO:0030859)	16990, 1352, 19, 8	5.291	0.000338226870751	0.0104959435375	19
protoporphyrinogen IX metabolic process(GO:0046501)	16990, 1883, 11, 3	2.461	0.229644914177	0.582007225027	11
S-adenosylmethionine metabolic process(GO:0046500)	16990, 971, 15, 2	2.333	0.376966995525	0.709949588284	15
glycerolipid catabolic process(GO:0046503)	16990, 493, 51, 5	3.379	0.0817081896753	0.376944288921	51
regulation of trophoblast cell migration(GO:1901163)	16990, 0, 11, 0	0.0	1.0	1.0	11
base-excision repair(GO:0006284)	16990, 209, 33, 1	2.463	0.60792347834	0.850527030488	33
pH reduction(GO:0045851)	16990, 1265, 34, 4	1.58	0.508318322529	0.795549527304	34
axon regeneration(GO:0031103)	16990, 1471, 21, 6	3.3	0.0322149790352	0.235492475926	21
neuron projection regeneration(GO:0031102)	16990, 1471, 27, 8	3.422	0.00789909996911	0.0969992490346	27
animal organ regeneration(GO:0031100)	16990, 96, 76, 3	6.986	0.058896682262	0.318514520813	76
social behavior(GO:0035176)	16990, 49, 54, 2	12.842	0.0597540364637	0.31970735861	54
regulation of protein kinase activity(GO:0045859)	16990, 1577, 763, 99	1.398	0.00600885869306	0.0800741236699	763
microtubule polymerization or depolymerization(GO:0031109)	16990, 837, 31, 4	2.619	0.208250004123	0.559416310841	31
nucleotide-excision repair(GO:0006289)	16990, 1885, 103, 18	1.575	0.175362193538	0.521640167544	103
defense response to fungus(GO:0050832)	16990, 836, 34, 4	2.391	0.256124888893	0.605305654244	34
defense response to Gram-positive bacterium(GO:0050830)	16990, 167, 85, 1	1.197	0.874503266678	0.981563543837	85
regulation of cell-substrate adhesion(GO:0010810)	16990, 1985, 205, 44	1.837	0.00061092965671	0.0161459980702	205
response to histamine(GO:0034776)	16990, 0, 11, 0	0.0	1.0	1.0	11
regulation of acute inflammatory response(GO:0002673)	16990, 581, 43, 2	1.36	0.722602691288	0.90348815833	43
amino sugar catabolic process(GO:0046348)	16990, 937, 12, 2	3.022	0.270721429633	0.618314376322	12
negative regulation of inclusion body assembly(GO:0090084)	16990, 1570, 11, 6	5.903	0.000824958584735	0.0197415462317	11
positive regulation of acute inflammatory response(GO:0002675)	16990, 0, 29, 0	0.0	1.0	1.0	29
regulation of cold-induced thermogenesis(GO:0120161)	16990, 1370, 143, 17	1.474	0.311085902502	0.654499115397	143
cellular modified amino acid metabolic process(GO:0006575)	16990, 361, 187, 7	1.762	0.426168622155	0.739280261184	187
ruffle assembly(GO:0097178)	16990, 1687, 13, 6	4.648	0.00423996010997	0.0623676089571	13
amino-acid betaine metabolic process(GO:0006577)	16990, 0, 18, 0	0.0	1.0	1.0	18
positive regulation of axonogenesis(GO:0050772)	16990, 1015, 83, 13	2.622	0.00981533726249	0.112223527804	83
positive regulation of telomere maintenance via telomere lengthening(GO:1904358)	16990, 1931, 37, 7	1.665	0.333866455315	0.67285460025	37
regulation of gene expression, epigenetic(GO:0040029)	16990, 633, 191, 8	1.124	0.841027073	0.96925491294	191
regulation of nuclear division(GO:0051783)	16990, 1842, 205, 23	1.035	0.874189855646	0.981563543837	205
negative regulation of cell division(GO:0051782)	16990, 687, 16, 1	1.546	0.625081491498	0.857737420162	16
positive regulation of cell division(GO:0051781)	16990, 145, 86, 2	2.725	0.49091536453	0.785268674223	86
dicarboxylic acid catabolic process(GO:0043649)	16990, 157, 18, 1	6.012	0.330239840962	0.669088080483	18
mRNA splice site selection(GO:0006376)	16990, 1450, 30, 1	0.391	0.951070124242	1.0	30
positive regulation of nuclear division(GO:0051785)	16990, 1121, 64, 5	1.184	0.748713911675	0.920346004385	64
negative regulation of nuclear division(GO:0051784)	16990, 1822, 48, 9	1.748	0.237339303221	0.590577566864	48
positive regulation of leukocyte adhesion to vascular endothelial cell(GO:1904996)	16990, 0, 12, 0	0.0	1.0	1.0	12
regulation of leukocyte adhesion to vascular endothelial cell(GO:1904994)	16990, 0, 17, 0	0.0	1.0	1.0	17
mRNA cleavage(GO:0006379)	16990, 1956, 25, 1	0.347	0.953228190962	1.0	25
positive regulation of supramolecular fiber organization(GO:1902905)	16990, 1649, 189, 30	1.635	0.0402836589729	0.263223463325	189
regulation of transcription initiation from RNA polymerase II promoter(GO:0060260)	16990, 1526, 27, 3	1.237	0.671259687029	0.881775566368	27
positive regulation of transcription initiation from RNA polymerase II promoter(GO:0060261)	16990, 1526, 19, 2	1.172	0.673267322434	0.882585617798	19
regulation of cell aging(GO:0090342)	16990, 13, 46, 1	28.411	0.147024738737	0.48239358344	46
positive regulation of cell aging(GO:0090343)	16990, 1445, 13, 1	0.904	0.70932791248	0.897151527486	13
negative regulation of cell aging(GO:0090344)	16990, 13, 24, 1	54.455	0.0738224230072	0.355797449564	24
mitotic sister chromatid cohesion(GO:0007064)	16990, 1770, 12, 1	0.8	0.736657982371	0.913463494511	12
embryonic digestive tract development(GO:0048566)	16990, 96, 17, 2	20.821	0.0183368637292	0.168643048829	17
embryonic organ development(GO:0048568)	16990, 15, 127, 2	17.837	0.0401967343153	0.263056179669	127
thyroid hormone generation(GO:0006590)	16990, 361, 11, 1	4.279	0.336436263979	0.67511824353	11
antibiotic catabolic process(GO:0017001)	16990, 341, 53, 5	4.7	0.0263750555652	0.210737570214	53
polyamine biosynthetic process(GO:0006596)	16990, 1040, 13, 1	1.257	0.640369748159	0.864772528207	13
embryonic camera-type eye development(GO:0031076)	16990, 1964, 12, 3	2.163	0.293096225612	0.639361834555	12
cytochrome complex assembly(GO:0017004)	16990, 1923, 34, 2	0.52	0.954737489187	1.0	34
polyamine metabolic process(GO:0006595)	16990, 1040, 18, 1	0.908	0.774218853983	0.933335337824	18
regulation of glucose metabolic process(GO:0010906)	16990, 1510, 111, 12	1.216	0.674954517436	0.883261828567	111
positive regulation of glucose metabolic process(GO:0010907)	16990, 1510, 40, 5	1.406	0.568826757472	0.826104077125	40
histone H3-K9 modification(GO:0061647)	16990, 0, 15, 0	0.0	1.0	1.0	15
regulation of small molecule metabolic process(GO:0062012)	16990, 1959, 351, 47	1.161	0.585095494657	0.838073281156	351
uterus development(GO:0060065)	16990, 317, 16, 2	6.7	0.107896263622	0.4235050055	16
phosphate ion transmembrane transport(GO:0035435)	16990, 103, 15, 2	21.994	0.0161138027192	0.155325433024	15
determination of adult lifespan(GO:0008340)	16990, 1445, 17, 2	1.383	0.592486642983	0.842361767627	17
tetrahydrofolate metabolic process(GO:0046653)	16990, 0, 19, 0	0.0	1.0	1.0	19
regulation of response to oxidative stress(GO:1902882)	16990, 178, 81, 3	3.535	0.23165980501	0.584618920303	81
folic acid metabolic process(GO:0046655)	16990, 0, 20, 0	0.0	1.0	1.0	20
monocarboxylic acid biosynthetic process(GO:0072330)	16990, 1801, 205, 33	1.519	0.0726807141634	0.355278694234	205
peptide hormone secretion(GO:0030072)	16990, 676, 59, 3	1.278	0.744414955792	0.917087467162	59
intrinsic apoptotic signaling pathway by p53 class mediator(GO:0072332)	16990, 36, 49, 2	19.263	0.028872231251	0.221139223435	49
superoxide anion generation(GO:0042554)	16990, 1043, 14, 1	1.164	0.672119140965	0.882255673526	14
positive regulation of histone deacetylation(GO:0031065)	16990, 13, 17, 1	76.878	0.0492936869249	0.29324913722	17
neuron maturation(GO:0042551)	16990, 1960, 24, 4	1.445	0.531446825453	0.807639451368	24
imidazole-containing compound metabolic process(GO:0052803)	16990, 0, 12, 0	0.0	1.0	1.0	12
pteridine-containing compound metabolic process(GO:0042558)	16990, 0, 35, 0	0.0	1.0	1.0	35
pteridine-containing compound biosynthetic process(GO:0042559)	16990, 0, 15, 0	0.0	1.0	1.0	15
pigment granule localization(GO:0051875)	16990, 402, 24, 2	3.522	0.278269975454	0.624709422951	24
snoRNA processing(GO:0043144)	16990, 1860, 13, 3	2.108	0.308241210394	0.65254210967	13
synapse maturation(GO:0060074)	16990, 109, 12, 1	12.989	0.168620551905	0.513502101538	12
energy reserve metabolic process(GO:0006112)	16990, 1915, 62, 11	1.574	0.299099071813	0.643123171847	62
regulation of T cell mediated immunity(GO:0002709)	16990, 636, 67, 2	0.797	0.925193898334	1.0	67
regulation of glycolytic process(GO:0006110)	16990, 1953, 43, 3	0.607	0.959368263616	1.0	43
regulation of gluconeogenesis(GO:0006111)	16990, 1459, 45, 5	1.294	0.646324548305	0.86771567689	45
negative regulation of regulated secretory pathway(GO:1903306)	16990, 1591, 23, 2	0.929	0.782965996514	0.936366594538	23
positive regulation of regulated secretory pathway(GO:1903307)	16990, 232, 51, 1	1.436	0.790566370346	0.93969351393	51
regulation of regulated secretory pathway(GO:1903305)	16990, 1591, 161, 19	1.26	0.560191168072	0.821696349763	161
positive regulation of lipase activity(GO:0060193)	16990, 34, 69, 2	14.484	0.0534004201657	0.303612317963	69
stress fiber assembly(GO:0043149)	16990, 743, 16, 2	2.858	0.30889092818	0.65254210967	16
skeletal system morphogenesis(GO:0048705)	16990, 107, 110, 7	10.105	8.19347931834e-05	0.00408326333028	110
locomotory behavior(GO:0007626)	16990, 1987, 185, 37	1.71	0.00806962873653	0.0982656056272	185
grooming behavior(GO:0007625)	16990, 990, 14, 1	1.226	0.663545128721	0.876586671011	14
embryonic skeletal system development(GO:0048706)	16990, 1946, 36, 10	2.425	0.031401592728	0.230597955758	36
circadian rhythm(GO:0007623)	16990, 1987, 135, 24	1.52	0.14050650575	0.47252081148	135
lipid metabolic process(GO:0006629)	16990, 639, 1218, 57	1.244	0.344920097469	0.679666394438	1218
response to amino acid(GO:0043200)	16990, 15, 110, 1	10.297	0.362840903206	0.696990712628	110
cell-cell adhesion(GO:0098609)	16990, 452, 488, 34	2.619	7.86826410866e-06	0.000772374497197	488
protein targeting to mitochondrion(GO:0006626)	16990, 772, 30, 1	0.734	0.874453700403	0.981563543837	30
oligodendrocyte differentiation(GO:0048709)	16990, 433, 27, 4	5.813	0.0227562288405	0.19042079932	27
astrocyte differentiation(GO:0048708)	16990, 1953, 16, 6	3.262	0.0279250181523	0.216644092439	16
protein targeting to lysosome(GO:0006622)	16990, 1455, 20, 2	1.168	0.683339225766	0.885963295093	20
protein targeting to vacuole(GO:0006623)	16990, 1455, 33, 2	0.708	0.901926239093	0.996386130004	33
tube closure(GO:0060606)	16990, 1550, 79, 15	2.081	0.0347045462207	0.243707376752	79
deoxyribonucleotide biosynthetic process(GO:0009263)	16990, 397, 15, 2	5.706	0.128891971435	0.458897396447	15
deoxyribonucleotide metabolic process(GO:0009262)	16990, 1800, 35, 9	2.427	0.0456249881504	0.280276108561	35
branch elongation of an epithelium(GO:0060602)	16990, 291, 13, 3	13.473	0.00555392347354	0.0758931020106	13
transcription preinitiation complex assembly(GO:0070897)	16990, 1100, 29, 2	1.065	0.766303240197	0.930082913285	29
cellular response to starvation(GO:0009267)	16990, 555, 150, 11	2.245	0.0765907094066	0.364825302339	150
response to temperature stimulus(GO:0009266)	16990, 1880, 170, 27	1.435	0.197985740919	0.547305410243	170
response to pH(GO:0009268)	16990, 1935, 39, 2	0.45	0.97489886504	1.0	39
response to antimetabolite(GO:0097329)	16990, 365, 12, 1	3.879	0.367165793944	0.70049065245	12
vasoconstriction(GO:0042310)	16990, 1315, 30, 5	2.153	0.233073690802	0.586341240981	30
alpha-beta T cell differentiation involved in immune response(GO:0002293)	16990, 1621, 18, 1	0.582	0.847428143818	0.97235910586	18
T cell differentiation involved in immune response(GO:0002292)	16990, 1621, 22, 1	0.476	0.901170490966	0.996237660664	22
positive regulation of killing of cells of other organism(GO:0051712)	16990, 797, 12, 2	3.553	0.219460274754	0.572453319722	12
viral budding via host ESCRT complex(GO:0039702)	16990, 0, 21, 0	0.0	1.0	1.0	21
ectodermal placode formation(GO:0060788)	16990, 0, 11, 0	0.0	1.0	1.0	11
