Term	N,n,B,b	Erichment	p_value	FDR	Gene_number
positive regulation of insulin secretion involved in cellular response to glucose stimulus(GO:0035774)	16990, 898, 33, 3	1.72	0.513099123016	0.897070916348	33
organophosphate catabolic process(GO:0046434)	16990, 141, 161, 5	3.742	0.083209855008	0.410501951373	161
CDP-diacylglycerol metabolic process(GO:0046341)	16990, 1894, 14, 2	1.281	0.608501280036	0.942334564383	14
pyridine-containing compound biosynthetic process(GO:0072525)	16990, 2, 75, 1	113.267	0.057225671593	0.331597832524	75
negative regulation of chemotaxis(GO:0050922)	16990, 515, 56, 3	1.767	0.558128863361	0.9214167649	56
NAD biosynthesis via nicotinamide riboside salvage pathway(GO:0034356)	16990, 1950, 15, 2	1.162	0.659590647077	0.970298970689	15
dendrite development(GO:0016358)	16990, 1573, 33, 2	0.655	0.914610073301	1.0	33
amino sugar biosynthetic process(GO:0046349)	16990, 1402, 13, 2	1.864	0.436649748538	0.853195172869	13
cofactor biosynthetic process(GO:0051188)	16990, 2, 227, 1	37.423	0.17833344401	0.596926837639	227
negative regulation of lymphocyte mediated immunity(GO:0002707)	16990, 1723, 38, 9	2.335	0.0596859692091	0.338817988299	38
regulation of lymphocyte mediated immunity(GO:0002706)	16990, 1244, 148, 23	2.122	0.00513204546416	0.0597703115802	148
positive regulation of leukocyte mediated immunity(GO:0002705)	16990, 1252, 131, 19	1.968	0.0272536871165	0.203240674466	131
negative regulation of leukocyte mediated immunity(GO:0002704)	16990, 1723, 48, 10	2.054	0.0983288559603	0.451237916989	48
regulation of leukocyte mediated immunity(GO:0002703)	16990, 1252, 202, 28	1.881	0.00992398144998	0.0992398144998	202
positive regulation of production of molecular mediator of immune response(GO:0002702)	16990, 1459, 95, 10	1.226	0.678754567762	0.973353875685	95
negative regulation of production of molecular mediator of immune response(GO:0002701)	16990, 1164, 35, 6	2.502	0.119556045998	0.499428659854	35
regulation of production of molecular mediator of immune response(GO:0002700)	16990, 1329, 139, 15	1.38	0.456973906798	0.860420132057	139
regulation of steroid hormone secretion(GO:2000831)	16990, 1576, 19, 1	0.567	0.857783633442	1.0	19
establishment of mitochondrion localization(GO:0051654)	16990, 0, 23, 0	0.0	1.0	1.0	23
maintenance of organelle location(GO:0051657)	16990, 282, 11, 1	5.477	0.294219815215	0.739779044007	11
establishment of organelle localization(GO:0051656)	16990, 466, 279, 24	3.136	1.60191061176e-05	0.000478583232459	279
maintenance of location in cell(GO:0051651)	16990, 282, 93, 2	1.296	0.815124522415	1.0	93
hippo signaling(GO:0035329)	16990, 1906, 27, 5	1.651	0.399585758543	0.829524168577	27
spindle localization(GO:0051653)	16990, 449, 42, 7	6.307	0.00084596427917	0.0134738019298	42
positive regulation of lymphocyte mediated immunity(GO:0002708)	16990, 1244, 104, 18	2.364	0.00483987213709	0.0571063350053	104
renal water homeostasis(GO:0003091)	16990, 139, 32, 1	3.82	0.483956936535	0.878921363701	32
positive regulation of cytoskeleton organization(GO:0051495)	16990, 1773, 210, 30	1.369	0.257428052675	0.698355608055	210
negative regulation of cytoskeleton organization(GO:0051494)	16990, 118, 133, 3	3.248	0.297706683113	0.744147809829	133
regulation of cytoskeleton organization(GO:0051493)	16990, 1572, 516, 66	1.382	0.0463320167894	0.284095484134	516
positive regulation of filopodium assembly(GO:0051491)	16990, 238, 30, 1	2.38	0.599448212359	0.940680397753	30
regulation of granulocyte differentiation(GO:0030852)	16990, 1682, 15, 3	2.02	0.337349475637	0.777318383094	15
prostate gland development(GO:0030850)	16990, 1708, 11, 2	1.809	0.432975752103	0.850740754745	11
granulocyte differentiation(GO:0030851)	16990, 279, 18, 2	6.766	0.109394812421	0.477818986214	18
regulation of epithelial cell differentiation(GO:0030856)	16990, 1901, 139, 25	1.607	0.0791438864391	0.397084540754	139
negative regulation of epithelial cell differentiation(GO:0030857)	16990, 1841, 39, 9	2.13	0.094634512345	0.443224931236	39
epithelial cell differentiation(GO:0030855)	16990, 1992, 314, 56	1.521	0.0104368762403	0.102826049947	314
regulation of protein sumoylation(GO:0033233)	16990, 0, 21, 0	0.0	1.0	1.0	21
positive regulation of epithelial cell differentiation(GO:0030858)	16990, 1901, 58, 10	1.541	0.3466835157	0.787021237087	58
polarized epithelial cell differentiation(GO:0030859)	16990, 1657, 19, 2	1.079	0.705222071088	0.979663734605	19
protoporphyrinogen IX metabolic process(GO:0046501)	16990, 998, 11, 1	1.548	0.562479835306	0.921455587051	11
S-adenosylmethionine metabolic process(GO:0046500)	16990, 601, 15, 2	3.769	0.225897822551	0.658513495097	15
glycerolipid catabolic process(GO:0046503)	16990, 1669, 51, 12	2.395	0.0218370812273	0.174189652908	51
regulation of trophoblast cell migration(GO:1901163)	16990, 1917, 11, 2	1.611	0.488171475439	0.882746164234	11
base-excision repair(GO:0006284)	16990, 430, 33, 7	8.381	0.000130094504823	0.00275662805374	33
pH reduction(GO:0045851)	16990, 1960, 34, 3	0.765	0.897513104071	1.0	34
axon regeneration(GO:0031103)	16990, 1665, 21, 1	0.486	0.894231563646	1.0	21
neuron projection regeneration(GO:0031102)	16990, 1665, 27, 1	0.378	0.94560602327	1.0	27
animal organ regeneration(GO:0031100)	16990, 888, 76, 14	3.524	0.000370164777604	0.00674429007681	76
social behavior(GO:0035176)	16990, 74, 54, 1	4.252	0.513597718828	0.897070916348	54
regulation of protein kinase activity(GO:0045859)	16990, 349, 763, 33	2.106	0.000913934173971	0.0144131913993	763
microtubule polymerization or depolymerization(GO:0031109)	16990, 1340, 31, 11	4.499	0.000113023881747	0.00245993154391	31
nucleotide-excision repair(GO:0006289)	16990, 995, 103, 13	2.155	0.051111837828	0.30639476326	103
defense response to fungus(GO:0050832)	16990, 1469, 34, 5	1.701	0.402103588928	0.82998964687	34
defense response to Gram-positive bacterium(GO:0050830)	16990, 1884, 85, 16	1.698	0.126045554337	0.509352870421	85
regulation of cell-substrate adhesion(GO:0010810)	16990, 1668, 205, 26	1.292	0.436477606207	0.853195172869	205
response to histamine(GO:0034776)	16990, 239, 11, 1	6.463	0.270714119124	0.712717522161	11
regulation of acute inflammatory response(GO:0002673)	16990, 415, 43, 4	3.808	0.0956087796854	0.445187057393	43
amino sugar catabolic process(GO:0046348)	16990, 1672, 12, 2	1.694	0.46748073541	0.867286766125	12
negative regulation of inclusion body assembly(GO:0090084)	16990, 1670, 11, 1	0.925	0.686860615916	0.974760006709	11
positive regulation of acute inflammatory response(GO:0002675)	16990, 415, 29, 3	4.235	0.122320813405	0.504167191497	29
regulation of cold-induced thermogenesis(GO:0120161)	16990, 513, 143, 2	0.463	0.995652948134	1.0	143
cellular modified amino acid metabolic process(GO:0006575)	16990, 1697, 187, 29	1.553	0.0875286458614	0.421409605767	187
ruffle assembly(GO:0097178)	16990, 826, 13, 2	3.164	0.257999566635	0.698355608055	13
amino-acid betaine metabolic process(GO:0006577)	16990, 1421, 18, 2	1.328	0.617856875834	0.948274273376	18
positive regulation of axonogenesis(GO:0050772)	16990, 305, 83, 2	1.342	0.792613438637	1.0	83
positive regulation of telomere maintenance via telomere lengthening(GO:1904358)	16990, 1954, 37, 14	3.29	0.000271486711099	0.00522340432154	37
regulation of gene expression, epigenetic(GO:0040029)	16990, 1378, 191, 29	1.872	0.00845150997037	0.0879908289123	191
regulation of nuclear division(GO:0051783)	16990, 553, 205, 40	5.995	1.22353400361e-18	4.56233529574e-16	205
negative regulation of cell division(GO:0051782)	16990, 342, 16, 5	15.524	7.43945869551e-05	0.00171978343762	16
positive regulation of cell division(GO:0051781)	16990, 432, 86, 11	5.03	0.000132081487673	0.00278645594608	86
dicarboxylic acid catabolic process(GO:0043649)	16990, 628, 18, 1	1.503	0.646278843974	0.965404111651	18
mRNA splice site selection(GO:0006376)	16990, 366, 30, 1	1.547	0.719751366638	0.983440729458	30
positive regulation of nuclear division(GO:0051785)	16990, 1826, 64, 17	2.472	0.00271985064268	0.0361505181122	64
negative regulation of nuclear division(GO:0051784)	16990, 831, 48, 18	7.667	6.23157563648e-11	5.76420746375e-09	48
positive regulation of leukocyte adhesion to vascular endothelial cell(GO:1904996)	16990, 0, 12, 0	0.0	1.0	1.0	12
regulation of leukocyte adhesion to vascular endothelial cell(GO:1904994)	16990, 296, 17, 1	3.376	0.442300983301	0.8576077445	17
mRNA cleavage(GO:0006379)	16990, 1817, 25, 7	2.618	0.0572172836025	0.331597832524	25
positive regulation of supramolecular fiber organization(GO:1902905)	16990, 1773, 189, 23	1.166	0.68070051973	0.973353875685	189
regulation of transcription initiation from RNA polymerase II promoter(GO:0060260)	16990, 1766, 27, 4	1.425	0.547956353956	0.915950524446	27
positive regulation of transcription initiation from RNA polymerase II promoter(GO:0060261)	16990, 1766, 19, 2	1.013	0.731446896865	0.988158233491	19
regulation of cell aging(GO:0090342)	16990, 1183, 46, 13	4.059	9.82854907261e-05	0.00217858622301	46
positive regulation of cell aging(GO:0090343)	16990, 994, 13, 4	5.259	0.0212851974965	0.170921201934	13
negative regulation of cell aging(GO:0090344)	16990, 1493, 24, 10	4.742	0.000121322635995	0.00261686941317	24
mitotic sister chromatid cohesion(GO:0007064)	16990, 576, 12, 4	9.832	0.00212855208139	0.0295052896585	12
embryonic digestive tract development(GO:0048566)	16990, 28, 17, 1	35.693	0.0902720913969	0.431619045347	17
embryonic organ development(GO:0048568)	16990, 40, 127, 3	10.033	0.0263040866451	0.199132973447	127
thyroid hormone generation(GO:0006590)	16990, 1590, 11, 1	0.971	0.672053380129	0.973353875685	11
antibiotic catabolic process(GO:0017001)	16990, 203, 53, 1	1.579	0.772839576353	1.0	53
polyamine biosynthetic process(GO:0006596)	16990, 0, 13, 0	0.0	1.0	1.0	13
embryonic camera-type eye development(GO:0031076)	16990, 1508, 12, 1	0.939	0.689984139233	0.97485306009	12
cytochrome complex assembly(GO:0017004)	16990, 727, 34, 2	1.375	0.69009868391	0.97485306009	34
polyamine metabolic process(GO:0006595)	16990, 0, 18, 0	0.0	1.0	1.0	18
regulation of glucose metabolic process(GO:0010906)	16990, 1933, 111, 13	1.029	0.854859822291	1.0	111
positive regulation of glucose metabolic process(GO:0010907)	16990, 1197, 40, 4	1.419	0.603189140182	0.941970171428	40
histone H3-K9 modification(GO:0061647)	16990, 971, 15, 2	2.333	0.376966995525	0.815613825455	15
regulation of small molecule metabolic process(GO:0062012)	16990, 1993, 351, 44	1.069	0.823275878854	1.0	351
uterus development(GO:0060065)	16990, 842, 16, 1	1.261	0.687189933314	0.974760006709	16
phosphate ion transmembrane transport(GO:0035435)	16990, 1861, 15, 3	1.826	0.391980429906	0.827013313253	15
determination of adult lifespan(GO:0008340)	16990, 522, 17, 3	5.744	0.0527907896273	0.313099504448	17
tetrahydrofolate metabolic process(GO:0046653)	16990, 1697, 19, 6	3.162	0.0352051444197	0.241220433987	19
regulation of response to oxidative stress(GO:1902882)	16990, 4, 81, 1	52.438	0.107539713134	0.474718937428	81
folic acid metabolic process(GO:0046655)	16990, 1697, 20, 5	2.503	0.132889193216	0.523457629878	20
monocarboxylic acid biosynthetic process(GO:0072330)	16990, 43, 205, 3	5.782	0.110906139599	0.479551042761	205
peptide hormone secretion(GO:0030072)	16990, 1666, 59, 4	0.691	0.960898477598	1.0	59
