Term	N,n,B,b	Erichment	p_value	FDR	Gene_number
positive regulation of insulin secretion involved in cellular response to glucose stimulus(GO:0035774)	16990, 741, 33, 2	1.39	0.681202980212	0.911692660202	33
organophosphate catabolic process(GO:0046434)	16990, 762, 161, 9	1.246	0.723609217038	0.927112476569	161
CDP-diacylglycerol metabolic process(GO:0046341)	16990, 1713, 14, 1	0.708	0.780507597626	0.952294358693	14
pyridine-containing compound biosynthetic process(GO:0072525)	16990, 1495, 75, 9	1.364	0.547912405712	0.846597710079	75
negative regulation of chemotaxis(GO:0050922)	16990, 1982, 56, 6	0.918	0.884073675024	1.0	56
NAD biosynthesis via nicotinamide riboside salvage pathway(GO:0034356)	16990, 1495, 15, 1	0.758	0.770101857543	0.946878817684	15
dendrite development(GO:0016358)	16990, 0, 33, 0	0.0	1.0	1.0	33
amino sugar biosynthetic process(GO:0046349)	16990, 1779, 13, 3	2.204	0.286197882035	0.645387628968	13
cofactor biosynthetic process(GO:0051188)	16990, 1904, 227, 28	1.101	0.777769495047	0.950958635276	227
negative regulation of lymphocyte mediated immunity(GO:0002707)	16990, 1993, 38, 9	2.019	0.119806878902	0.433612556447	38
regulation of lymphocyte mediated immunity(GO:0002706)	16990, 1993, 148, 28	1.613	0.0516098581909	0.285665613232	148
positive regulation of leukocyte mediated immunity(GO:0002705)	16990, 1995, 131, 23	1.495	0.176728725935	0.522192644936	131
negative regulation of leukocyte mediated immunity(GO:0002704)	16990, 1993, 48, 12	2.131	0.0449474735076	0.263249334213	48
regulation of leukocyte mediated immunity(GO:0002703)	16990, 1995, 202, 38	1.602	0.021344525683	0.175081047607	202
positive regulation of production of molecular mediator of immune response(GO:0002702)	16990, 1995, 95, 19	1.703	0.0848523177463	0.363760827415	95
negative regulation of production of molecular mediator of immune response(GO:0002701)	16990, 812, 35, 5	2.989	0.10138831678	0.401380908406	35
regulation of production of molecular mediator of immune response(GO:0002700)	16990, 1995, 139, 27	1.654	0.0428481505451	0.254443955706	139
regulation of steroid hormone secretion(GO:2000831)	16990, 430, 19, 1	2.08	0.586964916155	0.868975452971	19
establishment of mitochondrion localization(GO:0051654)	16990, 86, 23, 1	8.589	0.278862707076	0.638424379361	23
maintenance of organelle location(GO:0051657)	16990, 1072, 11, 2	2.882	0.276344051375	0.636936625308	11
establishment of organelle localization(GO:0051656)	16990, 1919, 279, 36	1.142	0.676114270162	0.91044502785	279
maintenance of location in cell(GO:0051651)	16990, 1345, 93, 7	0.951	0.899838756079	1.0	93
hippo signaling(GO:0035329)	16990, 162, 27, 1	3.884	0.464510346431	0.789224573059	27
spindle localization(GO:0051653)	16990, 805, 42, 4	2.01	0.373490835055	0.721508422527	42
positive regulation of lymphocyte mediated immunity(GO:0002708)	16990, 1772, 104, 18	1.659	0.123848245639	0.440803131918	104
renal water homeostasis(GO:0003091)	16990, 0, 32, 0	0.0	1.0	1.0	32
positive regulation of cytoskeleton organization(GO:0051495)	16990, 131, 210, 4	2.47	0.367745200706	0.719046510324	210
negative regulation of cytoskeleton organization(GO:0051494)	16990, 452, 133, 2	0.565	0.988029402079	1.0	133
regulation of cytoskeleton organization(GO:0051493)	16990, 131, 516, 8	2.011	0.297137115342	0.654125920535	516
positive regulation of filopodium assembly(GO:0051491)	16990, 413, 30, 2	2.743	0.387383946537	0.732723862699	30
regulation of granulocyte differentiation(GO:0030852)	16990, 1645, 15, 2	1.377	0.577746481174	0.863884450628	15
prostate gland development(GO:0030850)	16990, 1638, 11, 1	0.943	0.680937721601	0.911692660202	11
granulocyte differentiation(GO:0030851)	16990, 1362, 18, 4	2.772	0.150188719297	0.481284303677	18
regulation of epithelial cell differentiation(GO:0030856)	16990, 239, 139, 6	3.069	0.0929755961182	0.381580731509	139
negative regulation of epithelial cell differentiation(GO:0030857)	16990, 451, 39, 3	2.898	0.267686190932	0.627471042096	39
epithelial cell differentiation(GO:0030855)	16990, 108, 314, 7	3.507	0.0387699819585	0.243769429046	314
regulation of protein sumoylation(GO:0033233)	16990, 1306, 21, 1	0.619	0.85799487918	0.996367785818	21
positive regulation of epithelial cell differentiation(GO:0030858)	16990, 120, 58, 2	4.882	0.241895432148	0.600272510871	58
polarized epithelial cell differentiation(GO:0030859)	16990, 638, 19, 4	5.606	0.022391552973	0.179576570863	19
protoporphyrinogen IX metabolic process(GO:0046501)	16990, 1146, 11, 1	1.348	0.589873221512	0.871136074754	11
S-adenosylmethionine metabolic process(GO:0046500)	16990, 1921, 15, 1	0.59	0.835245271595	0.982878980546	15
glycerolipid catabolic process(GO:0046503)	16990, 35, 51, 1	9.518	0.319180071826	0.67563396313	51
regulation of trophoblast cell migration(GO:1901163)	16990, 1417, 11, 4	4.36	0.0331107250371	0.222123552899	11
base-excision repair(GO:0006284)	16990, 1873, 33, 10	2.749	0.0134012738721	0.129438006676	33
pH reduction(GO:0045851)	16990, 477, 34, 3	3.143	0.222270387099	0.577695397747	34
axon regeneration(GO:0031103)	16990, 1264, 21, 5	3.2	0.0644260152611	0.31723969256	21
neuron projection regeneration(GO:0031102)	16990, 1264, 27, 5	2.489	0.154526810146	0.489317943913	27
animal organ regeneration(GO:0031100)	16990, 1996, 76, 20	2.24	0.00328016371569	0.0496150549448	76
social behavior(GO:0035176)	16990, 811, 54, 3	1.164	0.781149850127	0.952428587861	54
regulation of protein kinase activity(GO:0045859)	16990, 974, 763, 59	1.349	0.114196719975	0.424159245623	763
microtubule polymerization or depolymerization(GO:0031109)	16990, 1990, 31, 6	1.652	0.368616784681	0.719336464651	31
nucleotide-excision repair(GO:0006289)	16990, 499, 103, 4	1.322	0.745847832011	0.936936033422	103
defense response to fungus(GO:0050832)	16990, 53, 34, 1	9.428	0.292892677452	0.65089561361	34
defense response to Gram-positive bacterium(GO:0050830)	16990, 395, 85, 4	2.024	0.435202860774	0.765562098329	85
regulation of cell-substrate adhesion(GO:0010810)	16990, 680, 205, 20	2.438	0.00283236993172	0.0452398018949	205
response to histamine(GO:0034776)	16990, 0, 11, 0	0.0	1.0	1.0	11
regulation of acute inflammatory response(GO:0002673)	16990, 1826, 43, 8	1.731	0.272161008259	0.632469407316	43
amino sugar catabolic process(GO:0046348)	16990, 1779, 12, 4	3.183	0.0850474476217	0.363948597029	12
negative regulation of inclusion body assembly(GO:0090084)	16990, 1411, 11, 1	1.095	0.638922190056	0.895229138834	11
positive regulation of acute inflammatory response(GO:0002675)	16990, 1826, 29, 6	1.925	0.244145238599	0.603462794277	29
regulation of cold-induced thermogenesis(GO:0120161)	16990, 135, 143, 1	0.88	0.947835620594	1.0	143
cellular modified amino acid metabolic process(GO:0006575)	16990, 685, 187, 10	1.326	0.647283214753	0.896942561999	187
ruffle assembly(GO:0097178)	16990, 719, 13, 1	1.818	0.565577967266	0.859066262615	13
amino-acid betaine metabolic process(GO:0006577)	16990, 0, 18, 0	0.0	1.0	1.0	18
positive regulation of axonogenesis(GO:0050772)	16990, 253, 83, 4	3.236	0.173106960351	0.517491907575	83
positive regulation of telomere maintenance via telomere lengthening(GO:1904358)	16990, 1970, 37, 5	1.165	0.705188534868	0.923630745806	37
regulation of gene expression, epigenetic(GO:0040029)	16990, 1290, 191, 16	1.103	0.812440050853	0.968965198265	191
regulation of nuclear division(GO:0051783)	16990, 1584, 205, 38	1.988	0.000431233436058	0.0123220440312	205
negative regulation of cell division(GO:0051782)	16990, 702, 16, 4	6.051	0.0153593315283	0.140989283686	16
positive regulation of cell division(GO:0051781)	16990, 1450, 86, 17	2.316	0.00713266256057	0.0868247433767	86
dicarboxylic acid catabolic process(GO:0043649)	16990, 0, 18, 0	0.0	1.0	1.0	18
mRNA splice site selection(GO:0006376)	16990, 363, 30, 1	1.56	0.718006742807	0.927112476569	30
positive regulation of nuclear division(GO:0051785)	16990, 1660, 64, 12	1.919	0.10375038529	0.407113255665	64
negative regulation of nuclear division(GO:0051784)	16990, 1139, 48, 14	4.351	2.02582037737e-05	0.00121802450189	48
positive regulation of leukocyte adhesion to vascular endothelial cell(GO:1904996)	16990, 0, 12, 0	0.0	1.0	1.0	12
regulation of leukocyte adhesion to vascular endothelial cell(GO:1904994)	16990, 0, 17, 0	0.0	1.0	1.0	17
mRNA cleavage(GO:0006379)	16990, 1943, 25, 5	1.749	0.350705120589	0.703586023037	25
positive regulation of supramolecular fiber organization(GO:1902905)	16990, 504, 189, 10	1.784	0.287880575915	0.647058677641	189
regulation of transcription initiation from RNA polymerase II promoter(GO:0060260)	16990, 1692, 27, 3	1.116	0.719855120131	0.927112476569	27
positive regulation of transcription initiation from RNA polymerase II promoter(GO:0060261)	16990, 1692, 19, 3	1.585	0.488526804675	0.807926608914	19
regulation of cell aging(GO:0090342)	16990, 1606, 46, 8	1.84	0.229178913586	0.585995582943	46
positive regulation of cell aging(GO:0090343)	16990, 221, 13, 1	5.914	0.298546499028	0.655693059778	13
negative regulation of cell aging(GO:0090344)	16990, 1606, 24, 7	3.086	0.025975867668	0.195530396687	24
mitotic sister chromatid cohesion(GO:0007064)	16990, 1166, 12, 2	2.429	0.337164641114	0.691407168831	12
embryonic digestive tract development(GO:0048566)	16990, 91, 17, 2	21.965	0.0162456512757	0.146882674128	17
embryonic organ development(GO:0048568)	16990, 91, 127, 4	5.88	0.036265682514	0.233831009239	127
thyroid hormone generation(GO:0006590)	16990, 1936, 11, 1	0.798	0.736094674908	0.933460423492	11
antibiotic catabolic process(GO:0017001)	16990, 342, 53, 3	2.812	0.303699343793	0.659826467226	53
polyamine biosynthetic process(GO:0006596)	16990, 1389, 13, 3	2.823	0.190226556524	0.53665087207	13
embryonic camera-type eye development(GO:0031076)	16990, 1615, 12, 1	0.877	0.709045594255	0.924800911746	12
cytochrome complex assembly(GO:0017004)	16990, 550, 34, 3	2.726	0.284366802076	0.643672620229	34
polyamine metabolic process(GO:0006595)	16990, 138, 18, 1	6.84	0.301489358049	0.658182427606	18
regulation of glucose metabolic process(GO:0010906)	16990, 1242, 111, 8	0.986	0.891964337126	1.0	111
positive regulation of glucose metabolic process(GO:0010907)	16990, 559, 40, 2	1.52	0.668271568966	0.906027407357	40
histone H3-K9 modification(GO:0061647)	16990, 1382, 15, 3	2.459	0.253579576286	0.614467386367	15
regulation of small molecule metabolic process(GO:0062012)	16990, 560, 351, 14	1.21	0.754953356778	0.941745727577	351
uterus development(GO:0060065)	16990, 1982, 16, 5	2.679	0.0992297542199	0.395198280044	16
phosphate ion transmembrane transport(GO:0035435)	16990, 403, 15, 1	2.811	0.471677625	0.794943719779	15
determination of adult lifespan(GO:0008340)	16990, 1652, 17, 2	1.21	0.646227657672	0.896942561999	17
tetrahydrofolate metabolic process(GO:0046653)	16990, 1800, 19, 3	1.49	0.524644528313	0.83132735747	19
regulation of response to oxidative stress(GO:1902882)	16990, 1768, 81, 13	1.542	0.292970686791	0.65089561361	81
folic acid metabolic process(GO:0046655)	16990, 1921, 20, 5	2.211	0.188134297542	0.534859587497	20
monocarboxylic acid biosynthetic process(GO:0072330)	16990, 282, 205, 7	2.057	0.288044633586	0.647125029215	205
peptide hormone secretion(GO:0030072)	16990, 1049, 59, 5	1.373	0.631708546874	0.893039088122	59
intrinsic apoptotic signaling pathway by p53 class mediator(GO:0072332)	16990, 1224, 49, 5	1.416	0.585878184721	0.868833815483	49
superoxide anion generation(GO:0042554)	16990, 1198, 14, 5	5.065	0.00909419732434	0.100098602128	14
positive regulation of histone deacetylation(GO:0031065)	16990, 1434, 17, 1	0.697	0.804834601219	0.964711800261	17
neuron maturation(GO:0042551)	16990, 0, 24, 0	0.0	1.0	1.0	24
imidazole-containing compound metabolic process(GO:0052803)	16990, 0, 12, 0	0.0	1.0	1.0	12
pteridine-containing compound metabolic process(GO:0042558)	16990, 1921, 35, 7	1.769	0.27768771523	0.637736080509	35
pteridine-containing compound biosynthetic process(GO:0042559)	16990, 1800, 15, 3	1.888	0.373215480037	0.721508422527	15
pigment granule localization(GO:0051875)	16990, 1160, 24, 2	1.221	0.695464129618	0.919481018581	24
snoRNA processing(GO:0043144)	16990, 594, 13, 1	2.2	0.508591354804	0.817621796994	13
synapse maturation(GO:0060074)	16990, 1582, 12, 3	2.685	0.199475430902	0.550513445505	12
energy reserve metabolic process(GO:0006112)	16990, 576, 62, 1	0.476	0.973083761419	1.0	62
regulation of T cell mediated immunity(GO:0002709)	16990, 1772, 67, 13	1.86	0.10543833633	0.411063546593	67
regulation of glycolytic process(GO:0006110)	16990, 1242, 43, 3	0.954	0.843076077954	0.987309744254	43
regulation of gluconeogenesis(GO:0006111)	16990, 741, 45, 3	1.529	0.616890969348	0.884161371444	45
negative regulation of regulated secretory pathway(GO:1903306)	16990, 837, 23, 3	2.648	0.261666124241	0.622767965166	23
positive regulation of regulated secretory pathway(GO:1903307)	16990, 1750, 51, 4	0.761	0.931804059678	1.0	51
regulation of regulated secretory pathway(GO:1903305)	16990, 109, 161, 2	1.936	0.701659214474	0.922864707971	161
positive regulation of lipase activity(GO:0060193)	16990, 2, 69, 1	123.116	0.052013443022	0.286691429164	69
stress fiber assembly(GO:0043149)	16990, 947, 16, 2	2.243	0.396521681649	0.739015940276	16
skeletal system morphogenesis(GO:0048705)	16990, 264, 110, 10	5.851	0.000107773825784	0.00458754072585	110
locomotory behavior(GO:0007626)	16990, 661, 185, 14	1.945	0.0998284567256	0.396838741198	185
grooming behavior(GO:0007625)	16990, 99, 14, 1	12.258	0.190633645112	0.537484075608	14
embryonic skeletal system development(GO:0048706)	16990, 55, 36, 1	8.581	0.314267473824	0.67034436767	36
circadian rhythm(GO:0007623)	16990, 1663, 135, 16	1.211	0.650921114319	0.897886595892	135
lipid metabolic process(GO:0006629)	16990, 315, 1218, 26	1.151	0.803296024855	0.964711800261	1218
response to amino acid(GO:0043200)	16990, 76, 110, 5	10.161	0.00150549461411	0.0305545531386	110
cell-cell adhesion(GO:0098609)	16990, 313, 488, 10	1.112	0.887994137018	1.0	488
protein targeting to mitochondrion(GO:0006626)	16990, 1316, 30, 4	1.721	0.435504527044	0.765562098329	30
oligodendrocyte differentiation(GO:0048709)	16990, 934, 27, 3	2.021	0.405846319259	0.743665065004	27
astrocyte differentiation(GO:0048708)	16990, 1413, 16, 1	0.752	0.780841777689	0.952294358693	16
protein targeting to lysosome(GO:0006622)	16990, 1937, 20, 1	0.439	0.9115676796	1.0	20
protein targeting to vacuole(GO:0006623)	16990, 1937, 33, 2	0.532	0.950642031963	1.0	33
tube closure(GO:0060606)	16990, 1752, 79, 8	0.982	0.872980683146	1.0	79
deoxyribonucleotide biosynthetic process(GO:0009263)	16990, 1966, 15, 5	2.881	0.0762475165789	0.343399395828	15
deoxyribonucleotide metabolic process(GO:0009262)	16990, 1966, 35, 8	1.975	0.159972963156	0.497394927461	35
branch elongation of an epithelium(GO:0060602)	16990, 237, 13, 2	11.029	0.0472948957686	0.271142370258	13
transcription preinitiation complex assembly(GO:0070897)	16990, 595, 29, 4	3.939	0.0754283001844	0.34227370178	29
cellular response to starvation(GO:0009267)	16990, 507, 150, 3	0.67	0.98302489073	1.0	150
response to temperature stimulus(GO:0009266)	16990, 623, 170, 12	1.925	0.147338984445	0.475962215784	170
response to pH(GO:0009268)	16990, 131, 39, 1	3.326	0.543196383317	0.843102485884	39
response to antimetabolite(GO:0097329)	16990, 1213, 12, 5	5.836	0.00439290593078	0.0614240625786	12
vasoconstriction(GO:0042310)	16990, 1657, 30, 1	0.342	0.960728257437	1.0	30
alpha-beta T cell differentiation involved in immune response(GO:0002293)	16990, 1207, 18, 2	1.564	0.564048343086	0.858538240907	18
