gene	motif	NumOfRegions	lowerOR	upperOR	OR	p.value	FDR	family	subfamily	GeneId	ESCCTumorMean	EACTumorMean	EACNormalMean	Genebiotype
GATA4	GATA4_HUMAN.H11MO.0.A	3012	3.25537575924523	3.59771251919246	3.42236235375264	0	0	GATA-type zinc fingers	Two zinc-finger GATA factors	ENSG00000136574	0.789682566876599	19.6855373374176	26.0473567198687	protein_coding
GATA6	GATA6_HUMAN.H11MO.0.A	2910	3.04607417375126	3.3677103181251	3.20303313311105	0	0	GATA-type zinc fingers	Two zinc-finger GATA factors	ENSG00000141448	1.63180854445837	25.1550995780529	34.1841162632789	protein_coding
HNF4A	HNF4A_HUMAN.H11MO.0.A	2795	3.02678242629854	3.35006235821474	3.18442782845832	0	0	RXR-related receptors (NR2)	HNF-4 (NR2A)	ENSG00000101076	0.149945542422086	27.9364002971989	16.7689826963033	protein_coding
HNF4G	HNF4G_HUMAN.H11MO.0.B	2815	2.91813698507384	3.22837435305709	3.06952854095441	0	0	RXR-related receptors (NR2)	HNF-4 (NR2A)	ENSG00000164749	0.470139593142232	11.2815644855803	7.39914535633049	protein_coding
HNF1B	HNF1B_HUMAN.H11MO.0.A	2806	2.45771644628073	2.7171876067652	2.58444234315123	7.1385157252005e-281	3.57818100725675e-279	POU domain factors	HNF1-like factors	ENSG00000275410	0.0410840612593945	6.2092338082609	4.8942606949672	protein_coding
FOXA2	FOXA2_HUMAN.H11MO.0.A	2891	2.20802857292656	2.43828717531575	2.32041835267755	1.62882549918928e-229	5.93780931977185e-228	Forkhead box (FOX) factors	FOXA	ENSG00000125798	0.593531811380712	13.6157592479417	9.43166537812823	protein_coding
FOXA1	FOXA1_HUMAN.H11MO.0.A	3116	1.90735492861824	2.10173986350316	2.0022741560999	5.82838758304032e-167	1.46073963799948e-165	Forkhead box (FOX) factors	FOXA	ENSG00000129514	11.7619536236466	16.6909709267944	24.4695237417774	protein_coding
FOXA3	FOXA3_HUMAN.H11MO.0.B	2529	1.78946713667561	1.98151569777916	1.88324538524037	1.59925858709282e-124	2.67209455593425e-123	Forkhead box (FOX) factors	FOXA	ENSG00000170608	0.281230274180016	15.8712946185229	18.2473823891321	protein_coding
ELF3	ELF3_HUMAN.H11MO.0.A	3091	1.76509443916735	1.94490596954363	1.85294676791936	4.61540315834092e-133	8.81322222140337e-132	Ets-related factors	EHF-like factors	ENSG00000163435	20.0465203533684	60.4861919735628	29.6277807802229	protein_coding
FOXM1	FOXM1_HUMAN.H11MO.0.A	2964	1.76000076449979	1.94094677856237	1.8483935514061	2.94125994122492e-129	5.36111471105088e-128	Forkhead box (FOX) factors	FOXM	ENSG00000111206	26.9832811822388	17.8347718507285	6.31976594049857	protein_coding
EHF	EHF_HUMAN.H11MO.0.B	2884	1.75313130989496	1.93452436962116	1.84171257721854	7.66267282425543e-126	1.33597034892453e-124	Ets-related factors	EHF-like factors	ENSG00000135373	23.7598997296733	34.0182543458006	34.2000111564081	protein_coding
NR4A1	NR4A1_HUMAN.H11MO.0.A	1908	1.65108529788798	1.84528526544179	1.7457078176277	7.95200106066748e-81	8.17628827007093e-80	NGFI-B-related receptors (NR4)	NGFI-B  (NR4A1)	ENSG00000123358	11.416986186731	20.1881521099424	9.91670206178572	protein_coding
NR4A2	NR4A2_HUMAN.H11MO.0.C	1841	1.60683746960966	1.7980493182656	1.70002232942338	5.2267966100149e-72	4.27743967472648e-71	NGFI-B-related receptors (NR4)	NURR1  (NR4A2)	ENSG00000153234	4.25113798915406	10.5901542248227	4.95514322194143	protein_coding
