TF	non_tsDMRs	tsDMRs	non_tsDMRs_FDR	tsDMRs_FDR	ESCCMean	EACMean	ESCCTMean	ESCCNonmamlignant	ESCCvsEAC	ESCCTvsESCCN	deltaOR
RUNX1	1.48776688070862	1.8937441054744	2.76205407262085e-26	0.000000000193996090796927	9.93197455091303	7.52712766473705	8.011	2.737	0.511907302904664	1.44840596341342	0.405977224765784
ARI5B	1.00108940179594	1.3853976681141	0.994575288711374	0.00616646516664756	10.237145403462	9.45555038582095	19.225	13.419	0.244927027576419	0.403723139040604	0.384308266318159
OZF	1.10513402841302	1.47048986181326	0.0174794056267949	0.000292546014299922	25.2013035383028	23.8220346679755	36.476	24.86	0.200929343032359	0.446600795235189	0.365355833400239
RUNX3	1.46739418337685	1.79980869840311	0.0000000000000000000000337015945973756	0.0000000139642805381333	10.4114110606786	6.26024701707699	8.495	4.66	0.788719601865749	0.865097972276702	0.332414515026261
FOXC1	1.19317936994281	1.52079439776915	0.000026722433839699	0.000128274911126562	9.54336438332143	8.65155915347513	4.504	5.127	0.220399673977374	-0.281018232479239	0.327615027826343
CEBPD	1.10660597515758	1.42392601613323	0.019887191070149	0.00210697976335185	86.6913000044309	47.1069874246667	79.559	43.162	0.988237955748167	0.838804998747704	0.317320040975646
CEBPB	1.1374652571786	1.39577511424949	0.00361890515185252	0.00448883508329747	112.768921753338	59.9390754290269	65.633	13.745	1.03645917633897	2.24122330691005	0.258309857070891
CEBPA	1.13691670677495	1.36463073918235	0.00343203662969076	0.00851102579082087	11.7950695071345	14.9224487337996	2.625	1.373	-0.165893097890057	0.833568523474207	0.227714032407396
SOX2	1.33788543366139	1.53290931580593	0.00000000000000000806719836510998	0.0000082415933227974	47.2375674898852	4.55726448256549	70.896	30.359	3.4499215931457	1.25004268010151	0.195023882144539
PEBB	1.44733406309599	1.63113762391744	0.0000000000000000000000918004912631913	0.00000211342354631566	17.6502128227999	15.9433720384996	16.693	9.725	0.253254375779938	0.672855044014501	0.183803560821446
TF65	1.24373009744677	1.40551925616763	0.00000588818648166732	0.00947841263592502	22.0548595496449	21.5069552111415	12.294	10.359	0.158639909471339	0.171030899410188	0.161789158720859
SOX4	1.35559367029635	1.49868624827135	0.0000000000000000174322869519	0.0000596382794747944	36.1728157232089	28.7833552793737	47.569	12.997	0.438607686438442	1.82923067779615	0.143092577974999
CEBPG	1.31072810884927	1.45029166941427	0.000000000676663881401556	0.00176650434480156	14.8916813805062	19.1246246594678	14.103	10.482	-0.231756000336477	0.341298293784953	0.139563560564995
FOXO1	1.24308353684962	1.34773969080887	0.00000000878544864340244	0.00467351466347141	8.6919324364971	7.55969311762247	9.278	5.776	0.345179169350777	0.584315526120255	0.104656153959251
ATF4	1.37455016285035	1.42292104457174	0.00000000000344814403686807	0.0046138284711733	82.7483702322671	81.0166372260615	121.29	100.19	0.14787546390294	0.204869130572197	0.0483708817213899
FOXO3	1.26701230137966	1.30188750807851	0.0000000365503388566346	0.0299821454304683	11.9969610019629	15.0806188578476	11.925	13.275	-0.206385688558469	-0.25063883752973	0.0348752066988407
IRF7	1.27148289319697	1.29880227810673	0.000000000635100462116019	0.0184327331503904	13.6285392490226	16.7542210045838	10.495	4.092	-0.193306982419486	1.33377175801133	0.0273193849097595
STAT3	1.37201582767988	1.36068361975535	0.000000000000116387281434836	0.0103835476418888	35.1451266683217	36.9279333551295	29.157	20.753	0.0477824974838756	0.429174378847033	-0.0113322079245239
SOX9	1.36250553309214	1.33979035765778	0.0000000000144212042307044	0.0222386781783293	31.9810305802044	79.4962866135674	6.364	13.189	-1.19955379386874	-1.12412237362843	-0.0227151754343586
LEF1	1.30323638291649	1.26739543090391	0.000000000000823771177698271	0.0306753532478047	5.51884900140566	2.73670113127194	4.65	2.526	1.12777218503674	0.797578341347504	-0.0358409520125837
STA5B	1.30190387252061	1.17373953549806	0.000000000934869290559477	0.234383410430714	8.33458859745197	10.701129177001	7.755	8.3	-0.221346447816101	-0.190863127362602	-0.12816433702255
STAT1	1.29785899570755	1.13743737813705	0.0000000031434625445315	0.363882845955294	70.8173775516208	64.5395499084718	65.36	34.868	0.246690811455427	0.833911323508028	-0.1604216175705
TEAD1	1.31147997756163	1.14788186172794	0.0000000000103676655046018	0.285312827789188	8.79996035817355	9.21832235722872	5.778	9.14	0.0770823630020162	-0.822277803310578	-0.16359811583369
NF2L2	1.64384845028265	1.44698921582618	3.10506296907e-41	0.000636673158792785	58.4842745101539	28.1919279871167	66.611	66.265	1.16913820841857	-0.108382941127072	-0.196859234456471
MAFG	1.41668678846018	1.19540623789191	0.0000000000000000404350671776894	0.168738481963639	12.6412425782454	11.2041203026873	7.485	4.533	0.312118470770515	0.672313212962135	-0.221280550568269
MAFB	1.53041532529972	1.29075955303207	1.93335957923018e-26	0.038019463027405	37.5450353148739	10.3458251215512	43.745	14.972	2.02896978886336	1.463902747181	-0.239655772267643
