gene	motif	NumOfRegions	lowerOR	upperOR	OR	p.value	FDR	family	subfamily	GeneId	ESCCTumorMean	EACTumorMean	EACNormalMean	Genebiotype
JUN	JUN_HUMAN.H11MO.0.A	290	1.44033887334418	2.07288136743916	1.72834824659109	0.0000000024870932636276	0.000000498662199357334	Jun-related factors	Jun factors	ENSG00000177606	78.0136179800651	55.9660687599204	57.4049820456571	protein_coding
FOSL1	FOSL1_HUMAN.H11MO.0.A	299	1.43512080868151	2.05734625038762	1.71870856472807	0.00000000222294406158585	0.000000498662199357334	Fos-related factors	Fos factors	ENSG00000175592	43.731453433248	31.3024361755002	7.69720753452857	protein_coding
FOSL2	FOSL2_HUMAN.H11MO.0.A	291	1.39913206140335	2.01019825482738	1.67748206664079	0.0000000164068447691572	0.00000219304825081068	Fos-related factors	Fos factors	ENSG00000075426	52.920416395402	45.5399994124449	63.5917475844143	protein_coding
FOSB	FOSB_HUMAN.H11MO.0.A	285	1.33567013071282	1.92042699406459	1.60210240512029	0.000000285501388603081	0.0000286215142074589	Fos-related factors	Fos factors	ENSG00000125740	16.3965425928314	18.4689645852873	13.8303691895616	protein_coding
FOS	FOS_HUMAN.H11MO.0.A	278	1.31153826448013	1.8901304976712	1.57501820335464	0.000000825945012058489	0.0000662407899670908	Fos-related factors	Fos factors	ENSG00000170345	106.157306173387	111.541623050691	101.268793172129	protein_coding
JUND	JUND_HUMAN.H11MO.0.A	275	1.24443130762824	1.792020582084	1.49388305586557	0.0000139255359948889	0.000930689988991741	Jun-related factors	Jun factors	ENSG00000130522	117.184294665797	140.518148513586	104.1608352761	protein_coding
JUNB	JUNB_HUMAN.H11MO.0.A	277	1.21688849571838	1.7493309001012	1.45956960509932	0.0000361429192144753	0.00207047294357209	Jun-related factors	Jun factors	ENSG00000171223	179.859364129864	120.584892789278	105.050290355943	protein_coding
CEBPG	CEBPG_HUMAN.H11MO.0.B	181	1.1441005377165	1.74880448424011	1.41562867696819	0.00109288278882829	0.0337112306400111	C/EBP-related	C/EBP	ENSG00000153879	14.8916813805062	19.1246246594678	8.58489846355286	protein_coding
FOXA2	FOXA2_HUMAN.H11MO.0.A	299	0.631474083015948	0.886805615863493	0.748728213663726	0.000627202407363403	0.0228643786684295	Forkhead box (FOX) factors	FOXA	ENSG00000125798	0.593531811380712	13.6157592479417	9.43166537812823	protein_coding
FOXA1	FOXA1_HUMAN.H11MO.0.A	323	0.631622340898096	0.882007192723308	0.746717355635143	0.000469864369064927	0.0188415611995036	Forkhead box (FOX) factors	FOXA	ENSG00000129514	11.7619536236466	16.6909709267944	24.4695237417774	protein_coding
