FDR	deltaMethylation	Type
0.297967832214839	0.0885285714285715	non-change
1.46429322847438	-0.0847914285714285	Down
0.272055507768737	-0.0335257142857142	non-change
0.0184755798150577	0.00292571428571431	non-change
2.09080783550889	-0.0716514285714286	Down
0.908900768208735	-0.0892857142857143	non-change
2.02551182249096	-0.120245714285714	Down
0.777047603066018	-0.0525514285714286	non-change
0.635321272874369	-0.0766371428571428	non-change
0.0092226931355709	0.00129714285714277	non-change
0.417108599726146	-0.0444371428571428	non-change
0.0312251926611386	0.00440857142857143	non-change
0.0270748947733635	-0.00635714285714295	non-change
0.635321272874369	-0.0642514285714286	non-change
0.0020476133763271	-0.000211428571428529	non-change
2.14761541959338	-0.186211428571429	Down
1.67027814364368	-0.202097142857143	Down
0.918415839036769	-0.0516514285714287	non-change
0.0177012035611714	-0.00184285714285715	non-change
0.106861693041322	-0.0107828571428572	non-change
3.00604489529895	-0.159222857142857	Down
3.00604489529895	-0.188857142857143	Down
0.0020476133763271	-0.0003428571428572	non-change
0.279601834080503	0.0232285714285715	non-change
0.290646294262856	0.0413914285714285	non-change
0.419696179523032	-0.0389257142857143	non-change
0.417863966937676	-0.0224914285714286	non-change
0.720330758267324	-0.0834542857142857	non-change
0.098271123817731	-0.0092228571428572	non-change
0.0659893949438712	-0.0201657142857142	non-change
1.36327426440272	-0.102757142857143	Down
2.06506841607679	-0.123794285714286	Down
1.43089382997035	-0.06386	Down
0.378318129605869	-0.0485800000000001	non-change
0.224238740400839	-0.0293714285714285	non-change
0.158525555042704	0.0244857142857142	non-change
0.378318129605869	-0.0436114285714286	non-change
1.01671427985198	-0.0745942857142857	Down
0.405597642386773	-0.0452971428571428	non-change
0.0789360921552042	0.0104542857142857	non-change
0.434325689345886	-0.0478000000000001	non-change
0.0789360921552042	-0.0147971428571428	non-change
0.0390785312162929	0.00574857142857144	non-change
0.428355247439757	-0.0532571428571429	non-change
1.16920671254182	-0.08352	Down
0.202477206783571	-0.0159628571428571	non-change
1.29817922856014	-0.101557142857143	Down
1.64834566257755	-0.0936714285714286	Down
1.15140251776169	-0.07426	Down
0.221209889607486	-0.0149571428571429	non-change
1.26578606896959	-0.0853171428571429	Down
0.777047603066018	-0.0458400000000001	non-change
1.74525865126943	-0.0970857142857143	Down
1.69825850421717	-0.0964657142857143	Down
0.408195030276667	-0.0547571428571428	non-change
0.903552328079714	-0.11746	non-change
0.938517402020372	-0.122788571428571	non-change
0.202477206783571	-0.0300828571428572	non-change
0.0390785312162929	-0.00726285714285713	non-change
0.0842203011129651	0.0145057142857143	non-change
0.0834587132264112	0.00821142857142854	non-change
0.450278380139005	-0.0601257142857143	non-change
0.918415839036769	-0.0560057142857143	non-change
0.0312251926611386	-0.00463142857142851	non-change
0.239505409509997	0.0384942857142857	non-change
0.287566409642497	-0.021	non-change
1.42097189078123	-0.100714285714286	Down
2.95920575550391	-0.134511428571429	Down
0.918415839036769	-0.124422857142857	non-change
0.918088908440093	-0.0619342857142857	non-change
1.27124497917217	-0.126394285714286	Down
0.918415839036769	-0.0694457142857143	non-change
0.239505409509997	-0.0213771428571429	non-change
0.64016859760534	-0.0510057142857142	non-change
1.34423783753097	-0.105788571428571	Down
1.17537294713599	-0.0544371428571429	Down
0.678868361904756	-0.0395514285714287	non-change
1.34423783753097	-0.0578571428571428	Down
0.0500209879703948	0.00493142857142859	non-change
0.191881102715745	0.0573	non-change
0.374540639039634	-0.0295571428571428	non-change
1.48274641919373	-0.121845714285714	Down
1.48462750527085	-0.0716742857142857	Down
0.0364081207471528	0.00477142857142854	non-change
0.409320495467362	-0.0315342857142857	non-change
0.265352486697995	0.0194742857142857	non-change
0.0312251926611386	-0.00439428571428568	non-change
0.349241229745312	0.0306428571428571	non-change
0.250231883756192	-0.0448171428571429	non-change
0.0184755798150577	-0.00265428571428572	non-change
0.218032151144973	-0.0212114285714285	non-change
0.472537234108078	-0.0345142857142856	non-change
1.18526350131382	-0.0808085714285715	Down
0.918088908440093	-0.04552	non-change
0.762295049222467	-0.0363314285714286	non-change
0.909512460961687	0.0473542857142857	non-change
0.326044696373928	0.0541257142857143	non-change
0.86832221034874	-0.03408	non-change
0.246994395273181	0.0401142857142858	non-change
0.0522695689953141	-0.00503142857142846	non-change
0.450278380139005	-0.0405085714285714	non-change
0.240015645074939	-0.0226085714285714	non-change
0.258851207639889	-0.0311885714285715	non-change
0.324448808136485	-0.0388742857142858	non-change
0.508754742509534	0.0558342857142857	non-change
0.540676680213027	-0.0346571428571428	non-change
0.374018998927731	-0.042237142857143	non-change
0.218032151144973	0.0319885714285715	non-change
1.33714805206223	-0.0785428571428571	Down
0.918088908440093	-0.0680114285714285	non-change
0.202477206783571	-0.0217542857142857	non-change
1.06925157256205	-0.0880142857142857	Down
1.21557346614395	-0.124354285714286	Down
0.102087234276615	-0.0163142857142858	non-change
1.48462750527085	0.0882228571428572	Up
1.09439854639414	0.0795828571428571	Up
1.34423783753097	-0.121257142857143	Down
0.46601136028219	-0.0375971428571429	non-change
0.444658676801374	-0.0463285714285714	non-change
2.02551182249096	-0.0852542857142857	Down
1.08402311275736	0.0669657142857143	Up
0.0302575142832939	0.00360285714285713	non-change
2.30760620375437	-0.108548571428571	Down
1.02510327536237	-0.0863628571428572	Down
0.0726512231214741	-0.0141028571428571	non-change
2.36465732796906	-0.07984	Down
0.740138490809264	-0.0580514285714285	non-change
0.218032151144973	-0.0275514285714286	non-change
0.391089141040889	-0.0324828571428571	non-change
0.256439291918789	-0.0410571428571428	non-change
1.10899698445269	-0.0629571428571428	Down
1.08562153116892	-0.0917485714285714	Down
0.0312251926611386	0.0058314285714286	non-change
0.505456072762746	0.0352628571428572	non-change
0.0792291370064373	0.0129228571428571	non-change
0.256439291918789	-0.0299199999999999	non-change
0.284656463921744	-0.0303914285714286	non-change
0.314567672477693	0.0248771428571428	non-change
0.0286398973002897	0.0106171428571428	non-change
0.46601136028219	0.0567428571428572	non-change
0.252785833676761	-0.0312885714285714	non-change
0.0223135265995155	-0.00364857142857145	non-change
0.00435854070224803	0.00038285714285724	non-change
0.327579429010577	-0.0316628571428571	non-change
0.148864177925041	-0.0180171428571428	non-change
0.0356111023578967	-0.0170571428571428	non-change
0.408490516148129	-0.03942	non-change
0.380423736376388	-0.0668742857142857	non-change
0.697244589115012	-0.0499114285714285	non-change
0.256439291918789	-0.0318228571428572	non-change
0.246994395273181	-0.0444114285714285	non-change
0.926521451009412	-0.06908	non-change
0.589212634565728	-0.0685914285714285	non-change
0.021258440599561	-0.0042914285714285	non-change
0.136602866534422	-0.0242771428571429	non-change
0.275489118643376	-0.05296	non-change
0.0641149205166105	-0.0100285714285714	non-change
0.0906937560013294	0.0114514285714287	non-change
1.98209796520311	-0.107245714285714	Down
1.23148898555084	-0.0736257142857143	Down
0.218032151144973	0.0209971428571428	non-change
0.31347161226511	0.0271314285714285	non-change
2.06128724836084	-0.189522857142857	Down
0.834636955506268	-0.0678742857142857	non-change
0.995264334702932	-0.0753142857142858	non-change
0.434267115693054	-0.04148	non-change
0.318966515020701	-0.0539857142857143	non-change
0.0659893949438712	-0.00845142857142855	non-change
0.623007807978439	-0.0337971428571429	non-change
0.406281764722414	-0.04136	non-change
1.27124497917217	-0.0927771428571429	Down
0.616638496649963	0.0833485714285714	non-change
0.202477206783571	-0.0291057142857143	non-change
0.288210479763004	-0.0233971428571428	non-change
0.0867590571923635	-0.0170057142857143	non-change
0.918415839036769	-0.0526142857142857	non-change
0.450278380139005	-0.0572628571428572	non-change
0.297967832214839	0.0421828571428572	non-change
1.79794024799785	-0.0772628571428571	Down
1.48462750527085	-0.18854	Down
0.218032151144973	-0.0494971428571428	non-change
0.0182503109387337	0.00353428571428571	non-change
0.250231883756192	-0.0220257142857142	non-change
0.124947526518473	-0.0155714285714286	non-change
0.0792962408265882	-0.0137628571428572	non-change
0.455066757858534	-0.0486542857142856	non-change
0.770735472156126	-0.0521714285714286	non-change
0.908900768208735	-0.0365171428571428	non-change
0.918088908440093	-0.0869342857142857	non-change
1.3641528960268	-0.0979428571428571	Down
0.480203799320747	-0.0264628571428572	non-change
1.03096306936216	-0.113514285714286	Down
0.158525555042704	0.01596	non-change
0.875715332641148	-0.0998142857142856	non-change
1.13842074994491	-0.0848742857142857	Down
1.48202807409275	-0.190794285714286	Down
0.895462754729608	0.0637285714285715	non-change
0.290646294262856	-0.0298342857142857	non-change
0.918415839036769	-0.0698114285714285	non-change
0.133124896869292	-0.0205285714285715	non-change
0.250231883756192	-0.0325971428571429	non-change
0.0792291370064373	-0.0143171428571428	non-change
1.32177076126453	-0.0941428571428572	Down
0.908900768208735	-0.0444085714285715	non-change
2.95920575550391	-0.18024	Down
1.64141602039679	-0.0873428571428571	Down
0.282896032875029	-0.0228257142857142	non-change
0.45741381245842	-0.0589571428571428	non-change
2.0214328222421	-0.0928	Down
0.629349311816618	-0.0452285714285714	non-change
1.24938674194763	-0.0512514285714286	Down
0.51200791923494	-0.0296571428571429	non-change
0.158525555042704	-0.0253571428571429	non-change
0.758074814998675	-0.153857142857143	non-change
0.0020476133763271	0.000405714285714232	non-change
0.158525555042704	0.00994857142857142	non-change
2.43917940295156	-0.11374	Down
0.147441398440644	-0.0171542857142857	non-change
2.95920575550391	-0.1508	Down
1.21073162480821	-0.0519742857142858	Down
0.918415839036769	-0.0805171428571428	non-change
0.647254605866493	-0.0789628571428571	non-change
0.50887843926258	0.05362	non-change
0.106861693041322	-0.0118714285714286	non-change
1.64141602039679	-0.0965685714285714	Down
0.439922351109469	0.0522257142857142	non-change
0.00787819234939119	-0.000957142857142879	non-change
0.46601136028219	0.0320942857142857	non-change
1.74525865126943	-0.0721857142857143	Down
0.0614433137406828	0.00647428571428565	non-change
1.01609199945889	-0.0809057142857142	Down
0.447374601367621	0.0281514285714285	non-change
0.202548690649345	0.0191142857142856	non-change
1.51573594806598	-0.0586628571428572	Down
0.415192693353208	-0.0326714285714286	non-change
0.587263972260676	0.0403742857142857	non-change
1.95609419024514	-0.148691428571429	Down
2.0214328222421	-0.0919085714285715	Down
1.69825850421717	-0.0948971428571428	Down
0.205735490144058	0.0253342857142858	non-change
0.292542362211296	-0.0437114285714285	non-change
0.450278380139005	-0.02852	non-change
0.0148294438733183	0.00379428571428575	non-change
0.191881102715745	-0.0163085714285715	non-change
0.0263269962381206	0.00402571428571419	non-change
0.840432334181479	0.14014	non-change
0.777047603066018	-0.0438771428571429	non-change
0.918415839036769	-0.0667142857142857	non-change
0.318989258132928	0.0307171428571428	non-change
0.00435854070224803	-0.001	non-change
0.417108599726146	0.0335800000000001	non-change
0.0184755798150577	-0.00189428571428574	non-change
0.740138490809264	0.0328114285714285	non-change
1.34423783753097	-0.0774199999999999	Down
0.635321272874369	-0.0555514285714286	non-change
0.256439291918789	-0.0344457142857143	non-change
0.828083471846608	-0.0401428571428571	non-change
0.532416423857393	-0.0363171428571428	non-change
0.178907159937909	-0.0138114285714285	non-change
0.430564176227895	-0.0500285714285715	non-change
1.50836192889245	-0.0906171428571428	Down
0.652976349547908	-0.0340485714285714	non-change
0.230908469260335	0.0477000000000001	non-change
1.01278380152331	-0.0601485714285714	Down
0.197768469021008	-0.02302	non-change
0.197768469021008	-0.0236314285714285	non-change
0.314567672477693	-0.0544342857142857	non-change
0.0312251926611386	-0.00509428571428572	non-change
0.691444683862135	-0.0677571428571428	non-change
0.861621725583536	-0.0508	non-change
0.777047603066018	-0.0442142857142858	non-change
0.50146293656592	-0.0511857142857143	non-change
0.732203070293516	-0.0505028571428571	non-change
0.243537447983453	-0.0234485714285714	non-change
