FDR	deltaMethylation	Type
1.57230781568434	-0.126386904761905	Down
1.1425979694714	-0.112480952380952	Down
2.50272998064189	-0.149166666666667	Down
1.11735925271163	-0.0788761904761905	Down
4.11064266708385	-0.191277380952381	Down
1.68665852407216	-0.0943011904761905	Down
3.54975777998878	-0.170198809523809	Down
0.500273914080129	-0.0386357142857143	non-change
2.54952363740968	-0.187536904761905	Down
0.474479187176479	-0.0697238095238095	non-change
0.867978979913291	-0.0695178571428571	non-change
1.21346748739117	-0.0828607142857143	Down
2.60075206858486	-0.132996428571429	Down
0.651404387760826	-0.074572619047619	non-change
1.61102172689366	-0.121585714285714	Down
1.80215627775443	-0.140996428571429	Down
2.04335370552779	-0.188295238095238	Down
0.961944383626793	-0.0710869047619047	non-change
0.779161672510648	-0.118005952380952	non-change
1.34271795043738	-0.0882202380952381	Down
1.33558553250808	-0.1192	Down
1.33611372215749	-0.143704761904762	Down
5.28537335777953	-0.280978571428571	Down
5.17759261843484	-0.23897380952381	Down
0.556346507221505	-0.0890845238095238	non-change
0.0464839956594985	-0.0070702380952381	non-change
3.99800705337686	-0.204607142857143	Down
1.71120270406457	-0.0981202380952382	Down
5.36170094923248	-0.232642857142857	Down
5.9327265665284	-0.242327380952381	Down
0.493123775200169	-0.0693333333333333	non-change
2.71798005092745	-0.158208333333333	Down
1.37551370259014	-0.114557142857143	Down
1.16253118952353	-0.0943797619047618	Down
0.519622991057414	-0.0556988095238096	non-change
0.244893739896976	-0.0334904761904762	non-change
1.83051517163214	-0.129457142857143	Down
2.91347018927129	-0.126054761904762	Down
1.47490307603012	-0.11869880952381	Down
1.40429783825238	-0.0965154761904762	Down
0.539179419143754	-0.0512011904761904	non-change
1.3168976403066	-0.095129761904762	Down
4.02256191118153	-0.187747619047619	Down
2.09680884270061	-0.147215476190476	Down
2.40440730702038	-0.115464285714286	Down
1.65924985727343	-0.0942178571428571	Down
1.52914506279308	-0.108065476190476	Down
1.39045215170258	-0.0813154761904762	Down
0.0853045474478149	-0.019547619047619	non-change
1.41930603384455	-0.0905107142857142	Down
1.42482718837237	-0.111525	Down
1.27400229962833	-0.0770380952380952	Down
0.558791328842008	-0.0610011904761905	non-change
0.627189936823619	-0.0472654761904762	non-change
2.89893191413623	-0.145095238095238	Down
1.70747915805979	-0.126382142857143	Down
0.556346507221505	-0.0646904761904761	non-change
1.50334344248318	-0.0926142857142856	Down
2.08451656176579	-0.0918166666666667	Down
0.442299867734288	-0.0478238095238095	non-change
3.11333818956547	-0.147328571428571	Down
2.16854471235568	-0.1221	Down
2.61661107449601	-0.129298809523809	Down
2.45420220812725	-0.134053571428571	Down
1.61102172689366	-0.122490476190476	Down
0.258962118593714	-0.0218916666666667	non-change
0.926762163018199	-0.0848238095238095	non-change
3.64928881991258	-0.15337380952381	Down
1.88158886477451	-0.134439285714286	Down
4.77013535045495	-0.21715119047619	Down
2.238444021401	-0.118370238095238	Down
0.771015775759436	-0.0588047619047619	non-change
0.446728993049743	-0.0725059523809524	non-change
1.45522591870301	-0.114958333333333	Down
3.20742786889457	-0.174234523809524	Down
0.91120647888501	-0.0675107142857143	non-change
3.27513735192449	-0.224535714285714	Down
2.50507708392715	-0.172146428571429	Down
1.98196340038471	-0.145302380952381	Down
0.526280133908941	-0.0575523809523809	non-change
1.11528964096663	-0.125660714285714	Down
2.9364127107199	-0.135248809523809	Down
1.55784972925183	-0.085952380952381	Down
0.605433066984253	-0.0396285714285714	non-change
1.59909669197512	-0.0812261904761905	Down
0.200191904451899	-0.0329547619047619	non-change
0.0215509560257912	0.0033738095238095	non-change
1.67925246364281	-0.106060714285714	Down
2.99270234581656	-0.140077380952381	Down
1.1887210141233	-0.10762380952381	Down
1.50726726055347	-0.104278571428571	Down
1.40165853355684	-0.106082142857143	Down
1.59376523102626	-0.142103571428571	Down
3.72177951924009	-0.149008333333333	Down
1.5050751257296	-0.111210714285714	Down
4.02681525742423	-0.147103571428571	Down
2.51690680687028	-0.128914285714286	Down
0.496806342377446	-0.0622571428571429	non-change
3.2297176275063	-0.129732142857143	Down
0.415160905246631	-0.0311047619047619	non-change
1.0568419991936	-0.0655773809523809	Down
2.60639252398161	-0.149980952380952	Down
2.40440730702038	-0.149963095238095	Down
1.91169141633068	-0.115392857142857	Down
0.242006354835209	-0.0242309523809524	non-change
0.651848669087428	-0.051722619047619	non-change
0.558791328842008	0.0418190476190476	non-change
3.31732203057566	-0.135322619047619	Down
0.976600361690328	-0.0684440476190477	non-change
1.93569955306098	-0.0946523809523809	Down
3.19234282629119	-0.12595	Down
1.3002443525607	-0.104428571428572	Down
1.38034800146694	-0.0804309523809524	Down
1.13863138708588	-0.116514285714286	Down
0.566069966400054	-0.0452059523809524	non-change
3.27513735192449	-0.152035714285714	Down
1.77087141643883	-0.0927547619047618	Down
1.31366161777753	-0.0715309523809524	Down
4.00504968019794	-0.167907142857143	Down
3.66222526297154	-0.17069880952381	Down
1.31940508263768	-0.088927380952381	Down
2.34259068734373	-0.140459523809524	Down
2.54324365762856	-0.153840476190476	Down
2.28631241762902	-0.129845238095238	Down
0.917933253449767	-0.102127380952381	non-change
3.70898675897542	-0.156197619047619	Down
2.57347247866141	-0.149995238095238	Down
1.11021705411589	-0.078945238095238	Down
0.127217876626579	0.0153678571428572	non-change
4.49852263581533	-0.227333333333333	Down
2.5913145004244	-0.141348809523809	Down
1.12921528153387	-0.106257142857143	Down
0.809724178593329	-0.0808773809523809	non-change
1.88158886477451	-0.101129761904762	Down
0.0482002965185467	-0.00886428571428571	non-change
0.869686156312704	-0.105227380952381	non-change
0.867497867051083	-0.100691666666667	non-change
0.659614829806811	-0.0853404761904761	non-change
1.56700796973378	-0.109386904761905	Down
4.11064266708385	-0.221140476190476	Down
4.01099453641549	-0.199682142857143	Down
3.99714092531448	-0.206120238095238	Down
2.88010126247696	-0.17035	Down
3.97152316546157	-0.217378571428572	Down
0.0304265476176402	0.00288809523809519	non-change
4.00134950590159	-0.159011904761905	Down
2.53380839289407	-0.131158333333333	Down
1.12003112072465	-0.0606607142857143	Down
2.28660564856816	-0.166092857142857	Down
0.346917621050172	-0.0412595238095238	non-change
3.84752478655511	-0.21495119047619	Down
4.27905954954326	-0.233155952380952	Down
4.22242735560603	-0.197311904761905	Down
4.96582197370542	-0.251634523809524	Down
1.45088082962268	-0.118635714285714	Down
1.37467235406017	-0.101635714285714	Down
3.30189453073569	-0.14269880952381	Down
3.99800705337686	-0.207271428571429	Down
4.02681525742423	-0.214813095238095	Down
2.95602774477196	-0.13509880952381	Down
0.146307222908786	0.0201892857142857	non-change
1.25415478066163	-0.10147619047619	Down
3.89555593983684	-0.159083333333333	Down
0.768950029792368	-0.0996345238095238	non-change
2.06739045730309	-0.10212380952381	Down
3.13692767956148	-0.160765476190476	Down
4.00504968019794	-0.191594047619048	Down
2.49957367611845	-0.147332142857143	Down
3.13404655062645	-0.138694047619048	Down
2.81702918570667	-0.141894047619048	Down
0.917933253449767	-0.103594047619048	non-change
3.57978264364536	-0.163730952380952	Down
2.1886377463465	-0.11820119047619	Down
2.19907136919931	-0.0997130952380952	Down
0.0138802612436373	-0.00174404761904767	non-change
0.356208373696743	-0.0424964285714285	non-change
3.53735823471592	-0.149173809523809	Down
2.87586979235115	-0.138136904761905	Down
0.558791328842008	-0.0720404761904762	non-change
0.818307624425149	-0.0765273809523809	non-change
1.91544940199803	-0.15039880952381	Down
0.0297144899178328	-0.0072619047619048	non-change
1.76595949532489	-0.107264285714286	Down
1.76595949532489	-0.100571428571429	Down
1.65853332339937	-0.0950440476190476	Down
1.65267585012933	-0.111346428571429	Down
2.16052233885704	-0.108405952380952	Down
2.00900610107427	-0.0932988095238095	Down
1.33923565100136	-0.113463095238095	Down
2.96697850310552	-0.164916666666667	Down
2.83374242490269	-0.153085714285714	Down
1.93569955306098	-0.0804964285714286	Down
4.00134950590159	-0.218007142857143	Down
0.289846682839967	-0.0296238095238095	non-change
0.464456901664086	-0.083497619047619	non-change
1.6496963210704	-0.157763095238095	Down
1.07550767278036	-0.0916785714285715	Down
1.10024976249886	-0.194404761904762	Down
2.23000284383461	-0.142786904761905	Down
1.05510981757279	-0.0986380952380952	Down
1.11918596967539	-0.128990476190476	Down
1.11456310667679	-0.134321428571428	Down
0.530200890031109	-0.0858571428571429	non-change
0.827069755094995	-0.105365476190476	non-change
0.554997340710759	-0.0594452380952381	non-change
0.187538383853639	-0.0235428571428571	non-change
0.354280889519458	-0.0445964285714285	non-change
1.59857902885949	-0.135036904761905	Down
0.464456901664086	-0.0606785714285715	non-change
0.867188173744743	-0.0897845238095238	non-change
1.31366161777753	-0.129434523809524	Down
2.64528515686645	-0.182409523809524	Down
2.08093893845125	-0.109975	Down
1.54110528856645	-0.112046428571429	Down
0.356588724267797	-0.0439083333333333	non-change
0.225225137985658	-0.0469178571428572	non-change
3.19234282629119	-0.206753571428571	Down
1.02015465761189	-0.107391666666667	Down
1.82037652423345	-0.129148809523809	Down
0.112496745033034	-0.0167821428571429	non-change
0.346917621050172	-0.0462559523809524	non-change
4.02681525742423	-0.159947619047619	Down
3.73459508829236	-0.134320238095238	Down
0.729559445370438	-0.0440154761904762	non-change
1.4083759940985	-0.114380952380952	Down
3.01404765989034	-0.190034523809524	Down
1.12525422892535	-0.075097619047619	Down
2.62667759886698	-0.115335714285714	Down
2.63532738096788	-0.152575	Down
2.87586979235115	-0.168203571428571	Down
2.27973172507113	-0.170003571428571	Down
1.93569955306098	-0.125042857142857	Down
1.78736484801335	-0.102638095238095	Down
1.85532405270749	-0.121582142857143	Down
2.9203882144458	-0.154714285714286	Down
1.64295796598051	-0.113291666666667	Down
1.65291802200945	-0.102395238095238	Down
0.872158217580236	-0.0737976190476191	non-change
2.40440730702038	-0.115021428571429	Down
2.23995259236759	-0.135994047619048	Down
4.77013535045495	-0.232882142857143	Down
1.69380482650324	-0.114465476190476	Down
1.22416054035738	-0.097427380952381	Down
3.01404765989034	-0.176322619047619	Down
1.03720677821606	-0.108005952380952	Down
1.6688186297532	-0.129628571428571	Down
1.81870333509207	-0.121580952380952	Down
1.5050751257296	-0.135689285714286	Down
