FDR	deltaMethylation	Type
0.0145951270143036	0.00873809523809521	non-change
0.175923527522137	-0.0509904761904761	non-change
0.0191533624371088	-0.00946785714285714	non-change
0.20577447693227	-0.0491904761904762	non-change
0.0651214070695444	-0.0250916666666667	non-change
0.0436372422387897	0.0188190476190476	non-change
0.0809417794195605	0.0309321428571429	non-change
0.00407744743520082	0.00179642857142848	non-change
0.0116336130925996	-0.00600238095238104	non-change
0.0490978410738262	-0.0206559523809524	non-change
0.0374111424311351	0.0199297619047619	non-change
0.103830960925433	0.0330738095238095	non-change
0.090083506232304	-0.0262404761904761	non-change
0.0463575506673738	-0.0178452380952381	non-change
0.198693671717194	-0.0503714285714286	non-change
0.339725198606253	-0.0771869047619048	non-change
0.220721269193006	-0.0625095238095238	non-change
0.126191534635634	-0.052372619047619	non-change
0.226598655123883	-0.0601321428571428	non-change
0.0145951270143036	-0.00804761904761908	non-change
0.0460096755177908	0.0177666666666667	non-change
0.0126341079460289	-0.00622499999999998	non-change
0.0846237040642788	0.0303464285714286	non-change
0.301012155153282	0.0692249999999999	non-change
0.419832930483516	0.0802023809523809	non-change
1.14800863873571	0.159690476190476	Up
1.22085257489915	0.160220238095238	Up
0.839059069660562	0.147217857142857	non-change
0.867867054857599	0.127819047619048	non-change
0.502497332559481	0.0939047619047619	non-change
1.22085257489915	0.140908333333333	Up
0.000143485047514605	-0.0000369047619047658	non-change
0.0226548079046191	0.0110166666666667	non-change
0.185647415021559	0.0504440476190476	non-change
0.0189758448361166	-0.0104142857142857	non-change
0.0431367034542391	-0.0209488095238095	non-change
0.0154428347833411	0.00824761904761906	non-change
0.455463644391776	0.0992690476190476	non-change
0.114204896979041	0.0438107142857143	non-change
0.0226548079046191	0.0124678571428571	non-change
0.125658388738086	-0.0373583333333333	non-change
0.25179494879508	-0.0503583333333334	non-change
0.00730608540792505	-0.00373809523809532	non-change
0.589951393137934	0.102311904761905	non-change
0.918324406541182	0.14415119047619	non-change
0.600386134692713	0.101630952380952	non-change
0.784699864275309	0.132272619047619	non-change
0.194939494579577	0.0469416666666667	non-change
0.0485995789189792	0.0229595238095238	non-change
2.27967676979549	-0.185803571428572	Down
0.918324406541182	-0.131721428571429	non-change
0.681181311728763	-0.111728571428571	non-change
