FDR	deltaMethylation	Type
3.44509944031081	-0.372582600732601	Down
2.2388592240787	-0.0707272485761982	Down
3.72756464331209	-0.415780350601779	Down
3.32297752951533	-0.45945525748761	Down
2.50579801389163	-0.297198650793651	Down
3.87415421043647	-0.416872377622378	Down
4.23988761459934	-0.334233707482993	Down
4.72321794520469	-0.267007188710459	Down
3.98656630887507	-0.360852244643677	Down
2.85890677607534	-0.244016117216117	Down
3.04384425191761	-0.326157442600026	Down
1.78309217187633	-0.248170634920635	Down
2.83120354937672	-0.157524675324675	Down
3.47989967115402	-0.266452597402597	Down
3.8686350159108	-0.293904029304029	Down
2.26889546789295	-0.284434920634921	Down
4.63414151644842	-0.337171380411814	Down
3.287195888864	-0.439896428571429	Down
2.72551981884536	-0.125237867500884	Down
5.33254016546596	-0.248369655426273	Down
3.23674827274272	-0.283075693354265	Down
4.64000473610373	-0.39387010291296	Down
2.87920988746535	-0.340444047619048	Down
2.37328543219452	-0.263104081632653	Down
3.77260697563711	-0.297396428571429	Down
3.73420878925846	-0.342291746031746	Down
3.29466630225197	-0.492376891362606	Down
1.96977467160031	-0.298181519274376	Down
3.15724102825589	-0.432753896103896	Down
2.91844968412501	-0.503829725829726	Down
2.45704877003781	-0.292556473461179	Down
2.4338250886824	-0.348068831168831	Down
4.15906539749233	-0.456570490620491	Down
5.29576496729559	-0.416249365390702	Down
0.918533207638911	-0.185387728937729	non-change
2.40330695897887	-0.447368333333333	Down
3.02072804041578	-0.338055476190476	Down
3.22882028055925	-0.191593095238095	Down
2.22451200011872	-0.339848593073593	Down
3.58812453906741	-0.310861167800453	Down
4.47651412084004	-0.207671683673469	Down
4.5394047999257	-0.428965555555556	Down
4.67694976036182	-0.298088614179471	Down
4.27085839083714	-0.375375675270108	Down
3.80500574232657	-0.451631349206349	Down
3.23535757130609	-0.465411360544218	Down
3.43281914192409	-0.368147462446517	Down
2.72982174556346	-0.347092576867577	Down
3.06099044098028	-0.192383198723683	Down
3.09469403068928	-0.344609523809524	Down
4.72133947437327	-0.384894355644356	Down
3.89175865003105	-0.440474025974026	Down
