barcode	disease	samples	x	y	type	color	cancerType	Label	delta_ESCCDMRsVSEACDMRs
TCGA-OR-A5J1	ACC	TCGA-OR-A5J1-01	113	278	1	#C1A72F	ACC	Others	-0.0417343320399349
TCGA-OR-A5J2	ACC	TCGA-OR-A5J2-01	121	256	1	#C1A72F	ACC	Others	-0.0256231555578029
TCGA-OR-A5J3	ACC	TCGA-OR-A5J3-01	54	284	1	#C1A72F	ACC	Others	-0.0505526138160551
TCGA-OR-A5J5	ACC	TCGA-OR-A5J5-01	52	287	1	#C1A72F	ACC	Others	-0.0792642870727118
TCGA-OR-A5J6	ACC	TCGA-OR-A5J6-01	49	284	1	#C1A72F	ACC	Others	-0.0318974978076739
TCGA-OR-A5J7	ACC	TCGA-OR-A5J7-01	47	286	1	#C1A72F	ACC	Others	-0.038420251487604
TCGA-OR-A5J8	ACC	TCGA-OR-A5J8-01	144	234	1	#C1A72F	ACC	Others	-0.109258093828642
TCGA-OR-A5J9	ACC	TCGA-OR-A5J9-01	52	284	1	#C1A72F	ACC	Others	-0.0686148968796236
TCGA-OR-A5JA	ACC	TCGA-OR-A5JA-01	51	287	1	#C1A72F	ACC	Others	-0.0468598990208452
TCGA-OR-A5JB	ACC	TCGA-OR-A5JB-01	316	177	1	#C1A72F	ACC	Others	-0.0776343579301504
TCGA-OR-A5JC	ACC	TCGA-OR-A5JC-01	51	288	1	#C1A72F	ACC	Others	-0.0533104740679318
TCGA-OR-A5JD	ACC	TCGA-OR-A5JD-01	53	288	1	#C1A72F	ACC	Others	-0.0541585854397931
TCGA-OR-A5JE	ACC	TCGA-OR-A5JE-01	46	284	1	#C1A72F	ACC	Others	-0.0384362483669801
TCGA-OR-A5JF	ACC	TCGA-OR-A5JF-01	48	284	1	#C1A72F	ACC	Others	-0.0567322689226843
TCGA-OR-A5JG	ACC	TCGA-OR-A5JG-01	49	288	1	#C1A72F	ACC	Others	-0.0620491916488978
TCGA-OR-A5JI	ACC	TCGA-OR-A5JI-01	48	287	1	#C1A72F	ACC	Others	-0.0745953188367248
TCGA-OR-A5JJ	ACC	TCGA-OR-A5JJ-01	49	286	1	#C1A72F	ACC	Others	-0.0727396045415236
TCGA-OR-A5JK	ACC	TCGA-OR-A5JK-01	51	281	1	#C1A72F	ACC	Others	-0.0523496847103339
TCGA-OR-A5JL	ACC	TCGA-OR-A5JL-01	55	284	1	#C1A72F	ACC	Others	-0.0391705597498178
TCGA-OR-A5JM	ACC	TCGA-OR-A5JM-01	49	283	1	#C1A72F	ACC	Others	-0.0286534010185786
TCGA-OR-A5JO	ACC	TCGA-OR-A5JO-01	163	230	1	#C1A72F	ACC	Others	0.024387737788756
TCGA-OR-A5JP	ACC	TCGA-OR-A5JP-01	49	282	1	#C1A72F	ACC	Others	-0.0568430092115398
TCGA-OR-A5JQ	ACC	TCGA-OR-A5JQ-01	53	283	1	#C1A72F	ACC	Others	-0.0589118773985803
TCGA-OR-A5JR	ACC	TCGA-OR-A5JR-01	53	282	1	#C1A72F	ACC	Others	-0.0689628441084583
TCGA-OR-A5JS	ACC	TCGA-OR-A5JS-01	43	275	1	#C1A72F	ACC	Others	-0.0442823607989068
TCGA-OR-A5JT	ACC	TCGA-OR-A5JT-01	32	267	1	#C1A72F	ACC	Others	-0.0486279134688583
TCGA-OR-A5JV	ACC	TCGA-OR-A5JV-01	51	285	1	#C1A72F	ACC	Others	-0.0441516247318114
TCGA-OR-A5JW	ACC	TCGA-OR-A5JW-01	48	288	1	#C1A72F	ACC	Others	-0.0636340570970326
TCGA-OR-A5JX	ACC	TCGA-OR-A5JX-01	50	284	1	#C1A72F	ACC	Others	-0.0623406861345626
TCGA-OR-A5JY	ACC	TCGA-OR-A5JY-01	52	282	1	#C1A72F	ACC	Others	-0.0314092152869806
TCGA-OR-A5JZ	ACC	TCGA-OR-A5JZ-01	51	283	1	#C1A72F	ACC	Others	-0.0642853565334081
TCGA-OR-A5K0	ACC	TCGA-OR-A5K0-01	91	291	1	#C1A72F	ACC	Others	-0.00997667672200364
TCGA-OR-A5K1	ACC	TCGA-OR-A5K1-01	53	285	1	#C1A72F	ACC	Others	-0.0527831722404126
TCGA-OR-A5K2	ACC	TCGA-OR-A5K2-01	47	283	1	#C1A72F	ACC	Others	-0.0335695376988103
TCGA-OR-A5K3	ACC	TCGA-OR-A5K3-01	50	285	1	#C1A72F	ACC	Others	-0.0627795748262646
TCGA-OR-A5K4	ACC	TCGA-OR-A5K4-01	50	282	1	#C1A72F	ACC	Others	-0.0666413112673622
TCGA-OR-A5K5	ACC	TCGA-OR-A5K5-01	36	257	1	#C1A72F	ACC	Others	-0.0138132394748723
TCGA-OR-A5K6	ACC	TCGA-OR-A5K6-01	60	283	1	#C1A72F	ACC	Others	-0.0402033667076709
TCGA-OR-A5K8	ACC	TCGA-OR-A5K8-01	50	288	1	#C1A72F	ACC	Others	-0.0795672577414493
TCGA-OR-A5K9	ACC	TCGA-OR-A5K9-01	47	284	1	#C1A72F	ACC	Others	-0.0441294782203013
TCGA-OR-A5KO	ACC	TCGA-OR-A5KO-01	35	281	1	#C1A72F	ACC	Others	-0.066321132915417
TCGA-OR-A5KT	ACC	TCGA-OR-A5KT-01	135	238	1	#C1A72F	ACC	Others	-0.0548035155928077
TCGA-OR-A5KU	ACC	TCGA-OR-A5KU-01	54	285	1	#C1A72F	ACC	Others	-0.0650100978816756
TCGA-OR-A5KV	ACC	TCGA-OR-A5KV-01	106	272	1	#C1A72F	ACC	Others	-0.0618345164903252
TCGA-OR-A5KW	ACC	TCGA-OR-A5KW-01	51	284	1	#C1A72F	ACC	Others	-0.0437713446030078
TCGA-OR-A5KX	ACC	TCGA-OR-A5KX-01	38	242	1	#C1A72F	ACC	Others	-0.0210364149667714
TCGA-OR-A5KY	ACC	TCGA-OR-A5KY-01	49	285	1	#C1A72F	ACC	Others	-0.0703523589748655
TCGA-OR-A5KZ	ACC	TCGA-OR-A5KZ-01	54	283	1	#C1A72F	ACC	Others	-0.0278953405944122
TCGA-OR-A5L3	ACC	TCGA-OR-A5L3-01	100	276	1	#C1A72F	ACC	Others	-0.0422769872305148
TCGA-OR-A5L4	ACC	TCGA-OR-A5L4-01	55	286	1	#C1A72F	ACC	Others	-0.0759864919437534
TCGA-OR-A5L5	ACC	TCGA-OR-A5L5-01	53	286	1	#C1A72F	ACC	Others	-0.0545881659120401
TCGA-OR-A5L6	ACC	TCGA-OR-A5L6-01	50	283	1	#C1A72F	ACC	Others	-0.0755468096415404
TCGA-OR-A5L8	ACC	TCGA-OR-A5L8-01	48	285	1	#C1A72F	ACC	Others	-0.0687697426028751
TCGA-OR-A5L9	ACC	TCGA-OR-A5L9-01	51	286	1	#C1A72F	ACC	Others	-0.0458769691541755
TCGA-OR-A5LA	ACC	TCGA-OR-A5LA-01	53	284	1	#C1A72F	ACC	Others	-0.0475808992456062
TCGA-OR-A5LB	ACC	TCGA-OR-A5LB-01	52	288	1	#C1A72F	ACC	Others	-0.0907349469579524
TCGA-OR-A5LC	ACC	TCGA-OR-A5LC-01	55	285	1	#C1A72F	ACC	Others	-0.034463351268254
TCGA-OR-A5LD	ACC	TCGA-OR-A5LD-01	83	284	1	#C1A72F	ACC	Others	-0.0531624804231119
TCGA-OR-A5LE	ACC	TCGA-OR-A5LE-01	46	285	1	#C1A72F	ACC	Others	-0.0527338321063739
