SampleName	cancerType	Label	delta_ESCCDMRsVSEACDMRs
TCGA-05-4384_T	LUAD	Other cancers	0.0388029616494309
TCGA-05-4390_T	LUAD	Other cancers	0.113510819902656
TCGA-05-4396_T	LUAD	Other cancers	0.184918953913721
TCGA-05-4405_T	LUAD	Other cancers	0.0172063568417158
TCGA-05-4410_T	LUAD	Other cancers	0.0104344923913184
TCGA-05-4415_T	LUAD	Other cancers	-0.0286908477395954
TCGA-05-4417_T	LUAD	Other cancers	0.0532013676699988
TCGA-05-4424_T	LUAD	Other cancers	0.0202726582374944
TCGA-05-4425_T	LUAD	Other cancers	0.140891903544487
TCGA-05-4427_T	LUAD	Other cancers	0.0093703138175204
TCGA-05-4433_T	LUAD	Other cancers	0.211934474611717
TCGA-05-5420_T	LUAD	Other cancers	0.0268719678990645
TCGA-05-5423_T	LUAD	Other cancers	0.0528955524019693
TCGA-05-5425_T	LUAD	Other cancers	0.0810768140070729
TCGA-05-5428_T	LUAD	Other cancers	0.0103100222365279
TCGA-05-5429_T	LUAD	Other cancers	0.274297426936061
TCGA-05-5715_T	LUAD	Other cancers	0.135041317836994
TCGA-06-0125_T	GBM	Other cancers	-0.136123527890014
TCGA-06-0152_T	GBM	Other cancers	-0.120879665848274
TCGA-06-0171_T	GBM	Other cancers	-0.0856413582676958
TCGA-06-0190_T	GBM	Other cancers	-0.130366084358087
TCGA-06-0210_T	GBM	Other cancers	-0.117530018547406
TCGA-06-0211_T	GBM	Other cancers	-0.118315037172853
TCGA-06-0221_T	GBM	Other cancers	-0.120550554694176
TCGA-06-0650_T	GBM	Other cancers	-0.0991201959245993
TCGA-06-1804_T	GBM	Other cancers	-0.123891890442399
TCGA-06-1806_T	GBM	Other cancers	-0.114097472836654
TCGA-06-5408_T	GBM	Other cancers	-0.150992687216632
TCGA-06-5410_T	GBM	Other cancers	-0.0671733162365231
TCGA-06-5411_T	GBM	Other cancers	-0.107636397565414
TCGA-06-5412_T	GBM	Other cancers	-0.0737811273273832
TCGA-06-5413_T	GBM	Other cancers	-0.116879147128229
TCGA-06-5414_T	GBM	Other cancers	-0.1350157703736
TCGA-06-5415_T	GBM	Other cancers	-0.131794627848653
TCGA-06-5416_T	GBM	Other cancers	-0.072331095881236
TCGA-06-5417_T	GBM	Other cancers	-0.113992257143451
TCGA-06-5418_T	GBM	Other cancers	-0.135114269428322
TCGA-06-5856_T	GBM	Other cancers	-0.13485901484808
TCGA-06-5858_T	GBM	Other cancers	-0.132599206205631
TCGA-06-5859_T	GBM	Other cancers	-0.11048979019748
TCGA-06-6388_T	GBM	Other cancers	-0.124459742825163
TCGA-06-6389_T	GBM	Other cancers	-0.131750433849251
TCGA-06-6390_T	GBM	Other cancers	-0.11149784182038
TCGA-06-6391_T	GBM	Other cancers	-0.136629180261676
TCGA-06-6693_T	GBM	Other cancers	-0.137332153795246
TCGA-06-6694_T	GBM	Other cancers	-0.120352974128974
TCGA-06-6695_T	GBM	Other cancers	-0.138786248845513
TCGA-06-6697_T	GBM	Other cancers	-0.10477641309784
TCGA-06-6698_T	GBM	Other cancers	-0.150703470063393
TCGA-06-6699_T	GBM	Other cancers	-0.140962292823742
TCGA-06-6700_T	GBM	Other cancers	-0.11793536558639
TCGA-06-6701_T	GBM	Other cancers	-0.113483894220835
TCGA-06-A5U0_T	GBM	Other cancers	-0.132957835549652
TCGA-06-A5U1_T	GBM	Other cancers	-0.103862877300488
TCGA-06-A6S0_T	GBM	Other cancers	-0.130317700816377
TCGA-06-A6S1_T	GBM	Other cancers	-0.0978134522929953
TCGA-06-A7TK_T	GBM	Other cancers	-0.120971939658196
TCGA-06-A7TL_T	GBM	Other cancers	-0.123553736981467
TCGA-12-5295_T	GBM	Other cancers	-0.122715663161274
TCGA-12-5299_T	GBM	Other cancers	-0.155761803720546
TCGA-12-5301_T	GBM	Other cancers	-0.128654715388521
TCGA-13-A5FT_T	OV	Other cancers	-0.0410020450758289
TCGA-13-A5FU_T	OV	Other cancers	-0.0657719622949712
TCGA-14-0736_T	GBM	Other cancers	-0.123250945622278
TCGA-14-0740_T	GBM	Other cancers	-0.0910447731842637
TCGA-14-0781_T	GBM	Other cancers	-0.0707218831820077
TCGA-14-0862_T	GBM	Other cancers	-0.118129655601265
TCGA-14-1034_T	GBM	Other cancers	-0.161405577541392
TCGA-14-1043_T	GBM	Other cancers	-0.118399564024579
TCGA-14-1395_T	GBM	Other cancers	-0.152118923195629
TCGA-14-1402_T	GBM	Other cancers	-0.141532381745455
TCGA-14-1450_T	GBM	Other cancers	-0.119420096078937
TCGA-15-1444_T	GBM	Other cancers	-0.118810468698046
TCGA-18-3417_T	LUSC	Squamous cancers	-0.1856865410427
TCGA-18-4721_T	LUSC	Squamous cancers	-0.185238505057597
TCGA-18-5592_T	LUSC	Squamous cancers	-0.380952818933394
TCGA-18-5595_T	LUSC	Squamous cancers	-0.394947710696334
TCGA-19-0957_T	GBM	Other cancers	-0.108728627257562
TCGA-19-1389_T	GBM	Other cancers	-0.110430663981804
TCGA-19-4065_T	GBM	Other cancers	-0.11784855515594
TCGA-19-5947_T	GBM	Other cancers	-0.120889003850024
TCGA-19-5950_T	GBM	Other cancers	-0.139626214800507
TCGA-19-5951_T	GBM	Other cancers	-0.121875118737716
TCGA-19-5952_T	GBM	Other cancers	-0.128809992927704
TCGA-19-5953_T	GBM	Other cancers	-0.107070875835234
TCGA-19-5954_T	GBM	Other cancers	-0.137989603402884
TCGA-19-5955_T	GBM	Other cancers	-0.0860804467355057
TCGA-19-5956_T	GBM	Other cancers	-0.159461834785218
TCGA-19-5958_T	GBM	Other cancers	-0.128267738469141
TCGA-19-5959_T	GBM	Other cancers	-0.134104674306492
TCGA-19-5960_T	GBM	Other cancers	-0.158076092085782
TCGA-19-A60I_T	GBM	Other cancers	-0.150740564825419
TCGA-19-A6J4_T	GBM	Other cancers	-0.0774973773393574
TCGA-19-A6J5_T	GBM	Other cancers	-0.113913847989871
TCGA-21-5782_T	LUSC	Squamous cancers	-0.217643247441643
TCGA-21-5783_T	LUSC	Squamous cancers	-0.257861914053976
TCGA-21-5784_T	LUSC	Squamous cancers	-0.0953881121364962
TCGA-21-5786_T	LUSC	Squamous cancers	-0.270255226506914
TCGA-21-5787_T	LUSC	Squamous cancers	-0.0577839331213507
TCGA-21-A5DI_T	LUSC	Squamous cancers	-0.190911847900498
TCGA-22-4593_T	LUSC	Squamous cancers	-0.33113872524101
TCGA-22-4599_T	LUSC	Squamous cancers	-0.296481241101986
TCGA-22-4601_T	LUSC	Squamous cancers	-0.315152355063
TCGA-22-4605_T	LUSC	Squamous cancers	-0.189190212242868
TCGA-22-4609_T	LUSC	Squamous cancers	-0.172328132187242
TCGA-22-4613_T	LUSC	Squamous cancers	-0.25098155360202
TCGA-22-5471_T	LUSC	Squamous cancers	-0.283669787172691
TCGA-22-5472_T	LUSC	Squamous cancers	-0.202613966233853
TCGA-22-5473_T	LUSC	Squamous cancers	-0.340825286212502
TCGA-22-5474_T	LUSC	Squamous cancers	-0.205621859048985
TCGA-22-5477_T	LUSC	Squamous cancers	-0.316969345561301
TCGA-22-5478_T	LUSC	Squamous cancers	-0.190411966354827
TCGA-22-5479_T	LUSC	Squamous cancers	-0.265989401430405
TCGA-22-5480_T	LUSC	Squamous cancers	-0.285132121031579
TCGA-22-5481_T	LUSC	Squamous cancers	-0.126865352870777
TCGA-22-5482_T	LUSC	Squamous cancers	-0.358497837656223
TCGA-22-5483_T	LUSC	Squamous cancers	-0.0216732421063467
TCGA-22-5485_T	LUSC	Squamous cancers	-0.325398230221973
TCGA-22-5489_T	LUSC	Squamous cancers	-0.197735044828504
TCGA-22-5491_T	LUSC	Squamous cancers	-0.341660608072805
TCGA-22-5492_T	LUSC	Squamous cancers	-0.192756915229819
TCGA-22-A5C4_T	LUSC	Squamous cancers	-0.172496352837901
TCGA-26-1442_T	GBM	Other cancers	-0.123797802540804
TCGA-26-5132_T	GBM	Other cancers	-0.117394386392439
TCGA-26-5133_T	GBM	Other cancers	-0.148699297421454
TCGA-26-5134_T	GBM	Other cancers	-0.116965407501628
TCGA-26-5135_T	GBM	Other cancers	-0.117269313569697
TCGA-26-5136_T	GBM	Other cancers	-0.122811789716389
TCGA-26-5139_T	GBM	Other cancers	-0.144191012241909
TCGA-26-6173_T	GBM	Other cancers	-0.111255054846895
TCGA-26-6174_T	GBM	Other cancers	-0.105083502175891
TCGA-26-A7UX_T	GBM	Other cancers	-0.160874082194034
TCGA-28-2501_T	GBM	Other cancers	-0.121860057582623
TCGA-28-2510_T	GBM	Other cancers	-0.0979851487343495
TCGA-28-5204_T	GBM	Other cancers	-0.142402803583281
TCGA-28-5207_T	GBM	Other cancers	-0.1123781808108
TCGA-28-5208_T	GBM	Other cancers	-0.151999190517819
TCGA-28-5209_T	GBM	Other cancers	-0.159508993100032
TCGA-28-5211_T	GBM	Other cancers	-0.0838007455619406
TCGA-28-5213_T	GBM	Other cancers	-0.0779229378067356
TCGA-28-5214_T	GBM	Other cancers	-0.129114130036152
TCGA-28-5215_T	GBM	Other cancers	-0.0850657278231345
TCGA-28-5216_T	GBM	Other cancers	-0.107920679225649
TCGA-28-5218_T	GBM	Other cancers	-0.110801771803724
TCGA-28-5219_T	GBM	Other cancers	-0.121451083144314
TCGA-28-5220_T	GBM	Other cancers	-0.127310023360089
TCGA-28-6450_T	GBM	Other cancers	-0.139659825603324
TCGA-29-A5NZ_T	OV	Other cancers	-0.121696194898729
TCGA-2A-A8VL_T	PRAD	Other cancers	-0.0273160686371804
TCGA-2A-A8VO_T	PRAD	Other cancers	0.0518065272152021
TCGA-2A-A8VT_T	PRAD	Other cancers	-0.0261623175952341
TCGA-2A-A8VV_T	PRAD	Other cancers	0.0633923585099176
TCGA-2A-A8VX_T	PRAD	Other cancers	0.0654787923716591
TCGA-2A-A8W1_T	PRAD	Other cancers	0.0722859652513544
TCGA-2A-A8W3_T	PRAD	Other cancers	-0.0523637469126108
TCGA-2A-AAYF_T	PRAD	Other cancers	0.0708895613247752
TCGA-2A-AAYO_T	PRAD	Other cancers	0.0433065839421897
TCGA-2A-AAYU_T	PRAD	Other cancers	0.0286586011283885
TCGA-2E-A9G8_T	UCEC	Other cancers	-0.100745644960719
TCGA-2F-A9KO_T	BLCA (Others)	Other cancers	-0.0549974325666887
TCGA-2F-A9KP_T	BLCA (Others)	Other cancers	-0.0197499855859097
TCGA-2F-A9KQ_T	BLCA (Others)	Other cancers	-0.00349207802285173
TCGA-2F-A9KR_T	BLCA (Ba/Sq)	Squamous cancers	-0.147528252025145
TCGA-2F-A9KT_T	BLCA (Ba/Sq)	Squamous cancers	-0.0940654821062261
TCGA-2F-A9KW_T	BLCA (Others)	Other cancers	0.0276580056226088
TCGA-2G-AAEW_T	TGCT	Other cancers	-0.0319858390709942
TCGA-2G-AAEX_T	TGCT	Other cancers	-0.0358467326193002
TCGA-2G-AAF1_T	TGCT	Other cancers	-0.0434927536298431
TCGA-2G-AAF4_T	TGCT	Other cancers	-0.0301769874797644
TCGA-2G-AAF6_T	TGCT	Other cancers	-0.0248944764259874
TCGA-2G-AAF8_T	TGCT	Other cancers	-0.0338656338012832
TCGA-2G-AAFE_T	TGCT	Other cancers	-0.0259498805307224
TCGA-2G-AAFG_T	TGCT	Other cancers	-0.0330039469193382
TCGA-2G-AAFH_T	TGCT	Other cancers	-0.033024609533194
TCGA-2G-AAFI_T	TGCT	Other cancers	-0.0233538846071024
TCGA-2G-AAFJ_T	TGCT	Other cancers	-0.0844074262138134
TCGA-2G-AAFL_T	TGCT	Other cancers	-0.0423204145856623
TCGA-2G-AAFM_T	TGCT	Other cancers	-0.0431977821979151
TCGA-2G-AAFN_T	TGCT	Other cancers	-0.0342072605821538
TCGA-2G-AAFO_T	TGCT	Other cancers	-0.0486610214773422
TCGA-2G-AAFV_T	TGCT	Other cancers	0.071955574812881
TCGA-2G-AAFY_T	TGCT	Other cancers	-0.0449488702875321
TCGA-2G-AAFZ_T	TGCT	Other cancers	-0.013769951667519
TCGA-2G-AAG0_T	TGCT	Other cancers	-0.0383899919217789
TCGA-2G-AAG3_T	TGCT	Other cancers	-0.0884191685905648
TCGA-2G-AAG5_T	TGCT	Other cancers	-0.0171296889200679
TCGA-2G-AAG6_T	TGCT	Other cancers	-0.0883998638655145
TCGA-2G-AAG7_T	TGCT	Other cancers	-0.0582106238307512
TCGA-2G-AAG8_T	TGCT	Other cancers	-0.037780369804578
TCGA-2G-AAG9_T	TGCT	Other cancers	-0.0259635431822215
TCGA-2G-AAGA_T	TGCT	Other cancers	-0.0474375799441029
TCGA-2G-AAGC_T	TGCT	Other cancers	-0.0412175803247116
TCGA-2G-AAGE_T	TGCT	Other cancers	-0.0433561620927659
TCGA-2G-AAGF_T	TGCT	Other cancers	-0.0506423847858445
TCGA-2G-AAGG_T	TGCT	Other cancers	0.0759329172167755
TCGA-2G-AAGI_T	TGCT	Other cancers	-0.0249909933469504
TCGA-2G-AAGJ_T	TGCT	Other cancers	-0.0389972982098858
TCGA-2G-AAGK_T	TGCT	Other cancers	0.0150552755797835
TCGA-2G-AAGM_T	TGCT	Other cancers	-0.00116994186032537
TCGA-2G-AAGN_T	TGCT	Other cancers	-0.0352517084627357
TCGA-2G-AAGO_T	TGCT	Other cancers	-0.0242815379317087
TCGA-2G-AAGP_T	TGCT	Other cancers	-0.0316580549338825
TCGA-2G-AAGS_T	TGCT	Other cancers	-0.0414474843614659
TCGA-2G-AAGT_T	TGCT	Other cancers	0.110719012958082
TCGA-2G-AAGV_T	TGCT	Other cancers	-0.162036787043429
TCGA-2G-AAGW_T	TGCT	Other cancers	-0.0486590526150865
TCGA-2G-AAGX_T	TGCT	Other cancers	-0.0924519561422602
TCGA-2G-AAGY_T	TGCT	Other cancers	-0.0377260458738593
TCGA-2G-AAGZ_T	TGCT	Other cancers	-0.0531413943620178
TCGA-2G-AAH0_T	TGCT	Other cancers	-0.037162517162062
TCGA-2G-AAH2_T	TGCT	Other cancers	-0.0532094748539589
TCGA-2G-AAH3_T	TGCT	Other cancers	-0.0283552790736009
TCGA-2G-AAH4_T	TGCT	Other cancers	-0.00290052023027232
TCGA-2G-AAH8_T	TGCT	Other cancers	-0.0103819538482984
TCGA-2G-AAHA_T	TGCT	Other cancers	-0.0313715930204376
TCGA-2G-AAHC_T	TGCT	Other cancers	-0.0351531702795247
TCGA-2G-AAHG_T	TGCT	Other cancers	-0.0189285837883496
TCGA-2G-AAHL_T	TGCT	Other cancers	-0.0235725857911338
TCGA-2G-AAHN_T	TGCT	Other cancers	-0.034445773464405
TCGA-2G-AAHP_T	TGCT	Other cancers	-0.0258325266950485
TCGA-2G-AAHT_T	TGCT	Other cancers	-0.0279029330562904
TCGA-2G-AAKD_T	TGCT	Other cancers	-0.0504892400824831
TCGA-2G-AAKG_T	TGCT	Other cancers	-0.0319222456443143
TCGA-2G-AAKH_T	TGCT	Other cancers	-0.0439834208527916
TCGA-2G-AAKL_T	TGCT	Other cancers	-0.0450009519128812
TCGA-2G-AAKM_T	TGCT	Other cancers	-0.0459125989268256
TCGA-2G-AAKO_T	TGCT	Other cancers	-0.03960614380299
TCGA-2G-AAL5_T	TGCT	Other cancers	-0.0406973111209749
TCGA-2G-AAL7_T	TGCT	Other cancers	-0.0321837072019191
TCGA-2G-AALF_T	TGCT	Other cancers	0.117702682748027
TCGA-2G-AALG_T	TGCT	Other cancers	0.0400097317984535
TCGA-2G-AALN_T	TGCT	Other cancers	-0.0197564472964435
TCGA-2G-AALO_T	TGCT	Other cancers	0.0676137636823482
TCGA-2G-AALP_T	TGCT	Other cancers	-0.0360102505997824
TCGA-2G-AALQ_T	TGCT	Other cancers	-0.0713036978423359
TCGA-2G-AALR_T	TGCT	Other cancers	-0.0129543851726867
TCGA-2G-AALS_T	TGCT	Other cancers	-0.0532675011594446
TCGA-2G-AALT_T	TGCT	Other cancers	0.0154717552013923
TCGA-2G-AALW_T	TGCT	Other cancers	-0.0290625933235306
TCGA-2G-AALX_T	TGCT	Other cancers	-0.099426308117353
TCGA-2G-AALY_T	TGCT	Other cancers	-0.0709924478262691
TCGA-2G-AALZ_T	TGCT	Other cancers	-0.0769534463351194
TCGA-2G-AAM2_T	TGCT	Other cancers	-0.0463242909785425
TCGA-2G-AAM3_T	TGCT	Other cancers	-0.0802668618014004
TCGA-2G-AAM4_T	TGCT	Other cancers	-0.0520824852188793
TCGA-2H-A9GF_T	EAC	GI cancers	0.26731152425399
TCGA-2H-A9GG_T	EAC	GI cancers	0.246518793928634
TCGA-2H-A9GH_T	EAC	GI cancers	0.307316109492004
TCGA-2H-A9GI_T	EAC	GI cancers	0.340004729718016
TCGA-2H-A9GJ_T	EAC	GI cancers	0.297855164650289
TCGA-2H-A9GK_T	EAC	GI cancers	0.201967557923224
