sample	cancerType	delta	label	Postion	Tick
TCGA-85-A512	LUSC	-0.439738867204922	Pan-Squamous	366.666666666667	350
TCGA-98-A53A	LUSC	-0.425009717976645	Pan-Squamous	383.333333333333	350
TCGA-77-A5G6	LUSC	-0.385855728901603	Pan-Squamous	400	350
TCGA-85-A4CN	LUSC	-0.341344749047392	Pan-Squamous	416.666666666667	350
TCGA-85-A4QR	LUSC	-0.329634025891768	Pan-Squamous	433.333333333333	350
TCGA-J1-A4AH	LUSC	-0.267319613700027	Pan-Squamous	450	350
TCGA-98-A53J	LUSC	-0.237963046577033	Pan-Squamous	466.666666666667	350
TCGA-85-A4CL	LUSC	-0.21656772594778	Pan-Squamous	483.333333333333	350
TCGA-33-A4WN	LUSC	-0.1358998378802	Pan-Squamous	500	350
TCGA-MF-A522	LUSC	-0.0981996532093513	Pan-Squamous	516.666666666667	350
TCGA-85-A4JB	LUSC	-0.0443618657325302	Pan-Squamous	533.333333333333	350
TCGA-XC-AA0X	LUSC	-0.0127044112620553	Pan-Squamous	550	350
TCGA-63-A5MR	LUSC	-0.00464546859738624	Pan-Squamous	566.666666666667	350
TCGA-85-A50M	LUSC	0.00110296471026516	Pan-Squamous	583.333333333333	350
TCGA-O2-A52N	LUSC	0.00592885521437703	Pan-Squamous	600	350
TCGA-IG-A625	ESCC	-0.447998393195728	Pan-Squamous	1370.83333333333	1350
TCGA-LN-A4MR	ESCC	-0.373314582016847	Pan-Squamous	1391.66666666667	1350
TCGA-LN-A9FQ	ESCC	-0.278132830269692	Pan-Squamous	1412.5	1350
TCGA-LN-A7HX	ESCC	-0.250597379788646	Pan-Squamous	1433.33333333333	1350
TCGA-IG-A51D	ESCC	-0.147965813511524	Pan-Squamous	1454.16666666667	1350
TCGA-LN-A4A2	ESCC	-0.139205638836495	Pan-Squamous	1475	1350
TCGA-LN-A8HZ	ESCC	-0.107114540269297	Pan-Squamous	1495.83333333333	1350
TCGA-LN-A4A5	ESCC	-0.0830588564845838	Pan-Squamous	1516.66666666667	1350
TCGA-LN-A49O	ESCC	-0.0757931175804594	Pan-Squamous	1537.5	1350
TCGA-IG-A3YA	ESCC	-0.0641624061503145	Pan-Squamous	1558.33333333333	1350
TCGA-LN-A49W	ESCC	-0.0630438765614659	Pan-Squamous	1579.16666666667	1350
TCGA-IG-A4P3	ESCC	-0.0352463736959627	Pan-Squamous	1600	1350
TCGA-E1-A7YI	LGG	-0.356120897176567	Others	2369.23076923077	2350
TCGA-P5-A77X	LGG	-0.228222365647916	Others	2388.46153846154	2350
TCGA-P5-A72W	LGG	-0.192643868602836	Others	2407.69230769231	2350
TCGA-DU-6407	LGG	-0.178470341336354	Others	2426.92307692308	2350
TCGA-DU-6395	LGG	-0.16745251667745	Others	2446.15384615385	2350
TCGA-DU-5870	LGG	-0.159129236448623	Others	2465.38461538462	2350
TCGA-P5-A735	LGG	-0.152355658470272	Others	2484.61538461538	2350
TCGA-P5-A72X	LGG	-0.148775246845179	Others	2503.84615384615	2350
TCGA-FG-A4MY	LGG	-0.139118683694314	Others	2523.07692307692	2350
TCGA-DB-A75K	LGG	-0.128910838618255	Others	2542.30769230769	2350
TCGA-W9-A837	LGG	-0.12476559030569	Others	2561.53846153846	2350
TCGA-FG-A4MU	LGG	-0.121726246583014	Others	2580.76923076923	2350
TCGA-F6-A8O3	LGG	-0.119481816635169	Others	2600	2350
TCGA-BA-A8YP	HNSC	-0.413808121388558	Pan-Squamous	3381.25	3350
TCGA-D6-A6EP	HNSC	-0.352292380696152	Pan-Squamous	3412.5	3350
TCGA-H7-A76A	HNSC	-0.272260686653162	Pan-Squamous	3443.75	3350
TCGA-BA-A4IH	HNSC	-0.226743936687645	Pan-Squamous	3475	3350
TCGA-F7-A624	HNSC	-0.0819697785073178	Pan-Squamous	3506.25	3350
TCGA-CN-A49B	HNSC	-0.00651122471746302	Pan-Squamous	3537.5	3350
TCGA-KU-A6H7	HNSC	0.00895943404587429	Pan-Squamous	3568.75	3350
TCGA-KU-A66S	HNSC	0.0098533709976738	Pan-Squamous	3600	3350
TCGA-EB-A5KH	SKCM	-0.288122239575571	Others	4369.23076923077	4350
TCGA-D9-A6EC	SKCM	-0.269863613164904	Others	4388.46153846154	4350
TCGA-D3-A8GP	SKCM	-0.212086796844248	Others	4407.69230769231	4350
TCGA-D9-A1JW	SKCM	-0.192794455548537	Others	4426.92307692308	4350
TCGA-DA-A95Y	SKCM	-0.163732870393745	Others	4446.15384615385	4350
TCGA-DA-A95W	SKCM	-0.14452381102694	Others	4465.38461538462	4350
TCGA-EB-A24C	SKCM	-0.142609423828766	Others	4484.61538461538	4350
TCGA-EB-A5SH	SKCM	-0.139512631903806	Others	4503.84615384615	4350
TCGA-D3-A8GM	SKCM	-0.123446797503308	Others	4523.07692307692	4350
TCGA-EB-A3XF	SKCM	-0.0908521064152685	Others	4542.30769230769	4350
TCGA-D9-A6EA	SKCM	-0.0814369392217666	Others	4561.53846153846	4350
TCGA-EB-A3Y6	SKCM	-0.0563452085390052	Others	4580.76923076923	4350
TCGA-XV-AAZY	SKCM	-0.0264566340619553	Others	4600	4350
TCGA-RW-A8AZ	PCPG	-0.248042069574059	Others	5377.77777777778	5350
TCGA-QT-A5XN	PCPG	-0.223050421175884	Others	5405.55555555556	5350
TCGA-QT-A69Q	PCPG	-0.205109061965994	Others	5433.33333333333	5350
TCGA-RT-A6YA	PCPG	-0.181400002920508	Others	5461.11111111111	5350
TCGA-QT-A5XM	PCPG	-0.143544004573236	Others	5488.88888888889	5350
TCGA-WB-A818	PCPG	-0.101362813602947	Others	5516.66666666667	5350
TCGA-TT-A6YP	PCPG	-0.0404885505113648	Others	5544.44444444444	5350
TCGA-QT-A5XJ	PCPG	-0.0112318120117528	Others	5572.22222222222	5350
TCGA-RM-A68W	PCPG	0.0613920866754771	Others	5600	5350
TCGA-3U-A98I	MESO	-0.168999582281602	Others	6385.71428571429	6350
TCGA-LK-A4NY	MESO	-0.138604314967524	Others	6421.42857142857	6350
TCGA-3U-A98E	MESO	-0.113081189559252	Others	6457.14285714286	6350
TCGA-SH-A9CU	MESO	-0.110549905692551	Others	6492.85714285714	6350
TCGA-LK-A4NW	MESO	-0.0887902008125588	Others	6528.57142857143	6350
TCGA-MQ-A4KX	MESO	-0.0755312277502694	Others	6564.28571428571	6350
TCGA-LK-A4O6	MESO	0.0405306433808572	Others	6600	6350
TCGA-BJ-A0Z5	THCA	-0.127575045200246	Others	7369.23076923077	7350
TCGA-BJ-A0Z0	THCA	-0.118808618607817	Others	7388.46153846154	7350
TCGA-BJ-A0Z2	THCA	-0.115332152344277	Others	7407.69230769231	7350
