sample	cancerType	delta	label	Postion	Tick
TCGA-85-A50M	LUSC	-0.24293147577263	Pan-Squamous	366.666666666667	350
TCGA-63-A5MR	LUSC	-0.149035790747675	Pan-Squamous	383.333333333333	350
TCGA-O2-A52N	LUSC	0.0207199423847129	Pan-Squamous	400	350
TCGA-85-A4JB	LUSC	0.663940389084136	Pan-Squamous	416.666666666667	350
TCGA-XC-AA0X	LUSC	0.811412225582785	Pan-Squamous	433.333333333333	350
TCGA-33-A4WN	LUSC	1.55947188417046	Pan-Squamous	450	350
TCGA-MF-A522	LUSC	2.6239136606735	Pan-Squamous	466.666666666667	350
TCGA-J1-A4AH	LUSC	2.79595885722469	Pan-Squamous	483.333333333333	350
TCGA-85-A4CL	LUSC	3.45987005923885	Pan-Squamous	500	350
TCGA-85-A4QR	LUSC	3.4802844551707	Pan-Squamous	516.666666666667	350
TCGA-98-A53J	LUSC	3.77234464409048	Pan-Squamous	533.333333333333	350
TCGA-77-A5G6	LUSC	5.58398724133733	Pan-Squamous	550	350
TCGA-85-A4CN	LUSC	6.72819690180765	Pan-Squamous	566.666666666667	350
TCGA-98-A53A	LUSC	7.04094414458779	Pan-Squamous	583.333333333333	350
TCGA-85-A512	LUSC	8.50191009771992	Pan-Squamous	600	350
TCGA-IG-A4P3	ESCC	0.397377081397067	Pan-Squamous	1370.83333333333	1350
TCGA-LN-A49O	ESCC	0.867483455329056	Pan-Squamous	1391.66666666667	1350
TCGA-LN-A49W	ESCC	0.937862624298134	Pan-Squamous	1412.5	1350
TCGA-LN-A4A5	ESCC	1.02598023969776	Pan-Squamous	1433.33333333333	1350
TCGA-IG-A3YA	ESCC	1.6189126124803	Pan-Squamous	1454.16666666667	1350
TCGA-LN-A8HZ	ESCC	1.88148371089706	Pan-Squamous	1475	1350
TCGA-LN-A4A2	ESCC	2.14504698121729	Pan-Squamous	1495.83333333333	1350
TCGA-IG-A51D	ESCC	3.03245189092107	Pan-Squamous	1516.66666666667	1350
TCGA-LN-A4MR	ESCC	4.16828156989475	Pan-Squamous	1537.5	1350
TCGA-LN-A7HX	ESCC	4.57509308705021	Pan-Squamous	1558.33333333333	1350
TCGA-LN-A9FQ	ESCC	5.0980307625873	Pan-Squamous	1579.16666666667	1350
TCGA-IG-A625	ESCC	6.28601374536004	Pan-Squamous	1600	1350
TCGA-KU-A66S	HNSC	0.155742855038265	Pan-Squamous	2381.25	2350
TCGA-KU-A6H7	HNSC	0.422410246907269	Pan-Squamous	2412.5	2350
TCGA-F7-A624	HNSC	0.755410599482629	Pan-Squamous	2443.75	2350
TCGA-CN-A49B	HNSC	0.789225081299296	Pan-Squamous	2475	2350
TCGA-BA-A4IH	HNSC	2.00868021734811	Pan-Squamous	2506.25	2350
TCGA-D6-A6EP	HNSC	4.13858537399823	Pan-Squamous	2537.5	2350
TCGA-H7-A76A	HNSC	4.21828418393819	Pan-Squamous	2568.75	2350
TCGA-BA-A8YP	HNSC	6.49794229083573	Pan-Squamous	2600	2350
TCGA-EA-A3HT	CESC (Sq)	0.855224790278084	Pan-Squamous	3475	3350
TCGA-EA-A3HS	CESC (Sq)	3.06936627405986	Pan-Squamous	3600	3350
TCGA-GD-A3OQ	BLCA (Ba/Sq)	0.956643067627152	Pan-Squamous	4600	4350
TCGA-BJ-A192	THCA	0.388231268296193	Others	5369.23076923077	5350
TCGA-BJ-A0Z2	THCA	0.46504628054666	Others	5388.46153846154	5350
TCGA-4C-A93U	THCA	0.480775212102455	Others	5407.69230769231	5350
TCGA-BJ-A0ZC	THCA	0.518309808704319	Others	5426.92307692308	5350
TCGA-BJ-A0ZA	THCA	0.524042202071349	Others	5446.15384615385	5350
TCGA-DJ-A13M	THCA	0.567950800781713	Others	5465.38461538462	5350
