Sample	ESCC_specificPMDs	EAC_specificPMDs	SharedPMDs	SharedHMDs	Type	Source
GSM1873683	0.692942720305208	0.651583224789174	0.594960800260342	0.661823353879079	Tumour	GSE72874
GSM1873686	0.632354793911555	0.644111850234631	0.58263486293401	0.665093129902854	Tumour	GSE72874
GSM1873688	0.623999850095233	0.61616845210993	0.57759316177433	0.651621013380734	Normal	GSE72874
GSM1873690	0.743083938874514	0.693974209058266	0.631534031073746	0.693450882458406	Tumour	GSE72874
GSM1873691	0.57737218873135	0.668794730709811	0.527687432674594	0.684722519827348	Tumour	GSE72874
GSM1873693	0.72594245926604	0.722079971644685	0.688039034166467	0.707829170223668	Tumour	GSE72874
GSM1873694	0.680242437192254	0.5952254919749	0.457751352089256	0.687287843459596	Tumour	GSE72874
GSM1873695	0.6299887944908	0.583772119980588	0.493993693411406	0.652688184302601	Tumour	GSE72874
GSM1873696	0.671652075164407	0.532132270884613	0.487729545141715	0.639531215603892	Tumour	GSE72874
GSM1873697	0.680905722821279	0.615605299529564	0.576202101010554	0.657230435065759	Tumour	GSE72874
GSM1873698	0.608485187736844	0.562206260604697	0.508531535103948	0.609162370769381	Tumour	GSE72874
GSM1873701	0.668430121779849	0.576940140832541	0.55467351315737	0.660439322249073	Tumour	GSE72874
GSM1873702	0.682160930268719	0.567437513963297	0.510778057133746	0.658601061208074	Tumour	GSE72874
GSM1873703	0.566068787713773	0.654339424800511	0.536237435872017	0.671715585434958	Tumour	GSE72874
GSM1873704	0.714447116971649	0.648379726001597	0.606507790959271	0.671140985772111	Tumour	GSE72874
GSM1873706	0.494966263546555	0.666548114982102	0.462637222003654	0.67381219113621	Tumour	GSE72874
GSM1873707	0.658423087243372	0.762204924490688	0.574469053760597	0.729532359818841	Tumour	GSE72874
GSM1873709	0.696379729114494	0.655663915862204	0.587398270578461	0.659224647716569	Tumour	GSE72874
GSM1873710	0.683654591042075	0.639150090407941	0.594128978560465	0.671305486576751	Tumour	GSE72874
GSM1873713	0.504554709859787	0.697869551076328	0.481532528397462	0.678284722774834	Tumour	GSE72874
GSM1873717	0.709287255181726	0.70711880642132	0.654318866050631	0.68450521816691	Tumour	GSE72874
GSM1873721	0.720758750149721	0.705996180490289	0.644962278670813	0.674336611375655	Normal	GSE72874
GSM1873722	0.655585792768487	0.536267704979673	0.506097462957776	0.639152644946039	Tumour	GSE72874
