varnames	PC1	PC2	Type	Subtype	Color	Color2	PMD_methylation
BP_bone_marrow_G203_plasma_cell_MultipleMyeloma	-41.2053683783062	-27.2075349288246	Lymphoid cancer	MultipleMyeloma	#C1B62B	#C1B62B	0.533565
BP_bone_marrow_G204_plasma_cell_MultipleMyeloma	-10.4429091497953	-51.8134791845713	Lymphoid cancer	MultipleMyeloma	#C1B62B	#C1B62B	0.151964
BP_bone_marrow_S004XMA1_myeloid_cell_AcutePromyelocyticLeukemia	47.5472599585063	2.80981160446435	Myeloid cancer	AcuteMyeloidLeukemia	#9AC48A	#9AC48A	0.734381
BP_bone_marrow_S0050AA1_myeloid_cell_AcutePromyelocyticLeukemia	46.2199557311848	3.66854102918921	Myeloid cancer	AcuteMyeloidLeukemia	#9AC48A	#9AC48A	0.725631
BP_bone_marrow_S005FHA1_myeloid_cell_AcuteMyeloidLeukemia	63.0504485602144	-9.14753864728308	Myeloid cancer	AcuteMyeloidLeukemia	#9AC48A	#9AC48A	0.798952
BP_bone_marrow_S008QKA1_myeloid_cell_AcutePromyelocyticLeukemia	35.6154369012752	6.07541142622549	Myeloid cancer	AcuteMyeloidLeukemia	#9AC48A	#9AC48A	0.807986
BP_bone_marrow_S008X6A1_myeloid_cell_AcuteMyeloidLeukemia	53.4301024008974	-8.8174098048528	Myeloid cancer	AcuteMyeloidLeukemia	#9AC48A	#9AC48A	0.75311
BP_bone_marrow_S00CXRA1_myeloid_cell_AcuteMyeloidLeukemia	54.1995303522551	-2.03044154578811	Myeloid cancer	AcuteMyeloidLeukemia	#9AC48A	#9AC48A	0.863451
BP_bone_marrow_S00CYPA1_myeloid_cell_AcuteMyeloidLeukemia	56.6253911422878	-6.04156575003665	Myeloid cancer	AcuteMyeloidLeukemia	#9AC48A	#9AC48A	0.754827
BP_bone_marrow_S00D0FA1_myeloid_cell_AcuteMyeloidLeukemia	48.1132905285479	1.81303543380983	Myeloid cancer	AcuteMyeloidLeukemia	#9AC48A	#9AC48A	0.709033
BP_bone_marrow_S00XCMA1_plasma_cell_MultipleMyeloma	-34.8182669089936	-34.8289369899013	Lymphoid cancer	MultipleMyeloma	#C1B62B	#C1B62B	0.143457
BP_bone_marrow_S00XDKU1_plasma_cell_MultipleMyeloma	-19.5163248233933	-43.3658094971527	Lymphoid cancer	MultipleMyeloma	#C1B62B	#C1B62B	0.111914
BP_bone_marrow_S00XEIU1_plasma_cell_MultipleMyeloma	14.6185332746419	-47.9013378927346	Lymphoid cancer	MultipleMyeloma	#C1B62B	#C1B62B	0.24374
BP_bone_marrow_S013M3A1_myeloid_cell_AcuteMyeloidLeukemia	58.8796951103156	-3.59784818958475	Myeloid cancer	AcuteMyeloidLeukemia	#9AC48A	#9AC48A	0.804822
BP_bone_marrow_S013N1A1_mononuclear_cell_of_bone_marrow_AcuteMyeloidLeukemia	26.2199528559836	26.0783220306974	Myeloid cancer	AcuteMyeloidLeukemia	#9AC48A	#9AC48A	0.794084
BP_bone_marrow_S0179DA1_precursor_B_cell_AcuteLymphocyticLeukemia	-27.1831028414446	27.6182807642466	Lymphoid cancer	AcuteLymphocyticLeukemia	#7E2AD8	#7E2AD8	0.674791
BP_bone_marrow_S017E3A1_precursor_B_cell_AcuteLymphocyticLeukemia	-36.3321942790436	31.4032845746221	Lymphoid cancer	AcuteLymphocyticLeukemia	#7E2AD8	#7E2AD8	0.732428
BP_bone_marrow_S01GRFA1_precursor_B_cell_AcuteLymphocyticLeukemia	-44.6555103790267	24.4828861098723	Lymphoid cancer	AcuteLymphocyticLeukemia	#7E2AD8	#7E2AD8	0.647806
BP_bone_marrow_S01GSDA1_precursor_B_cell_AcuteLymphocyticLeukemia	-22.1514453754449	36.5415462260384	Lymphoid cancer	AcuteLymphocyticLeukemia	#7E2AD8	#7E2AD8	0.643698
BP_bone_marrow_S01GTBA1_precursor_B_cell_AcuteLymphocyticLeukemia	-27.6312865693896	32.057782222725	Lymphoid cancer	AcuteLymphocyticLeukemia	#7E2AD8	#7E2AD8	0.72174
BP_venous_blood_S00AYXU1_NA_ChronicLymphocyticLeukemia	-66.3612489803303	-3.39626849220809	Lymphoid cancer	ChronicLymphocyticLeukemia	#A983F2	#A983F2	0.366269
BP_venous_blood_S00B0NU1_NA_ChronicLymphocyticLeukemia	-60.2753284311093	-5.21841846710054	Lymphoid cancer	ChronicLymphocyticLeukemia	#A983F2	#A983F2	0.586407
BP_venous_blood_S00B1LU1_NA_ChronicLymphocyticLeukemia	-63.4949034544981	-4.21632795385727	Lymphoid cancer	ChronicLymphocyticLeukemia	#A983F2	#A983F2	0.472465
BP_venous_blood_S00B2JA1_NA_ChronicLymphocyticLeukemia	-65.9804833911508	-1.51461018181718	Lymphoid cancer	ChronicLymphocyticLeukemia	#A983F2	#A983F2	0.415724
BP_venous_blood_S00CWTA1_myeloid_cell_AcuteMyeloidLeukemia	50.678127256652	3.03045553952054	Myeloid cancer	AcuteMyeloidLeukemia	#9AC48A	#9AC48A	0.850437
