sample	PMD_fraction	Type
ESCC_1	27.56	ESCC tumor
ESCC_10	36.74	ESCC tumor
ESCC_11	33.41	ESCC tumor
ESCC_12	44.84	ESCC tumor
ESCC_13	35.8	ESCC tumor
ESCC_14	52.51	ESCC tumor
ESCC_15	48.13	ESCC tumor
ESCC_16	44.05	ESCC tumor
ESCC_17	38.01	ESCC tumor
ESCC_19	55.57	ESCC tumor
ESCC_2	48.71	ESCC tumor
ESCC_20	54.47	ESCC tumor
ESCC_21	52.29	ESCC tumor
ESCC_22	56.21	ESCC tumor
ESCC_3	34.5	ESCC tumor
ESCC_4	48.27	ESCC tumor
ESCC_5	38.23	ESCC tumor
ESCC_6	56.06	ESCC tumor
ESCC_7	24.34	ESCC tumor
ESCC_8	45.74	ESCC tumor
ESCC_9	41.93	ESCC tumor
EAC_1	40.91	EAC/GEJ tumor
EAC_2	47.65	EAC/GEJ tumor
EAC_3	58.79	EAC/GEJ tumor
EAC_4	51.94	EAC/GEJ tumor
EAC_6	58.45	EAC/GEJ tumor
GEJ_1	54.98	EAC/GEJ tumor
GEJ_2	63.42	EAC/GEJ tumor
GEJ_3	52.53	EAC/GEJ tumor
GEJ_4	45.18	EAC/GEJ tumor
GEJ_5	58.16	EAC/GEJ tumor
GEJ_6	49.84	EAC/GEJ tumor
GEJ_7	59.97	EAC/GEJ tumor
