Sample	Type	Method	Ratio
BP_bone_marrow_G203_plasma_cell_MultipleMyeloma	MultipleMyeloma	MethPipe	0.412741453693764
BP_bone_marrow_G204_plasma_cell_MultipleMyeloma	MultipleMyeloma	MethPipe	0.58660871684681
BP_bone_marrow_S004XMA1_myeloid_cell_AcutePromyelocyticLeukemia	AcuteMyeloidLeukemia	MethPipe	0.582171563890102
BP_bone_marrow_S0050AA1_myeloid_cell_AcutePromyelocyticLeukemia	AcuteMyeloidLeukemia	MethPipe	0.58403292952234
BP_bone_marrow_S005FHA1_myeloid_cell_AcuteMyeloidLeukemia	AcuteMyeloidLeukemia	MethPipe	0.0109533995769327
BP_bone_marrow_S008QKA1_myeloid_cell_AcutePromyelocyticLeukemia	AcuteMyeloidLeukemia	MethPipe	0.00229201164257152
BP_bone_marrow_S008X6A1_myeloid_cell_AcuteMyeloidLeukemia	AcuteMyeloidLeukemia	MethPipe	0.501713217889214
BP_bone_marrow_S00CXRA1_myeloid_cell_AcuteMyeloidLeukemia	AcuteMyeloidLeukemia	MethPipe	0.00625392686642486
BP_bone_marrow_S00CYPA1_myeloid_cell_AcuteMyeloidLeukemia	AcuteMyeloidLeukemia	MethPipe	0.535968924456538
BP_bone_marrow_S00D0FA1_myeloid_cell_AcuteMyeloidLeukemia	AcuteMyeloidLeukemia	MethPipe	0.472449624361478
BP_bone_marrow_S00XCMA1_plasma_cell_MultipleMyeloma	MultipleMyeloma	MethPipe	0.657800422833754
BP_bone_marrow_S00XDKU1_plasma_cell_MultipleMyeloma	MultipleMyeloma	MethPipe	0.649730804037924
BP_bone_marrow_S00XEIU1_plasma_cell_MultipleMyeloma	MultipleMyeloma	MethPipe	0.506504866660267
BP_bone_marrow_S013M3A1_myeloid_cell_AcuteMyeloidLeukemia	AcuteMyeloidLeukemia	MethPipe	0.222600305891807
BP_bone_marrow_S013N1A1_mononuclear_cell_of_bone_marrow_AcuteMyeloidLeukemia	AcuteMyeloidLeukemia	MethPipe	0.0214057894544893
BP_bone_marrow_S0179DA1_precursor_B_cell_AcuteLymphocyticLeukemia	AcuteLymphocyticLeukemia	MethPipe	0.463617380103323
BP_bone_marrow_S017E3A1_precursor_B_cell_AcuteLymphocyticLeukemia	AcuteLymphocyticLeukemia	MethPipe	0.0166419403969348
BP_bone_marrow_S01GRFA1_precursor_B_cell_AcuteLymphocyticLeukemia	AcuteLymphocyticLeukemia	MethPipe	0.607409231358962
BP_bone_marrow_S01GSDA1_precursor_B_cell_AcuteLymphocyticLeukemia	AcuteLymphocyticLeukemia	MethPipe	0.222954470821599
BP_bone_marrow_S01GTBA1_precursor_B_cell_AcuteLymphocyticLeukemia	AcuteLymphocyticLeukemia	MethPipe	0.0206254330603984
BP_venous_blood_S00AYXU1_NA_ChronicLymphocyticLeukemia	ChronicLymphocyticLeukemia	MethPipe	0.670469713511151
BP_venous_blood_S00B0NU1_NA_ChronicLymphocyticLeukemia	ChronicLymphocyticLeukemia	MethPipe	0.0173623178331758
BP_venous_blood_S00B1LU1_NA_ChronicLymphocyticLeukemia	ChronicLymphocyticLeukemia	MethPipe	0.65190573955173
BP_venous_blood_S00B2JA1_NA_ChronicLymphocyticLeukemia	ChronicLymphocyticLeukemia	MethPipe	0.62664907964458
BP_venous_blood_S00CWTA1_myeloid_cell_AcuteMyeloidLeukemia	AcuteMyeloidLeukemia	MethPipe	0.00868048341470946
