Sample	Type	Method	Ratio
BP_bone_marrow_G203_plasma_cell_MultipleMyeloma	MultipleMyeloma	MethPipe	0.688837932067766
BP_bone_marrow_G204_plasma_cell_MultipleMyeloma	MultipleMyeloma	MethPipe	0.623028442881508
BP_bone_marrow_S004XMA1_myeloid_cell_AcutePromyelocyticLeukemia	AcuteMyeloidLeukemia	MethPipe	0.771383246189111
BP_bone_marrow_S0050AA1_myeloid_cell_AcutePromyelocyticLeukemia	AcuteMyeloidLeukemia	MethPipe	0.76987008705487
BP_bone_marrow_S005FHA1_myeloid_cell_AcuteMyeloidLeukemia	AcuteMyeloidLeukemia	MethPipe	0.304465739782221
BP_bone_marrow_S008QKA1_myeloid_cell_AcutePromyelocyticLeukemia	AcuteMyeloidLeukemia	MethPipe	0.383928939370213
BP_bone_marrow_S008X6A1_myeloid_cell_AcuteMyeloidLeukemia	AcuteMyeloidLeukemia	MethPipe	0.794774864456682
BP_bone_marrow_S00CXRA1_myeloid_cell_AcuteMyeloidLeukemia	AcuteMyeloidLeukemia	MethPipe	0.372430655963943
BP_bone_marrow_S00CYPA1_myeloid_cell_AcuteMyeloidLeukemia	AcuteMyeloidLeukemia	MethPipe	0.687739282427855
BP_bone_marrow_S00D0FA1_myeloid_cell_AcuteMyeloidLeukemia	AcuteMyeloidLeukemia	MethPipe	0.742473551859452
BP_bone_marrow_S00XCMA1_plasma_cell_MultipleMyeloma	MultipleMyeloma	MethPipe	0.643288125448946
BP_bone_marrow_S00XDKU1_plasma_cell_MultipleMyeloma	MultipleMyeloma	MethPipe	0.671932451729096
BP_bone_marrow_S00XEIU1_plasma_cell_MultipleMyeloma	MultipleMyeloma	MethPipe	0.603864846845546
BP_bone_marrow_S013M3A1_myeloid_cell_AcuteMyeloidLeukemia	AcuteMyeloidLeukemia	MethPipe	0.672851585596246
BP_bone_marrow_S013N1A1_mononuclear_cell_of_bone_marrow_AcuteMyeloidLeukemia	AcuteMyeloidLeukemia	MethPipe	0.365134982036282
BP_bone_marrow_S0179DA1_precursor_B_cell_AcuteLymphocyticLeukemia	AcuteLymphocyticLeukemia	MethPipe	0.735660710893915
BP_bone_marrow_S017E3A1_precursor_B_cell_AcuteLymphocyticLeukemia	AcuteLymphocyticLeukemia	MethPipe	0.370585192401739
BP_bone_marrow_S01GRFA1_precursor_B_cell_AcuteLymphocyticLeukemia	AcuteLymphocyticLeukemia	MethPipe	0.755508606185909
BP_bone_marrow_S01GSDA1_precursor_B_cell_AcuteLymphocyticLeukemia	AcuteLymphocyticLeukemia	MethPipe	0.725221451709801
