Sample	Type	Method	Ratio
BP_bone_marrow_G203_plasma_cell_MultipleMyeloma	MultipleMyeloma	MethPipe	0.294643829015168
BP_bone_marrow_G204_plasma_cell_MultipleMyeloma	MultipleMyeloma	MethPipe	0.554211737426519
BP_bone_marrow_S004XMA1_myeloid_cell_AcutePromyelocyticLeukemia	AcuteMyeloidLeukemia	MethPipe	0.467499231439147
BP_bone_marrow_S0050AA1_myeloid_cell_AcutePromyelocyticLeukemia	AcuteMyeloidLeukemia	MethPipe	0.470467797372814
BP_bone_marrow_S005FHA1_myeloid_cell_AcuteMyeloidLeukemia	AcuteMyeloidLeukemia	MethPipe	0.00557701865157123
BP_bone_marrow_S008QKA1_myeloid_cell_AcutePromyelocyticLeukemia	AcuteMyeloidLeukemia	MethPipe	0.0011494368241527
BP_bone_marrow_S008X6A1_myeloid_cell_AcuteMyeloidLeukemia	AcuteMyeloidLeukemia	MethPipe	0.366552373176573
BP_bone_marrow_S00CXRA1_myeloid_cell_AcuteMyeloidLeukemia	AcuteMyeloidLeukemia	MethPipe	0.00315344001741781
BP_bone_marrow_S00CYPA1_myeloid_cell_AcuteMyeloidLeukemia	AcuteMyeloidLeukemia	MethPipe	0.43907403294869
BP_bone_marrow_S00D0FA1_myeloid_cell_AcuteMyeloidLeukemia	AcuteMyeloidLeukemia	MethPipe	0.346451579214747
BP_bone_marrow_S00XCMA1_plasma_cell_MultipleMyeloma	MultipleMyeloma	MethPipe	0.672982614848683
BP_bone_marrow_S00XDKU1_plasma_cell_MultipleMyeloma	MultipleMyeloma	MethPipe	0.628949380942013
BP_bone_marrow_S00XEIU1_plasma_cell_MultipleMyeloma	MultipleMyeloma	MethPipe	0.436180340373031
BP_bone_marrow_S013M3A1_myeloid_cell_AcuteMyeloidLeukemia	AcuteMyeloidLeukemia	MethPipe	0.133359973873285
BP_bone_marrow_S013N1A1_mononuclear_cell_of_bone_marrow_AcuteMyeloidLeukemia	AcuteMyeloidLeukemia	MethPipe	0.0110260933304304
BP_bone_marrow_S0179DA1_precursor_B_cell_AcuteLymphocyticLeukemia	AcuteLymphocyticLeukemia	MethPipe	0.33845759997097
BP_bone_marrow_S017E3A1_precursor_B_cell_AcuteLymphocyticLeukemia	AcuteLymphocyticLeukemia	MethPipe	0.00851209739458596
BP_bone_marrow_S01GRFA1_precursor_B_cell_AcuteLymphocyticLeukemia	AcuteLymphocyticLeukemia	MethPipe	0.507856184773931
BP_bone_marrow_S01GSDA1_precursor_B_cell_AcuteLymphocyticLeukemia	AcuteLymphocyticLeukemia	MethPipe	0.131725367588359
BP_bone_marrow_S01GTBA1_precursor_B_cell_AcuteLymphocyticLeukemia	AcuteLymphocyticLeukemia	MethPipe	0.0105632019740184
BP_venous_blood_S00AYXU1_NA_ChronicLymphocyticLeukemia	ChronicLymphocyticLeukemia	MethPipe	0.618132360113216
BP_venous_blood_S00B0NU1_NA_ChronicLymphocyticLeukemia	ChronicLymphocyticLeukemia	MethPipe	0.00889877639886784
BP_venous_blood_S00B1LU1_NA_ChronicLymphocyticLeukemia	ChronicLymphocyticLeukemia	MethPipe	0.588065789244502
BP_venous_blood_S00B2JA1_NA_ChronicLymphocyticLeukemia	ChronicLymphocyticLeukemia	MethPipe	0.522968736483054
BP_venous_blood_S00CWTA1_myeloid_cell_AcuteMyeloidLeukemia	AcuteMyeloidLeukemia	MethPipe	0.0043958777850352
BP_venous_blood_S00D1DA1_myeloid_cell_AcuteMyeloidLeukemia	AcuteMyeloidLeukemia	MethPipe	0.00403538573191088
BP_venous_blood_S00D2BA1_myeloid_cell_AcuteMyeloidLeukemia	AcuteMyeloidLeukemia	MethPipe	0.362910666956964
BP_venous_blood_S00D39A1_myeloid_cell_AcuteMyeloidLeukemia	AcuteMyeloidLeukemia	MethPipe	0.416233447274839
BP_venous_blood_S00GPRA1_NA_ChronicLymphocyticLeukemia	ChronicLymphocyticLeukemia	MethPipe	0.548555177443936
BP_venous_blood_S00Q7NA1_myeloid_cell_AcuteMyeloidLeukemia	AcuteMyeloidLeukemia	MethPipe	0.0265243370346179
BP_venous_blood_S00XWJA1_myeloid_cell_AcuteMyeloidLeukemia	AcuteMyeloidLeukemia	MethPipe	0.21256806589738
BP_venous_blood_S00Y05A1_myeloid_cell_AcuteMyeloidLeukemia	AcuteMyeloidLeukemia	MethPipe	0.537746651426083
BP_venous_blood_S00Y13A1_myeloid_cell_AcuteMyeloidLeukemia	AcuteMyeloidLeukemia	MethPipe	0.0854715102692503
