Sample	Type	Method	Ratio
EAC_1	EAC/GEJ_Tumor	MethPipe	0.818371870803237
EAC_2	EAC/GEJ_Tumor	MethPipe	0.969795971067283
EAC_3	EAC/GEJ_Tumor	MethPipe	0.874868090643241
EAC_4	EAC/GEJ_Tumor	MethPipe	0.932369020735
EAC_6	EAC/GEJ_Tumor	MethPipe	0.578082329824346
ESCC_1	ESCC_Tumor	MethPipe	0.953319696482749
ESCC_10	ESCC_Tumor	MethPipe	0.648491341988743
ESCC_11	ESCC_Tumor	MethPipe	0.897293886298069
ESCC_12	ESCC_Tumor	MethPipe	0.855716865205182
ESCC_13	ESCC_Tumor	MethPipe	0.841818420957427
ESCC_14	ESCC_Tumor	MethPipe	0.913944789250827
ESCC_15	ESCC_Tumor	MethPipe	0.935623144436291
ESCC_16	ESCC_Tumor	MethPipe	0.829713460418259
ESCC_17	ESCC_Tumor	MethPipe	0.858270208921834
ESCC_19	ESCC_Tumor	MethPipe	0.886748464622552
ESCC_2	ESCC_Tumor	MethPipe	0.947626608057556
ESCC_20	ESCC_Tumor	MethPipe	0.838385508491048
ESCC_21	ESCC_Tumor	MethPipe	0.909497924119289
ESCC_22	ESCC_Tumor	MethPipe	0.847754758204672
ESCC_3	ESCC_Tumor	MethPipe	0.870880459066929
ESCC_4	ESCC_Tumor	MethPipe	0.917892973627928
ESCC_5	ESCC_Tumor	MethPipe	0.891287897123892
ESCC_6	ESCC_Tumor	MethPipe	0.935800346412555
ESCC_7	ESCC_Tumor	MethPipe	0.850806455079856
ESCC_8	ESCC_Tumor	MethPipe	0.389139563436519
ESCC_9	ESCC_Tumor	MethPipe	0.852864214212925
ESCC_Nonmalignant_1	ESCC_Nonmalignant	MethPipe	0.354915667229442
ESCC_Nonmalignant_2	ESCC_Nonmalignant	MethPipe	0.312435909784979
ESCC_Nonmalignant_3	ESCC_Nonmalignant	MethPipe	0.367436619098859
ESCC_Nonmalignant_53F	ESCC_Nonmalignant	MethPipe	0.341328152622907
ESCC_Nonmalignant_54M	ESCC_Nonmalignant	MethPipe	0.366968814679017
GEJ_1	EAC/GEJ_Tumor	MethPipe	0.411984494598568
GEJ_2	EAC/GEJ_Tumor	MethPipe	0.87870646533838
GEJ_3	EAC/GEJ_Tumor	MethPipe	0.942383896124902
GEJ_4	EAC/GEJ_Tumor	MethPipe	0.899612065269627
GEJ_5	EAC/GEJ_Tumor	MethPipe	0.904922598818641
GEJ_6	EAC/GEJ_Tumor	MethPipe	0.910760029726805
GEJ_7	EAC/GEJ_Tumor	MethPipe	0.92287375261938
GEJ_Nonmalignant_1	GEJ_Nonmalignant	MethPipe	0.430311945167969
GEJ_Nonmalignant_2	GEJ_Nonmalignant	MethPipe	0.326520845470908
GEJ_Nonmalignant_3	GEJ_Nonmalignant	MethPipe	0.440909123908992
GEJ_Nonmalignant_4	GEJ_Nonmalignant	MethPipe	0.939915091291341
GEJ_Nonmalignant_5	GEJ_Nonmalignant	MethPipe	0.47118397215709
GEJ_Nonmalignant_6	GEJ_Nonmalignant	MethPipe	0.922482190309598
GEJ_Nonmalignant_7	GEJ_Nonmalignant	MethPipe	0.445215950162393
EAC_1	EAC/GEJ_Tumor	MethylSeekR	0.694315808352048
EAC_2	EAC/GEJ_Tumor	MethylSeekR	0.72457176079513
EAC_3	EAC/GEJ_Tumor	MethylSeekR	0.720179702939033
EAC_4	EAC/GEJ_Tumor	MethylSeekR	0.724082828756589
EAC_6	EAC/GEJ_Tumor	MethylSeekR	0.69921151941556
ESCC_1	ESCC_Tumor	MethylSeekR	0.865826737810226
ESCC_10	ESCC_Tumor	MethylSeekR	0.788235754934175
ESCC_11	ESCC_Tumor	MethylSeekR	0.789629978314305
ESCC_12	ESCC_Tumor	MethylSeekR	0.763987930965965
ESCC_13	ESCC_Tumor	MethylSeekR	0.78929761482749
ESCC_14	ESCC_Tumor	MethylSeekR	0.732082654714501
ESCC_15	ESCC_Tumor	MethylSeekR	0.808718228681009
ESCC_16	ESCC_Tumor	MethylSeekR	0.780201891094166
ESCC_17	ESCC_Tumor	MethylSeekR	0.781985136505202
ESCC_19	ESCC_Tumor	MethylSeekR	0.753513017914574
ESCC_2	ESCC_Tumor	MethylSeekR	0.735854174793421
ESCC_20	ESCC_Tumor	MethylSeekR	0.725292945140391
ESCC_21	ESCC_Tumor	MethylSeekR	0.718342436992924
ESCC_22	ESCC_Tumor	MethylSeekR	0.660470030522749
ESCC_3	ESCC_Tumor	MethylSeekR	0.738435441399215
ESCC_4	ESCC_Tumor	MethylSeekR	0.764154759666725
ESCC_5	ESCC_Tumor	MethylSeekR	0.714611398187202
ESCC_6	ESCC_Tumor	MethylSeekR	0.709821494342923
ESCC_7	ESCC_Tumor	MethylSeekR	0.77744955394919
ESCC_8	ESCC_Tumor	MethylSeekR	0.760486348819083
ESCC_9	ESCC_Tumor	MethylSeekR	0.787175601823162
ESCC_Nonmalignant_1	ESCC_Nonmalignant	MethylSeekR	0.768779203132905
ESCC_Nonmalignant_2	ESCC_Nonmalignant	MethylSeekR	0.750325284848468
ESCC_Nonmalignant_3	ESCC_Nonmalignant	MethylSeekR	0.728317940442892
