varnames	PC1	PC2	Type	Subtype	Color	Color2	MeanMethylation
BP_bone_marrow_G203_plasma_cell_MultipleMyeloma	-9.25948621797345	-30.5276350230495	Lymphoid cancer	MultipleMyeloma	#C1B62B	#C1B62B	0.533565
BP_bone_marrow_G204_plasma_cell_MultipleMyeloma	34.963967970929	-32.2655158316869	Lymphoid cancer	MultipleMyeloma	#C1B62B	#C1B62B	0.151964
BP_bone_marrow_S004XMA1_myeloid_cell_AcutePromyelocyticLeukemia	56.9280997500833	6.3947448461618	Myeloid cancer	AcuteMyeloidLeukemia	#9AC48A	#9AC48A	0.734381
BP_bone_marrow_S0050AA1_myeloid_cell_AcutePromyelocyticLeukemia	57.9271397101911	5.71110921104687	Myeloid cancer	AcuteMyeloidLeukemia	#9AC48A	#9AC48A	0.725631
BP_bone_marrow_S005FHA1_myeloid_cell_AcuteMyeloidLeukemia	-70.2710105895458	-0.278970171589983	Myeloid cancer	AcuteMyeloidLeukemia	#9AC48A	#9AC48A	0.798952
BP_bone_marrow_S008QKA1_myeloid_cell_AcutePromyelocyticLeukemia	-70.2564664805733	-0.298765912976824	Myeloid cancer	AcuteMyeloidLeukemia	#9AC48A	#9AC48A	0.807986
BP_bone_marrow_S008X6A1_myeloid_cell_AcuteMyeloidLeukemia	36.6575964169664	33.5920577253764	Myeloid cancer	AcuteMyeloidLeukemia	#9AC48A	#9AC48A	0.75311
BP_bone_marrow_S00CXRA1_myeloid_cell_AcuteMyeloidLeukemia	-70.2349227250829	-0.316080529535887	Myeloid cancer	AcuteMyeloidLeukemia	#9AC48A	#9AC48A	0.863451
BP_bone_marrow_S00CYPA1_myeloid_cell_AcuteMyeloidLeukemia	31.0793890158211	25.5730250124142	Myeloid cancer	AcuteMyeloidLeukemia	#9AC48A	#9AC48A	0.754827
BP_bone_marrow_S00D0FA1_myeloid_cell_AcuteMyeloidLeukemia	19.2956110788132	22.6709433683718	Myeloid cancer	AcuteMyeloidLeukemia	#9AC48A	#9AC48A	0.709033
BP_bone_marrow_S00XCMA1_plasma_cell_MultipleMyeloma	60.8839833297395	-13.1247374877945	Lymphoid cancer	MultipleMyeloma	#C1B62B	#C1B62B	0.143457
BP_bone_marrow_S00XDKU1_plasma_cell_MultipleMyeloma	58.4825935006284	-13.5721234242374	Lymphoid cancer	MultipleMyeloma	#C1B62B	#C1B62B	0.111914
BP_bone_marrow_S00XEIU1_plasma_cell_MultipleMyeloma	8.8487036432031	-31.4682138845823	Lymphoid cancer	MultipleMyeloma	#C1B62B	#C1B62B	0.24374
BP_bone_marrow_S013M3A1_myeloid_cell_AcuteMyeloidLeukemia	-52.1410345315868	6.51552898927832	Myeloid cancer	AcuteMyeloidLeukemia	#9AC48A	#9AC48A	0.804822
BP_bone_marrow_S013N1A1_mononuclear_cell_of_bone_marrow_AcuteMyeloidLeukemia	-70.2464540821192	-0.251854873160321	Myeloid cancer	AcuteMyeloidLeukemia	#9AC48A	#9AC48A	0.794084
BP_bone_marrow_S0179DA1_precursor_B_cell_AcuteLymphocyticLeukemia	7.3036779891995	-10.7084462683382	Lymphoid cancer	AcuteLymphocyticLeukemia	#7E2AD8	#7E2AD8	0.674791
BP_bone_marrow_S017E3A1_precursor_B_cell_AcuteLymphocyticLeukemia	-70.2697219796982	-0.277742948480678	Lymphoid cancer	AcuteLymphocyticLeukemia	#7E2AD8	#7E2AD8	0.732428
BP_bone_marrow_S01GRFA1_precursor_B_cell_AcuteLymphocyticLeukemia	51.4014073170594	-6.48829802007763	Lymphoid cancer	AcuteLymphocyticLeukemia	#7E2AD8	#7E2AD8	0.647806
BP_bone_marrow_S01GSDA1_precursor_B_cell_AcuteLymphocyticLeukemia	-45.4697737022889	-9.39792966407429	Lymphoid cancer	AcuteLymphocyticLeukemia	#7E2AD8	#7E2AD8	0.643698
BP_bone_marrow_S01GTBA1_precursor_B_cell_AcuteLymphocyticLeukemia	-70.2489980134035	-0.258661193702923	Lymphoid cancer	AcuteLymphocyticLeukemia	#7E2AD8	#7E2AD8	0.72174
BP_venous_blood_S00AYXU1_NA_ChronicLymphocyticLeukemia	67.0998976641765	-4.95748541999879	Lymphoid cancer	ChronicLymphocyticLeukemia	#A983F2	#A983F2	0.366269
BP_venous_blood_S00B0NU1_NA_ChronicLymphocyticLeukemia	-70.1827846983448	-0.371001144885785	Lymphoid cancer	ChronicLymphocyticLeukemia	#A983F2	#A983F2	0.586407
BP_venous_blood_S00B1LU1_NA_ChronicLymphocyticLeukemia	64.0407095768475	-5.65531097583201	Lymphoid cancer	ChronicLymphocyticLeukemia	#A983F2	#A983F2	0.472465
BP_venous_blood_S00B2JA1_NA_ChronicLymphocyticLeukemia	55.5360110858083	-9.49220353426912	Lymphoid cancer	ChronicLymphocyticLeukemia	#A983F2	#A983F2	0.415724
BP_venous_blood_S00CWTA1_myeloid_cell_AcuteMyeloidLeukemia	-70.2710105895458	-0.278970171589983	Myeloid cancer	AcuteMyeloidLeukemia	#9AC48A	#9AC48A	0.850437
BP_venous_blood_S00D1DA1_myeloid_cell_AcuteMyeloidLeukemia	-70.2681923371412	-0.276724167506666	Myeloid cancer	AcuteMyeloidLeukemia	#9AC48A	#9AC48A	0.767229
BP_venous_blood_S00D2BA1_myeloid_cell_AcuteMyeloidLeukemia	38.8223821649103	35.9571040883633	Myeloid cancer	AcuteMyeloidLeukemia	#9AC48A	#9AC48A	0.715818
