varnames	PC1	PC2	Type	Subtype	Color	Color2	MeanMethylation
BP_bone_marrow_G203_plasma_cell_MultipleMyeloma	-45.1081460773745	13.2799398726802	Lymphoid cancer	MultipleMyeloma	#C1B62B	#C1B62B	0.533565
BP_bone_marrow_G204_plasma_cell_MultipleMyeloma	-0.466119119513325	-12.663849738959	Lymphoid cancer	MultipleMyeloma	#C1B62B	#C1B62B	0.151964
BP_bone_marrow_S004XMA1_myeloid_cell_AcutePromyelocyticLeukemia	39.7043769825579	-15.3063903102685	Myeloid cancer	AcuteMyeloidLeukemia	#9AC48A	#9AC48A	0.734381
BP_bone_marrow_S0050AA1_myeloid_cell_AcutePromyelocyticLeukemia	36.9188796468164	-16.9485042277073	Myeloid cancer	AcuteMyeloidLeukemia	#9AC48A	#9AC48A	0.725631
BP_bone_marrow_S005FHA1_myeloid_cell_AcuteMyeloidLeukemia	58.7357182148026	-2.83964213749144	Myeloid cancer	AcuteMyeloidLeukemia	#9AC48A	#9AC48A	0.798952
BP_bone_marrow_S008QKA1_myeloid_cell_AcutePromyelocyticLeukemia	43.1227945459321	-15.8730320809054	Myeloid cancer	AcuteMyeloidLeukemia	#9AC48A	#9AC48A	0.807986
BP_bone_marrow_S008X6A1_myeloid_cell_AcuteMyeloidLeukemia	58.1456414613935	-13.2300469842546	Myeloid cancer	AcuteMyeloidLeukemia	#9AC48A	#9AC48A	0.75311
BP_bone_marrow_S00CXRA1_myeloid_cell_AcuteMyeloidLeukemia	62.2469446528775	21.1880785585507	Myeloid cancer	AcuteMyeloidLeukemia	#9AC48A	#9AC48A	0.863451
BP_bone_marrow_S00CYPA1_myeloid_cell_AcuteMyeloidLeukemia	58.5363136112546	0.485470825284214	Myeloid cancer	AcuteMyeloidLeukemia	#9AC48A	#9AC48A	0.754827
BP_bone_marrow_S00D0FA1_myeloid_cell_AcuteMyeloidLeukemia	42.011215923692	33.9783168695903	Myeloid cancer	AcuteMyeloidLeukemia	#9AC48A	#9AC48A	0.709033
BP_bone_marrow_S00XCMA1_plasma_cell_MultipleMyeloma	29.5444847205645	-8.83873023109861	Lymphoid cancer	MultipleMyeloma	#C1B62B	#C1B62B	0.143457
BP_bone_marrow_S00XDKU1_plasma_cell_MultipleMyeloma	-3.66452987328916	23.3123323547201	Lymphoid cancer	MultipleMyeloma	#C1B62B	#C1B62B	0.111914
BP_bone_marrow_S00XEIU1_plasma_cell_MultipleMyeloma	-19.7354318102619	21.5323944431399	Lymphoid cancer	MultipleMyeloma	#C1B62B	#C1B62B	0.24374
BP_bone_marrow_S013M3A1_myeloid_cell_AcuteMyeloidLeukemia	35.6886737682152	34.5855238408481	Myeloid cancer	AcuteMyeloidLeukemia	#9AC48A	#9AC48A	0.804822
BP_bone_marrow_S013N1A1_mononuclear_cell_of_bone_marrow_AcuteMyeloidLeukemia	54.6780492253466	21.1353662716027	Myeloid cancer	AcuteMyeloidLeukemia	#9AC48A	#9AC48A	0.794084
BP_bone_marrow_S0179DA1_precursor_B_cell_AcuteLymphocyticLeukemia	-24.7149208658227	-27.61972664376	Lymphoid cancer	AcuteLymphocyticLeukemia	#7E2AD8	#7E2AD8	0.674791
BP_bone_marrow_S017E3A1_precursor_B_cell_AcuteLymphocyticLeukemia	-44.6606002268554	-0.924479202515922	Lymphoid cancer	AcuteLymphocyticLeukemia	#7E2AD8	#7E2AD8	0.732428
BP_bone_marrow_S01GRFA1_precursor_B_cell_AcuteLymphocyticLeukemia	-42.9595644801058	-32.9717269269392	Lymphoid cancer	AcuteLymphocyticLeukemia	#7E2AD8	#7E2AD8	0.647806
BP_bone_marrow_S01GSDA1_precursor_B_cell_AcuteLymphocyticLeukemia	-31.8140408864617	2.19517959097095	Lymphoid cancer	AcuteLymphocyticLeukemia	#7E2AD8	#7E2AD8	0.643698
BP_bone_marrow_S01GTBA1_precursor_B_cell_AcuteLymphocyticLeukemia	-37.5325471195048	-33.6656187852109	Lymphoid cancer	AcuteLymphocyticLeukemia	#7E2AD8	#7E2AD8	0.72174
BP_venous_blood_S00AYXU1_NA_ChronicLymphocyticLeukemia	-68.859591468112	10.7632952775155	Lymphoid cancer	ChronicLymphocyticLeukemia	#A983F2	#A983F2	0.366269
BP_venous_blood_S00B0NU1_NA_ChronicLymphocyticLeukemia	-68.5342269184817	10.8603009530262	Lymphoid cancer	ChronicLymphocyticLeukemia	#A983F2	#A983F2	0.586407
BP_venous_blood_S00B1LU1_NA_ChronicLymphocyticLeukemia	-59.7648068627688	-19.0729560275995	Lymphoid cancer	ChronicLymphocyticLeukemia	#A983F2	#A983F2	0.472465
