Sample	SharedPMDs	EAC_specificPMDs	ESCC_specificPMDs	SharedHMDs	Type
GSM4505856_N1	0.625835	0.70073	0.672757	0.76169	ESCC_Normal
GSM4505857_N2	0.607807	0.694463	0.662309	0.753043	ESCC_Normal
GSM4505858_N6	0.620715	0.693252	0.677662	0.754387	ESCC_Normal
GSM4505859_N7	0.634708	0.720182	0.680998	0.762192	ESCC_Normal
GSM4505860_N8	0.594182	0.651487	0.644205	0.742669	ESCC_Normal
GSM4505861_N9	0.618991	0.699448	0.665952	0.76521	ESCC_Normal
GSM4505862_N11	0.599881	0.668483	0.661349	0.76326	ESCC_Normal
GSM4505863_N12	0.655715	0.714253	0.697213	0.76414	ESCC_Normal
GSM4505864_N13	0.674553	0.735209	0.710909	0.781261	ESCC_Normal
GSM4505866_T1	0.442998	0.679756	0.511924	0.757896	ESCC_Tumor
GSM4505867_T2	0.441092	0.604219	0.519191	0.729564	ESCC_Tumor
GSM4505868_T6	0.466743	0.661386	0.49527	0.719798	ESCC_Tumor
GSM4505869_T7	0.418078	0.620273	0.34063	0.647026	ESCC_Tumor
GSM4505870_T8	0.367898	0.584004	0.438536	0.715249	ESCC_Tumor
GSM4505871_T9	0.358439	0.592937	0.416519	0.73052	ESCC_Tumor
GSM4505872_T11	0.482346	0.69236	0.571367	0.689201	ESCC_Tumor
GSM4505873_T12	0.522649	0.629745	0.579993	0.727983	ESCC_Tumor
GSM4505874_T13	0.378696	0.490211	0.409837	0.629389	ESCC_Tumor
GSM4505875_T15	0.305024	0.45702	0.347011	0.630689	ESCC_Tumor
