varnames	PC1	PC2	Type	global	commonPMDs
EAC_1	-73.3854403555353	74.1674125615232	EAC/GEJ_Tumor	0.547394	0.388087
EAC_2	34.5317632160495	39.6313672366949	EAC/GEJ_Tumor	0.741245	0.685676
EAC_3	7.65588125768874	34.0077550016772	EAC/GEJ_Tumor	0.686993	0.616495
EAC_4	54.7715882635076	23.8143397113262	EAC/GEJ_Tumor	0.786494	0.751977
EAC_6	15.9513677804577	15.6814753543274	EAC/GEJ_Tumor	0.700602	0.650777
ESCC_1	-80.0068977593797	-23.1344482674265	ESCC_Tumor	0.711422	0.633155
ESCC_10	38.8539445059126	-54.690303049494	ESCC_Tumor	0.780618	0.779981
ESCC_11	23.4527194053395	-39.9732304682061	ESCC_Tumor	0.75184	0.738587
ESCC_12	-84.3275160079822	-16.6636796587693	ESCC_Tumor	0.628002	0.538765
ESCC_13	-53.4061368165872	-17.7729808102473	ESCC_Tumor	0.676798	0.616602
ESCC_14	17.6644715840701	-19.4677914034532	ESCC_Tumor	0.733831	0.705858
ESCC_15	-77.8982518895246	-6.51331356002185	ESCC_Tumor	0.699492	0.588239
ESCC_16	-46.1749415563044	-14.607797017459	ESCC_Tumor	0.695229	0.617333
ESCC_17	-10.6182449575271	-8.17665141872889	ESCC_Tumor	0.738396	0.668842
ESCC_19	-110.891645742357	-10.3663849122838	ESCC_Tumor	0.643053	0.482401
ESCC_2	16.9143517828748	-13.9833961148351	ESCC_Tumor	0.730906	0.69634
ESCC_20	-71.7371484694406	-11.9176660322144	ESCC_Tumor	0.637048	0.541139
ESCC_21	-32.6848616361373	-11.2649874122888	ESCC_Tumor	0.665362	0.6011
ESCC_22	-78.3896509194313	-22.448469171065	ESCC_Tumor	0.656282	0.562475
ESCC_3	-43.0864825679947	-8.25154128565609	ESCC_Tumor	0.645693	0.568246
ESCC_4	-42.1129173114959	-8.57893423943848	ESCC_Tumor	0.667032	0.594843
ESCC_5	-39.8319138000388	14.8578211110159	ESCC_Tumor	0.655384	0.562077
ESCC_6	2.17585957790693	-30.7471220054401	ESCC_Tumor	0.67236	0.640002
ESCC_7	-60.0255071163639	-3.30077595919811	ESCC_Tumor	0.634433	0.565835
ESCC_8	17.4056780699782	-41.6409241065725	ESCC_Tumor	0.741795	0.715593
ESCC_9	-59.3036797475195	-6.47640025202347	ESCC_Tumor	0.659762	0.57024
ESCC_Nonmalignant_1	47.2855831290717	-51.9872644961753	ESCC_Nonmalignant	0.774213	0.768458
ESCC_Nonmalignant_2	53.7304675369975	-46.8339202375574	ESCC_Nonmalignant	0.756956	0.756535
ESCC_Nonmalignant_3	32.9292012801835	-43.388424646586	ESCC_Nonmalignant	0.751711	0.728691
ESCC_Nonmalignant_53F	41.7933937834194	-37.4829600563071	ESCC_Nonmalignant	0.763954	0.74623
ESCC_Nonmalignant_54M	37.0477483525575	-49.1216477312619	ESCC_Nonmalignant	0.756336	0.74146
GEJ_1	67.7132536341271	18.5655955756214	EAC/GEJ_Tumor	0.78488	0.757661
GEJ_2	-27.4555411677149	57.5207464196342	EAC/GEJ_Tumor	0.664974	0.562564
GEJ_3	49.2315882887533	24.1893655641026	EAC/GEJ_Tumor	0.743437	0.700521
GEJ_4	3.35274985495879	32.7576375061105	EAC/GEJ_Tumor	0.686422	0.601141
GEJ_5	-42.7326623031849	69.1489986941722	EAC/GEJ_Tumor	0.621606	0.510449
GEJ_6	-31.8210009505972	41.962045041896	EAC/GEJ_Tumor	0.66157	0.569443
GEJ_7	37.8712592674496	19.672493389257	EAC/GEJ_Tumor	0.748493	0.698312
GEJ_Nonmalignant_1	70.2314697221701	14.7938791286509	GEJ_Nonmalignant	0.791909	0.763762
GEJ_Nonmalignant_2	78.86290859644	17.8924261062761	GEJ_Nonmalignant	0.797612	0.774177
GEJ_Nonmalignant_3	69.6867122096599	17.1477089125965	GEJ_Nonmalignant	0.797181	0.771588
GEJ_Nonmalignant_4	67.9342558031521	24.564302704162	GEJ_Nonmalignant	0.779466	0.737752
GEJ_Nonmalignant_5	56.5183725858194	17.4320077089021	GEJ_Nonmalignant	0.763217	0.71839
GEJ_Nonmalignant_6	53.3041671508116	24.8796252087872	GEJ_Nonmalignant	0.75267	0.693779
GEJ_Nonmalignant_7	69.0196844357588	16.1040113759763	GEJ_Nonmalignant	0.801826	0.775906
