sig	type	TMB	proportion	TMB_type
SBS1	EAC_all	0.599456130146309	0.318840579710145	0.65
SBS1	EAC_specificPMD	0.823133268914915	0.365942028985507	0.9
SBS1	ESCC_all	0.334526576501383	0.360236220472441	0.49
SBS1	ESCC_specificPMD	0.598706022455074	0.240157480314961	0.65
SBS13	EAC_all	0.555356604932409	0.0289855072463768	0.65
SBS13	EAC_specificPMD	0.701303870323152	0.0289855072463768	0.79
SBS13	ESCC_all	0.765352331325388	0.513779527559055	0.79
SBS13	ESCC_specificPMD	0.891063587913267	0.452755905511811	0.9
SBS15	EAC_all	4.00010177053689	0.0072463768115942	6.25
SBS15	EAC_specificPMD	6.11855578016461	0.0108695652173913	6.25
SBS15	ESCC_all	2.18939037360981	0.0137795275590551	3.05
SBS15	ESCC_specificPMD	0.81531696619439	0.141732283464567	0.9
SBS17a	EAC_all	1.80060505498535	0.217391304347826	1.84
SBS17a	EAC_specificPMD	1.83404005450801	0.155797101449275	1.84
SBS17a	ESCC_all	NA	NA	NA
SBS17a	ESCC_specificPMD	0.272981857401711	0.0118110236220472	0.49
SBS17b	EAC_all	1.57138045981158	0.764492753623188	1.84
SBS17b	EAC_specificPMD	1.85060307913316	0.710144927536232	3.05
SBS17b	ESCC_all	0.288868472735422	0.00590551181102362	0.49
SBS17b	ESCC_specificPMD	0.257745826097687	0.00196850393700787	NA
SBS18	EAC_all	1.13813868108612	0.260869565217391	1.14
SBS18	EAC_specificPMD	1.48524357069557	0.307971014492754	1.84
SBS18	ESCC_all	0.498209186860587	0.307086614173228	0.65
SBS18	ESCC_specificPMD	0.954458552142928	0.135826771653543	1.14
SBS2	EAC_all	0.628996524304977	0.0398550724637681	0.65
SBS2	EAC_specificPMD	0.662181955510488	0.0543478260869565	0.79
SBS2	ESCC_all	0.564221261840888	0.56496062992126	0.65
SBS2	ESCC_specificPMD	0.794466680607502	0.366141732283465	0.9
SBS25	EAC_all	1.61643273865965	0.115942028985507	1.84
SBS25	EAC_specificPMD	2.49386566366727	0.152173913043478	3.05
SBS25	ESCC_all	0.968212947124374	0.125984251968504	1.14
SBS25	ESCC_specificPMD	1.47543564920213	0.0492125984251969	1.48
SBS39	EAC_all	1.30495181204513	0.0326086956521739	1.48
SBS39	EAC_specificPMD	1.31810577885554	0.108695652173913	1.48
SBS39	ESCC_all	0.830744709626383	0.102362204724409	0.9
SBS39	ESCC_specificPMD	1.37535289529366	0.311023622047244	1.48
SBS40	EAC_all	3.65787413303142	0.452898550724638	6.25
SBS40	EAC_specificPMD	4.08677839907261	0.217391304347826	6.25
SBS40	ESCC_all	1.98855895106372	0.368110236220472	3.05
SBS40	ESCC_specificPMD	2.94705714575917	0.0275590551181102	3.05
SBS41	EAC_all	1.24846282687114	0.16304347826087	1.29
SBS41	EAC_specificPMD	1.13364437242872	0.199275362318841	1.14
SBS41	ESCC_all	NA	NA	NA
SBS41	ESCC_specificPMD	1.01007247173686	0.0196850393700787	1.14
SBS5	EAC_all	2.53780764292165	0.293478260869565	3.05
SBS5	EAC_specificPMD	3.46882352121817	0.155797101449275	6.25
SBS5	ESCC_all	1.37465770757682	0.476377952755905	1.48
SBS5	ESCC_specificPMD	1.24553546637073	0.0295275590551181	1.29
SBS6	EAC_all	6.24972652358279	0.0144927536231884	6.25
SBS6	EAC_specificPMD	0.95985333204254	0.0615942028985507	1.14
SBS6	ESCC_all	0.367957540978783	0.047244094488189	0.49
SBS6	ESCC_specificPMD	0.783587768829722	0.112204724409449	0.79
SBS7a	EAC_all	NA	NA	NA
SBS7a	EAC_specificPMD	NA	NA	NA
SBS7a	ESCC_all	NA	NA	NA
SBS7a	ESCC_specificPMD	0.718209531209216	0.104330708661417	0.79
SBS8	EAC_all	1.23977866203699	0.072463768115942	1.29
SBS8	EAC_specificPMD	1.15673447973463	0.119565217391304	1.29
SBS8	ESCC_all	0.462834483927957	0.124015748031496	0.49
SBS8	ESCC_specificPMD	0.866240465587962	0.0964566929133858	0.9
SBS9	EAC_all	1.39909663916708	0.0471014492753623	1.48
SBS9	EAC_specificPMD	1.62062754588653	0.105072463768116	1.84
SBS9	ESCC_all	0.784440583559267	0.0610236220472441	0.79
SBS9	ESCC_specificPMD	1.16202399843375	0.0413385826771654	1.29
