varnames	PC1	PC2	Type	maskUnionPMDs	Type2
EAC_1	75.2898391191707	66.403277721081	EAC/GEJ_Tumor	0.661596	Others
EAC_2	80.0213586635748	17.5844539568411	EAC/GEJ_Tumor	0.766603	Others
EAC_3	43.8723565584869	8.20993897965609	EAC/GEJ_Tumor	0.731702	Others
EAC_4	66.9796228168086	-8.43486077695118	EAC/GEJ_Tumor	0.79358	Others
EAC_6	24.7869825010048	5.2918628387812	EAC/GEJ_Tumor	0.724342	Others
ESCC_1	-71.9190687180828	6.91310998268313	ESCC_Tumor	0.744004	Others
ESCC_10	-53.1486546634527	-34.0103497905656	ESCC_Tumor	0.766341	Others
ESCC_11	-33.291605172923	-34.6047146336684	ESCC_Tumor	0.756042	Others
ESCC_12	-74.325073036935	30.4459291823984	ESCC_Tumor	0.683222	Others
ESCC_13	-56.4341462042879	6.9842877994495	ESCC_Tumor	0.712341	Others
ESCC_14	-19.5186890448596	-21.5419818045115	ESCC_Tumor	0.739919	Others
ESCC_15	-57.735354326439	3.84266823109067	ESCC_Tumor	0.760052	Others
ESCC_16	-50.853028886956	6.03897831519664	ESCC_Tumor	0.733492	Others
ESCC_17	-19.8007334600577	-20.7866979968193	ESCC_Tumor	0.770887	Others
ESCC_19	-83.545667786698	34.5148645352659	ESCC_Tumor	0.750937	Others
ESCC_2	-11.4078246895625	-18.8079338136395	ESCC_Tumor	0.739788	Others
ESCC_20	-66.6395834645789	27.8024907807628	ESCC_Tumor	0.71519	Others
ESCC_21	-40.6291966957462	18.1911457195822	ESCC_Tumor	0.698896	Others
ESCC_22	-82.4497999245404	24.5815062068583	ESCC_Tumor	0.713658	Others
ESCC_3	-42.7099119758815	15.7473468822982	ESCC_Tumor	0.687734	Others
ESCC_4	-40.3781272322028	22.457803213245	ESCC_Tumor	0.704139	Others
ESCC_5	-7.16491428127202	0.431150960361969	ESCC_Tumor	0.706292	Others
ESCC_6	-44.2796765757486	-4.8528176609532	ESCC_Tumor	0.686545	Others
ESCC_7	-37.0452530309311	15.8727404076657	ESCC_Tumor	0.667739	Others
ESCC_8	-52.406227700155	-9.38327463108881	ESCC_Tumor	0.745877	Others
ESCC_9	-53.0128006245759	21.6854154850205	ESCC_Tumor	0.70681	Others
ESCC_Nonmalignant_1	-46.3060469059161	-40.164780622187	ESCC_Nonmalignant	0.763158	Our_data
ESCC_Nonmalignant_2	-32.958512516067	-44.3168423445656	ESCC_Nonmalignant	0.748958	Our_data
ESCC_Nonmalignant_3	-49.563608057318	-22.4374240099891	ESCC_Nonmalignant	0.752142	Our_data
ESCC_Nonmalignant_53F	-31.7261197630463	-34.9470200535651	ESCC_Nonmalignant	0.759126	ENCODE_data
ESCC_Nonmalignant_54M	-50.732710615529	-30.5304477395502	ESCC_Nonmalignant	0.749008	ENCODE_data
GEJ_1	71.3306794428702	-13.5407386896797	EAC/GEJ_Tumor	0.794296	Others
GEJ_2	50.4866014001079	39.5966485414151	EAC/GEJ_Tumor	0.725005	Others
GEJ_3	68.2864663729657	-2.91957107932371	EAC/GEJ_Tumor	0.761692	Others
GEJ_4	53.6861502425001	10.1183122034584	EAC/GEJ_Tumor	0.732378	Others
GEJ_5	65.8954243628231	66.3288390921797	EAC/GEJ_Tumor	0.690213	Others
GEJ_6	36.85695999485	35.8855166015892	EAC/GEJ_Tumor	0.71799	Others
GEJ_7	42.6402336365081	-2.48769096398079	EAC/GEJ_Tumor	0.77368	Others
GEJ_Nonmalignant_1	68.5180112054292	-28.6512743000551	GEJ_Nonmalignant	0.794397	Others
GEJ_Nonmalignant_2	86.5687521132007	-22.5936199875937	GEJ_Nonmalignant	0.796494	Others
GEJ_Nonmalignant_3	77.2164158919792	-19.1561727022143	GEJ_Nonmalignant	0.805732	Others
GEJ_Nonmalignant_4	86.9157690365766	-13.9908114091606	GEJ_Nonmalignant	0.800743	Others
GEJ_Nonmalignant_5	63.3579873133098	-18.9997247528021	GEJ_Nonmalignant	0.787211	Others
GEJ_Nonmalignant_6	74.2548589614654	-15.5512833847183	GEJ_Nonmalignant	0.785781	Others
GEJ_Nonmalignant_7	73.0178657201304	-22.2182544892975	GEJ_Nonmalignant	0.810681	Others
