GO_term	detail	enrichment	pValue	FDR	Genes
regulation of membrane potential	16990, 1891, 419, 92	1.973	0.00000000275692316655	4.92870820122633	419
regulation of multicellular organismal development	16990, 662, 1916, 130	1.741	0.00000000489978155028	4.92870820122633	1916
cell projection organization	16990, 1731, 777, 131	1.655	0.000000113526090933	3.82812288499009	777
regulation of trans-synaptic signaling	16990, 1298, 426, 68	2.089	0.000000123535571859	3.82812288499009	426
regulation of synapse organization	16990, 1849, 215, 52	2.222	0.00000043509915372	3.48695688775584	215
cognition	16990, 789, 288, 37	2.766	0.000000474237700214	3.48695688775584	288
regulation of system process	16990, 665, 523, 49	2.394	0.000000397594527208	3.48695688775584	523
system development	16990, 1036, 700, 80	1.874	0.0000010449425373	3.20185250191072	700
anatomical structure morphogenesis	16990, 1041, 1364, 133	1.591	0.0000012206141093	3.18551904732643	1364
regulation of cell projection organization	16990, 662, 671, 56	2.142	0.00000180057978815	3.14162379887463	671
neuron projection development	16990, 1027, 245, 38	2.566	0.0000016987673178	3.14162379887463	245
behavior	16990, 970, 555, 64	2.02	0.0000016531253993	3.14162379887463	555
biological adhesion	16990, 314, 896, 41	2.476	0.00000228279038992	3.07333224034326	896
regulation of synapse assembly	16990, 1298, 104, 25	3.146	0.00000301618012422	3.03070601038785	104
regulation of postsynapse organization	16990, 1849, 96, 29	2.776	0.00000309933767779	3.03070601038785	96
