Term	N,n,B,b	Erichment	p_value	FDR	Gene_number
positive regulation of insulin secretion involved in cellular response to glucose stimulus(GO:0035774)	16990, 1904, 33, 1	0.27	0.980649257868	1.0	33
organophosphate catabolic process(GO:0046434)	16990, 905, 161, 14	1.632	0.253545724887	0.770544566242	161
CDP-diacylglycerol metabolic process(GO:0046341)	16990, 0, 14, 0	0.0	1.0	1.0	14
pyridine-containing compound biosynthetic process(GO:0072525)	16990, 1110, 75, 5	1.02	0.853568685824	1.0	75
negative regulation of chemotaxis(GO:0050922)	16990, 503, 56, 3	1.81	0.545244996305	0.988405771719	56
NAD biosynthesis via nicotinamide riboside salvage pathway(GO:0034356)	16990, 1916, 15, 3	1.773	0.409239941709	0.914183348338	15
dendrite development(GO:0016358)	16990, 1718, 33, 10	2.997	0.00661727343351	0.156322476992	33
amino sugar biosynthetic process(GO:0046349)	16990, 481, 13, 1	2.717	0.45443459268	0.945863236625	13
cofactor biosynthetic process(GO:0051188)	16990, 1391, 227, 24	1.291	0.475328736127	0.959856551686	227
negative regulation of lymphocyte mediated immunity(GO:0002707)	16990, 576, 38, 1	0.776	0.886586254011	1.0	38
regulation of lymphocyte mediated immunity(GO:0002706)	16990, 1963, 148, 9	0.526	0.999716626045	1.0	148
positive regulation of leukocyte mediated immunity(GO:0002705)	16990, 1340, 131, 3	0.29	0.999934909021	1.0	131
negative regulation of leukocyte mediated immunity(GO:0002704)	16990, 36, 48, 1	9.832	0.309782744025	0.825645943635	48
regulation of leukocyte mediated immunity(GO:0002703)	16990, 36, 202, 1	2.336	0.793809489689	1.0	202
positive regulation of production of molecular mediator of immune response(GO:0002702)	16990, 433, 95, 1	0.413	0.989196231893	1.0	95
negative regulation of production of molecular mediator of immune response(GO:0002701)	16990, 576, 35, 3	2.528	0.320352946214	0.836380269714	35
regulation of production of molecular mediator of immune response(GO:0002700)	16990, 576, 139, 3	0.637	0.985938184332	1.0	139
regulation of steroid hormone secretion(GO:2000831)	16990, 1563, 19, 5	2.861	0.087772012503	0.524944990948	19
establishment of mitochondrion localization(GO:0051654)	16990, 1838, 23, 4	1.608	0.450130084628	0.944644723848	23
maintenance of organelle location(GO:0051657)	16990, 1820, 11, 2	1.697	0.462387119621	0.952872980043	11
establishment of organelle localization(GO:0051656)	16990, 1490, 279, 23	0.94	0.961356767374	1.0	279
maintenance of location in cell(GO:0051651)	16990, 142, 93, 1	1.287	0.867914788929	1.0	93
hippo signaling(GO:0035329)	16990, 1130, 27, 4	2.227	0.273816191663	0.793350727098	27
spindle localization(GO:0051653)	16990, 779, 42, 3	1.558	0.597677051426	1.0	42
positive regulation of lymphocyte mediated immunity(GO:0002708)	16990, 1340, 104, 3	0.366	0.999237911734	1.0	104
renal water homeostasis(GO:0003091)	16990, 28, 32, 2	37.924	0.00711392158981	0.160190348416	32
positive regulation of cytoskeleton organization(GO:0051495)	16990, 118, 210, 6	4.114	0.0315960937543	0.347007300997	210
negative regulation of cytoskeleton organization(GO:0051494)	16990, 760, 133, 12	2.017	0.10709432601	0.560526341792	133
regulation of cytoskeleton organization(GO:0051493)	16990, 980, 516, 42	1.411	0.128036135459	0.589333790966	516
positive regulation of filopodium assembly(GO:0051491)	16990, 342, 30, 3	4.968	0.0905425170977	0.524944990948	30
regulation of granulocyte differentiation(GO:0030852)	16990, 0, 15, 0	0.0	1.0	1.0	15
prostate gland development(GO:0030850)	16990, 66, 11, 1	23.402	0.107990616232	0.564603113126	11
granulocyte differentiation(GO:0030851)	16990, 0, 18, 0	0.0	1.0	1.0	18
regulation of epithelial cell differentiation(GO:0030856)	16990, 595, 139, 8	1.643	0.429868994478	0.927206216788	139
negative regulation of epithelial cell differentiation(GO:0030857)	16990, 595, 39, 4	2.929	0.172925290167	0.671866434333	39
epithelial cell differentiation(GO:0030855)	16990, 951, 314, 26	1.479	0.199411626478	0.70263937031	314
regulation of protein sumoylation(GO:0033233)	16990, 1174, 21, 1	0.689	0.844671084335	1.0	21
positive regulation of epithelial cell differentiation(GO:0030858)	16990, 1419, 58, 3	0.619	0.967377492261	1.0	58
polarized epithelial cell differentiation(GO:0030859)	16990, 36, 19, 1	24.839	0.123169908883	0.583535584647	19
protoporphyrinogen IX metabolic process(GO:0046501)	16990, 2000, 11, 3	2.317	0.257413898384	0.77769081995	11
S-adenosylmethionine metabolic process(GO:0046500)	16990, 1304, 15, 2	1.737	0.486475207939	0.960174702581	15
glycerolipid catabolic process(GO:0046503)	16990, 441, 51, 2	1.511	0.700625826679	1.0	51
regulation of trophoblast cell migration(GO:1901163)	16990, 1884, 11, 1	0.82	0.726469971646	1.0	11
base-excision repair(GO:0006284)	16990, 954, 33, 2	1.079	0.784883205365	1.0	33
pH reduction(GO:0045851)	16990, 320, 34, 2	3.123	0.349253747835	0.862969313114	34
axon regeneration(GO:0031103)	16990, 1323, 21, 5	3.058	0.0750677490569	0.493572812652	21
neuron projection regeneration(GO:0031102)	16990, 513, 27, 3	3.68	0.156374620805	0.647537216917	27
animal organ regeneration(GO:0031100)	16990, 556, 76, 2	0.804	0.930549113922	1.0	76
social behavior(GO:0035176)	16990, 1255, 54, 9	2.256	0.0858670668569	0.518870089927	54
regulation of protein kinase activity(GO:0045859)	16990, 26, 763, 3	2.569	0.531221468844	0.983295050189	763
microtubule polymerization or depolymerization(GO:0031109)	16990, 760, 31, 3	2.163	0.386309570709	0.899558091266	31
nucleotide-excision repair(GO:0006289)	16990, 524, 103, 3	0.944	0.909749543783	1.0	103
defense response to fungus(GO:0050832)	16990, 589, 34, 1	0.848	0.859481909629	1.0	34
