Term	N,n,B,b	Erichment	p_value	FDR	Gene_number
positive regulation of insulin secretion involved in cellular response to glucose stimulus(GO:0035774)	16990, 121, 33, 1	4.255	0.462949392846	1.0	33
organophosphate catabolic process(GO:0046434)	16990, 1356, 161, 13	1.012	0.892334716735	1.0	161
CDP-diacylglycerol metabolic process(GO:0046341)	16990, 157, 14, 1	7.73	0.252591773614	0.92490122268	14
pyridine-containing compound biosynthetic process(GO:0072525)	16990, 1356, 75, 5	0.835	0.93266771785	1.0	75
negative regulation of chemotaxis(GO:0050922)	16990, 107, 56, 1	2.835	0.626246762327	1.0	56
NAD biosynthesis via nicotinamide riboside salvage pathway(GO:0034356)	16990, 1676, 15, 3	2.027	0.335537755021	0.969409770897	15
dendrite development(GO:0016358)	16990, 718, 33, 5	3.585	0.0573814781947	0.651577096438	33
amino sugar biosynthetic process(GO:0046349)	16990, 1530, 13, 3	2.563	0.222347645702	0.891561396724	13
cofactor biosynthetic process(GO:0051188)	16990, 1401, 227, 20	1.068	0.848162360665	1.0	227
negative regulation of lymphocyte mediated immunity(GO:0002707)	16990, 1021, 38, 1	0.438	0.956976853682	1.0	38
regulation of lymphocyte mediated immunity(GO:0002706)	16990, 110, 148, 1	1.044	0.928350988144	1.0	148
positive regulation of leukocyte mediated immunity(GO:0002705)	16990, 110, 131, 1	1.179	0.904331275155	1.0	131
negative regulation of leukocyte mediated immunity(GO:0002704)	16990, 1021, 48, 1	0.347	0.982379976784	1.0	48
regulation of leukocyte mediated immunity(GO:0002703)	16990, 110, 202, 1	0.765	0.971363732379	1.0	202
positive regulation of production of molecular mediator of immune response(GO:0002702)	16990, 450, 95, 1	0.397	0.990453703759	1.0	95
negative regulation of production of molecular mediator of immune response(GO:0002701)	16990, 131, 35, 1	3.706	0.506042466057	1.0	35
regulation of production of molecular mediator of immune response(GO:0002700)	16990, 131, 139, 1	0.933	0.940190173336	1.0	139
regulation of steroid hormone secretion(GO:2000831)	16990, 1894, 19, 3	1.416	0.556456001745	1.0	19
establishment of mitochondrion localization(GO:0051654)	16990, 214, 23, 1	3.452	0.475896808687	1.0	23
maintenance of organelle location(GO:0051657)	16990, 0, 11, 0	0.0	1.0	1.0	11
establishment of organelle localization(GO:0051656)	16990, 239, 279, 7	1.784	0.444578883515	1.0	279
maintenance of location in cell(GO:0051651)	16990, 198, 93, 2	1.845	0.675506033421	1.0	93
