sample	MethPipe_in_commonPMD	MethPipe_in_commonHMD	MethylSeekR_in_commonPMD	MethylSeekR_in_commonHMD	MMSeekR_in_commonPMD	MMSeekR_in_commonHMD
BP_bone_marrow_G203_plasma_cell_MultipleMyeloma	0.612586320234479	0.172330735398733	0.594248852475333	0.185839861669424	0.612586320234479	0.172330735398733
BP_bone_marrow_G204_plasma_cell_MultipleMyeloma	0.64305040140733	0.156886077499237	0.461017827031734	0.272771046571444	0.64305040140733	0.156886077499237
BP_bone_marrow_S004XMA1_myeloid_cell_AcutePromyelocyticLeukemia	0.709368260382954	0.125680442190334	0.647777206310581	0.156173899317305	0.709368260382954	0.125680442190334
BP_bone_marrow_S0050AA1_myeloid_cell_AcutePromyelocyticLeukemia	0.704851646545624	0.127415147668582	0.646319708711166	0.157353877440289	0.704851646545624	0.127415147668582
BP_bone_marrow_S005FHA1_myeloid_cell_AcuteMyeloidLeukemia	0.727407472708841	0.122893510368464	0.605028235604442	0.183746545579529	0.727407472708841	0.122893510368464
BP_bone_marrow_S008QKA1_myeloid_cell_AcutePromyelocyticLeukemia	0.683532122914727	0.137699517791569	0.662398199768232	0.147473739235291	0.683532122914727	0.137699517791569
BP_bone_marrow_S008X6A1_myeloid_cell_AcuteMyeloidLeukemia	0.718843549774819	0.118292216299384	0.7111685446818	0.12067122297386	0.718843549774819	0.118292216299384
BP_bone_marrow_S00CXRA1_myeloid_cell_AcuteMyeloidLeukemia	0.696659560912373	0.130804917590094	0.464627502582574	0.253701057139922	0.696659560912373	0.130804917590094
BP_bone_marrow_S00CYPA1_myeloid_cell_AcuteMyeloidLeukemia	0.653897285223934	0.152304577309213	0.605167007952309	0.179030105407625	0.653897285223934	0.152304577309213
BP_bone_marrow_S00D0FA1_myeloid_cell_AcuteMyeloidLeukemia	0.674357005551385	0.142634768875877	0.651248096512673	0.15732609097206	0.674357005551385	0.142634768875877
BP_bone_marrow_S00XCMA1_plasma_cell_MultipleMyeloma	0.665506169229377	0.147269426707114	0.407400277858401	0.292491130266384	0.665506169229377	0.147269426707114
BP_bone_marrow_S00XDKU1_plasma_cell_MultipleMyeloma	0.677898405339456	0.138054818481773	0.445369785469008	0.269155865537838	0.677898405339456	0.138054818481773
BP_bone_marrow_S00XEIU1_plasma_cell_MultipleMyeloma	0.590766107970311	0.174544016036072	0.55937330335458	0.209148953133977	0.590766107970311	0.174544016036072
