Sample	Type	MethPipe_in_commonPMD	MethPipe_in_commonHMD	MethylSeekR_in_commonPMD	MethylSeekR_in_commonHMD	MMSeekR_in_commonPMD	MMSeekR_in_commonHMD
EAC_1	EAC/GEJ_Tumor	0.818371870803237	0.0205527957261434	0.694315808352048	0.0684797193077231	0.858065853314135	0.010568014816764
EAC_2	EAC/GEJ_Tumor	0.969795971067283	0.00160036356381276	0.72457176079513	0.0679852555571588	0.871574392002549	0.0110559833026949
EAC_3	EAC/GEJ_Tumor	0.874868090643241	0.0112793399605823	0.720179702939033	0.0588893582777996	0.79118263465895	0.0257829172377407
EAC_4	EAC/GEJ_Tumor	0.932369020735	0.00620668652451943	0.724082828756589	0.0661059378754479	0.829931190019993	0.0189013818780238
EAC_6	EAC/GEJ_Tumor	0.578082329824346	0.129419390999415	0.69921151941556	0.0741532470339102	0.793628665948924	0.0250170582345643
ESCC_1	ESCC_Tumor	0.953319696482749	0.00608809486058295	0.865826737810226	0.0320224256692989	0.920296737608848	0.00814996784894642
ESCC_10	ESCC_Tumor	0.648491341988743	0.123473857293665	0.788235754934175	0.0535117115294152	0.83856333153045	0.024728772220845
ESCC_11	ESCC_Tumor	0.897293886298069	0.010233888288396	0.789629978314305	0.0454155312014757	0.871565960534962	0.0131493255382658
ESCC_12	ESCC_Tumor	0.855716865205182	0.0154977225427773	0.763987930965965	0.0428424550550579	0.799942035003054	0.027362774154668
ESCC_13	ESCC_Tumor	0.841818420957427	0.0174546164723983	0.78929761482749	0.0319694378072083	0.833702809916294	0.0164686999985791
ESCC_14	ESCC_Tumor	0.913944789250827	0.0115339741081721	0.732082654714501	0.0580058512754238	0.789313203434367	0.0309440955804338
ESCC_15	ESCC_Tumor	0.935623144436291	0.00425097469921438	0.808718228681009	0.0299405410269391	0.858722278387201	0.0136383336030454
ESCC_16	ESCC_Tumor	0.829713460418259	0.022462717197621	0.780201891094166	0.0370128915623384	0.816810074762594	0.0239349662988267
ESCC_17	ESCC_Tumor	0.858270208921834	0.0168083627334894	0.781985136505202	0.0365870613814071	0.848427854006205	0.016133385059551
ESCC_19	ESCC_Tumor	0.886748464622552	0.0108294503418501	0.753513017914574	0.0470817064727448	0.774745057409275	0.0359355444663954
ESCC_2	ESCC_Tumor	0.947626608057556	0.00509673202890264	0.735854174793421	0.0608754116576682	0.845292412043573	0.0203185049896168
