region	ESCC_Nonmalignant_3	ESCC_Nonmalignant_53F	ESCC_Nonmalignant_54M	ESCC_Nonmalignant_1	ESCC_Nonmalignant_2	GEJ_Nonmalignant_6	GEJ_Nonmalignant_4	GEJ_Nonmalignant_5	GEJ_Nonmalignant_3	GEJ_Nonmalignant_7	GEJ_Nonmalignant_1	GEJ_Nonmalignant_2	ESCC_14	ESCC_2	ESCC_8	ESCC_10	ESCC_11	ESCC_1	ESCC_15	ESCC_16	ESCC_17	ESCC_19	ESCC_7	ESCC_12	ESCC_9	ESCC_13	ESCC_20	ESCC_22	ESCC_6	ESCC_4	ESCC_21	ESCC_3	ESCC_5	EAC_4	GEJ_1	EAC_2	EAC_6	GEJ_3	GEJ_7	EAC_1	GEJ_6	EAC_3	GEJ_4	GEJ_2	GEJ_5
chr12_57880000_57890000	0.6986	0.6995	0.7059	0.6742	0.6991	0.7556	0.8717	0.7529	0.8019	0.8191	0.7038	0.8211	0.6868	0.7547	0.6357	0.6824	0.6724	0.6338	0.6844	0.7786	0.7381	0.805	0.6477	0.664	0.7093	0.6743	0.6492	0.5671	0.6667	0.7211	0.7101	0.6833	0.7013	0.7467	0.803	0.6509	0.7063	0.7732	0.7468	0.5479	0.7316	0.7049	0.7385	0.7436	0.6436
chr12_57890000_57900000	0.5395	0.5214	0.5093	0.5305	0.4951	0.6319	0.6799	0.6225	0.6218	0.6254	0.587	0.5675	0.5473	0.5447	0.5297	0.5993	0.5825	0.5333	0.599	0.6512	0.6751	0.6984	0.5304	0.5956	0.5552	0.5775	0.657	0.4905	0.4682	0.5991	0.5417	0.5801	0.5756	0.6544	0.6198	0.5074	0.5616	0.576	0.625	0.5834	0.5333	0.5203	0.5395	0.6375	0.4817
chr12_57900000_57910000	0.7186	0.7323	0.7285	0.7365	0.7411	0.7141	0.7331	0.7217	0.7341	0.7012	0.8295	0.781	0.7479	0.7269	0.7158	0.7504	0.7556	0.7692	0.7756	0.7296	0.761	0.7862	0.6544	0.7307	0.7293	0.7119	0.6552	0.6414	0.6757	0.699	0.6752	0.6465	0.7362	0.7369	0.7174	0.7269	0.6778	0.6853	0.7138	0.5208	0.6842	0.7166	0.6836	0.6913	0.6423
chr12_57910000_57920000	0.7765	0.7765	0.7714	0.8113	0.854	0.7202	0.7438	0.7611	0.7847	0.79	0.807	0.7649	0.7778	0.7825	0.7593	0.8262	0.8166	0.8453	0.7714	0.729	0.7807	0.7858	0.6795	0.7152	0.7465	0.7257	0.674	0.6459	0.7181	0.6946	0.6429	0.6631	0.7379	0.7753	0.7563	0.7614	0.7244	0.7369	0.7278	0.3684	0.6544	0.7111	0.7488	0.5242	0.5665
chr12_57920000_57930000	0.8291	0.8523	0.8542	0.8714	0.8933	0.7963	0.8425	0.8559	0.8355	0.8516	0.8728	0.8856	0.7987	0.818	0.8274	0.8627	0.8867	0.8749	0.8582	0.8047	0.8379	0.8166	0.7477	0.7709	0.79	0.8257	0.7021	0.7315	0.8141	0.7488	0.7071	0.6619	0.7644	0.8684	0.8108	0.865	0.7526	0.8082	0.7779	0.4557	0.6548	0.7113	0.7252	0.6759	0.641
chr12_57930000_57940000	0.7388	0.759	0.7334	0.7836	0.7826	0.7627	0.7996	0.7754	0.7989	0.8141	0.8008	0.7639	0.7505	0.7118	0.7595	0.7659	0.7716	0.7912	0.7737	0.6836	0.7723	0.7657	0.7333	0.6603	0.6905	0.7325	0.6347	0.7276	0.7544	0.6539	0.6179	0.6281	0.7321	0.792	0.7365	0.7922	0.6643	0.7364	0.7288	0.5001	0.5779	0.6877	0.6291	0.6317	0.5957
chr12_57940000_57950000	0.7957	0.8122	0.732	0.7826	0.7528	0.8002	0.8337	0.8317	0.8117	0.8312	0.8527	0.7488	0.7603	0.6839	0.7535	0.7194	0.7673	0.6908	0.7819	0.8164	0.8195	0.8075	0.671	0.6907	0.7086	0.7601	0.6952	0.7773	0.6985	0.6703	0.7918	0.712	0.6762	0.78	0.8004	0.6613	0.7344	0.7987	0.7905	0.6192	0.6757	0.7479	0.6958	0.7085	0.6859
chr12_57950000_57960000	0.9296	0.9272	0.9287	0.9402	0.9363	0.9423	0.9349	0.933	0.9322	0.9287	0.9618	0.9611	0.9426	0.9175	0.9292	0.9431	0.9328	0.9241	0.9661	0.9306	0.9477	0.96	0.8836	0.951	0.9451	0.9291	0.9121	0.9547	0.8957	0.9083	0.8995	0.9143	0.8871	0.9564	0.932	0.9284	0.8949	0.9212	0.9416	0.9243	0.9262	0.9117	0.9103	0.8943	0.9114
chr12_57960000_57970000	0.8438	0.8472	0.8532	0.8689	0.8473	0.8377	0.8537	0.8229	0.8663	0.8625	0.8978	0.9113	0.8452	0.8572	0.8006	0.8774	0.8739	0.8301	0.8419	0.8353	0.8172	0.8006	0.705	0.8138	0.8313	0.8411	0.8102	0.7977	0.7941	0.7285	0.7253	0.6745	0.6649	0.787	0.8776	0.7205	0.7426	0.8107	0.8335	0.7156	0.6645	0.7625	0.727	0.6852	0.6103
chr12_57970000_57980000	0.8011	0.8184	0.8358	0.8414	0.8137	0.7391	0.7913	0.7126	0.794	0.7993	0.7768	0.8184	0.7892	0.7439	0.7631	0.7936	0.8388	0.7637	0.6832	0.8322	0.7872	0.8379	0.7171	0.7607	0.8113	0.794	0.7986	0.8217	0.7182	0.6406	0.7337	0.5908	0.5003	0.8044	0.7852	0.678	0.6302	0.6995	0.7109	0.4317	0.4036	0.5907	0.6312	0.4304	0.3413
chr12_57980000_57990000	0.8064	0.7837	0.8455	0.8363	0.874	0.7607	0.7639	0.7061	0.7912	0.7975	0.7897	0.7879	0.7608	0.7971	0.7896	0.8302	0.8501	0.8258	0.7743	0.8145	0.7903	0.9016	0.6826	0.808	0.8304	0.8304	0.8021	0.8685	0.7264	0.6831	0.8093	0.7629	0.6005	0.8203	0.7555	0.7898	0.6992	0.728	0.726	0.5345	0.5626	0.6381	0.6314	0.5619	0.4527
chr12_57990000_58000000	0.7613	0.7766	0.8044	0.7785	0.8044	0.7723	0.8325	0.7399	0.8246	0.8117	0.8125	0.7931	0.8103	0.7606	0.7708	0.8141	0.8849	0.818	0.7505	0.8234	0.7872	0.8706	0.6741	0.8191	0.8199	0.8201	0.8463	0.8377	0.6754	0.7882	0.7741	0.7545	0.654	0.8608	0.8112	0.7798	0.7269	0.7517	0.7408	0.4809	0.5821	0.6576	0.6134	0.5841	0.4192
chr12_58000000_58010000	0.7687	0.7674	0.7808	0.8035	0.758	0.719	0.7152	0.6867	0.7756	0.7573	0.7901	0.7594	0.7469	0.7562	0.7429	0.8133	0.8823	0.8544	0.7127	0.853	0.8443	0.8956	0.6756	0.8406	0.8699	0.781	0.8269	0.8746	0.7225	0.6933	0.7578	0.7193	0.5367	0.7387	0.7567	0.731	0.6247	0.699	0.7	0.3327	0.4807	0.6084	0.6219	0.4615	0.438
chr12_58010000_58020000	0.8029	0.829	0.8224	0.858	0.8062	0.7314	0.7332	0.6133	0.7978	0.8088	0.8208	0.817	0.8023	0.7419	0.7482	0.8657	0.9064	0.8218	0.7213	0.7977	0.7921	0.8087	0.6386	0.7528	0.8205	0.7208	0.8177	0.8382	0.688	0.6388	0.7913	0.7245	0.5429	0.7157	0.7654	0.7667	0.6576	0.631	0.6446	0.2636	0.4591	0.546	0.5937	0.4123	0.3321
chr12_58020000_58030000	0.7065	0.7701	0.7044	0.7539	0.678	0.7834	0.744	0.7001	0.833	0.7513	0.7999	0.7896	0.7605	0.7577	0.672	0.7717	0.7407	0.7477	0.7216	0.8029	0.7676	0.7903	0.5807	0.7294	0.7747	0.7438	0.8391	0.7442	0.6575	0.6624	0.715	0.6688	0.5383	0.72	0.7979	0.6846	0.6444	0.678	0.6773	0.3426	0.532	0.6274	0.5933	0.5291	0.4289
chr12_58030000_58040000	0.7677	0.7264	0.7219	0.7142	0.6923	0.7423	0.7385	0.7095	0.7826	0.7425	0.7931	0.8158	0.8126	0.7358	0.7128	0.7357	0.87	0.8732	0.7264	0.7962	0.7813	0.8312	0.5951	0.7122	0.7688	0.7634	0.8164	0.7616	0.6861	0.698	0.7267	0.7247	0.539	0.7695	0.796	0.6698	0.6458	0.641	0.6855	0.2967	0.5484	0.5954	0.6103	0.5184	0.4369
chr12_58040000_58050000	0.7185	0.6916	0.7069	0.7495	0.6557	0.6205	0.6365	0.5894	0.7321	0.7288	0.6512	0.7416	0.7179	0.6661	0.6526	0.7907	0.8018	0.794	0.6295	0.7726	0.7343	0.7102	0.5527	0.6605	0.7733	0.7049	0.7562	0.8127	0.6174	0.5423	0.6889	0.6113	0.4722	0.6237	0.6167	0.5859	0.5219	0.5891	0.5164	0.2356	0.4135	0.4733	0.5105	0.3425	0.2645
chr12_58050000_58060000	0.8541	0.8138	0.7916	0.8468	0.7939	0.7362	0.7122	0.6882	0.8364	0.7918	0.8338	0.8466	0.847	0.777	0.7438	0.8748	0.7998	0.7461	0.6789	0.7971	0.8024	0.8539	0.5855	0.6472	0.8154	0.6953	0.8257	0.8226	0.6597	0.6687	0.7718	0.7098	0.5855	0.7378	0.8212	0.5937	0.6897	0.6921	0.6437	0.3463	0.4824	0.7231	0.7264	0.4971	0.4492
