PeakID (cmd=annotatePeaks.pl hyperDMR//specific_hyper_EAC_Tumor.bed hg38 -cpu 4)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
103	chr16	86507739	86509201	+	0	NA	intron (NR_036444, intron 1 of 3)	CpG	390	NR_036444	400550	Hs.448825	NR_033925	ENSG00000268388	FENDRR	FOXF1-AS1|FOXF1AS1|TCONS_00024240|lincFOXF1|onco-lncRNA-21	FOXF1 adjacent non-coding developmental regulatory RNA	ncRNA
62	chr8	66432264	66433075	+	0	NA	intron (NM_144650, intron 1 of 13)	CpG	165	NM_144650	137872	Hs.720023	NM_144650	ENSG00000147576	ADHFE1	ADH8|HMFT2263|HOT	alcohol dehydrogenase iron containing 1	protein-coding
4	chr1	207871430	207871738	+	0	NA	Intergenic	Intergenic	39541	NM_001025109	947	Hs.374990	NM_001773	ENSG00000174059	CD34	-	CD34 molecule	protein-coding
115	chr19	6103028	6103831	+	0	NA	intron (NM_000635, intron 1 of 17)	intron (NM_000635, intron 1 of 17)	7071	NM_134433	5990	Hs.465709	NM_000635	ENSG00000087903	RFX2	-	regulatory factor X2	protein-coding
14	chr1	39850199	39851700	+	0	NA	intron (NR_132410, intron 1 of 6)	intron (NR_132410, intron 1 of 6)	32555	NM_017646	54802	Hs.356554	NM_017646	ENSG00000043514	TRIT1	COXPD35|GRO1|IPPT|IPT|IPTase|MOD5|hGRO1	tRNA isopentenyltransferase 1	protein-coding
6	chr1	91745426	91746218	+	0	NA	intron (NR_036634, intron 5 of 17)	intron (NR_036634, intron 5 of 17)	140329	NR_036634	7049	Hs.482390	NM_003243	ENSG00000069702	TGFBR3	BGCAN|betaglycan	transforming growth factor beta receptor 3	protein-coding
36	chr3	65901353	65902398	+	0	NA	intron (NR_046575, intron 1 of 2)	intron (NR_046575, intron 1 of 2)	8059	NR_046575	100873983	Hs.663889	NR_046575	ENSG00000240175	MAGI1-AS1	-	MAGI1 antisense RNA 1	ncRNA
99	chr15	98760284	98761049	+	0	NA	intron (NM_000875, intron 2 of 20)	intron (NM_000875, intron 2 of 20)	-23760	NR_039864	100616432		NR_039864	ENSG00000264480	MIR4714	-	microRNA 4714	ncRNA
80	chr11	20097631	20098311	+	0	NA	intron (NM_182964, intron 31 of 37)	intron (NM_182964, intron 31 of 37)	-48668	NR_046672	100874014	Hs.557916	NR_046672	ENSG00000254453	NAV2-AS2	-	NAV2 antisense RNA 2	ncRNA
42	chr5	143205402	143206741	+	0	NA	intron (NM_001349547, intron 20 of 21)	intron (NM_001349547, intron 20 of 21)	13571	NR_046816	100874372	Hs.666717	NR_046816	ENSG00000230789	ARHGAP26-IT1	-	ARHGAP26 intronic transcript 1	ncRNA
