region	chr	start	end	ESCC_1	ESCC_2	ESCC_3	ESCC_4	ESCC_5	ESCC_6	ESCC_7	ESCC_8	ESCC_9	ESCC_10	ESCC_11	ESCC_12	ESCC_13	ESCC_14	ESCC_15	ESCC_16	ESCC_17	ESCC_19	ESCC_20	ESCC_21	ESCC_22	ESCC_Nonmalignant_1	ESCC_Nonmalignant_2	ESCC_Nonmalignant_3	ESCC_Nonmalignant_53F	ESCC_Nonmalignant_54M	EAC_1	EAC_2	EAC_3	EAC_4	EAC_6	GEJ_1	GEJ_2	GEJ_3	GEJ_4	GEJ_5	GEJ_6	GEJ_7	GEJ_Nonmalignant_1	GEJ_Nonmalignant_2	GEJ_Nonmalignant_3	GEJ_Nonmalignant_4	GEJ_Nonmalignant_5	GEJ_Nonmalignant_6	GEJ_Nonmalignant_7
chr3_170780000_170790000	chr3	170780000	170790000	0.8747	0.8052	0.5458	0.4935	0.7533	0.7298	0.6734	0.8284	0.5971	0.9039	0.8645	0.4797	0.5659	0.6432	0.8233	0.853	0.8582	0.5455	0.3795	0.55	0.522	0.8013	0.8417	0.7775	0.8262	0.84	0.3798	0.7642	0.594	0.7528	0.7034	0.7527	0.6052	0.7771	0.6683	0.5701	0.5502	0.6666	0.803	0.8401	0.7984	0.7954	0.7527	0.78	0.8169
chr3_170790000_170800000	chr3	170790000	170800000	0.8868	0.8252	0.6053	0.5342	0.8022	0.7742	0.7865	0.8349	0.681	0.9105	0.8987	0.5213	0.6122	0.6628	0.8621	0.877	0.8772	0.6655	0.3786	0.5856	0.5744	0.8359	0.8475	0.7628	0.8054	0.8297	0.4404	0.8444	0.5803	0.8528	0.7215	0.7898	0.7259	0.7745	0.7013	0.6778	0.5672	0.7292	0.8395	0.9072	0.811	0.8068	0.7752	0.8001	0.8424
chr3_170800000_170810000	chr3	170800000	170810000	0.8077	0.7862	0.6187	0.597	0.7679	0.7833	0.7107	0.76	0.7345	0.8172	0.8485	0.6057	0.7228	0.6778	0.8072	0.8276	0.8378	0.7179	0.5097	0.6052	0.6879	0.8226	0.815	0.7519	0.7953	0.783	0.5657	0.8097	0.701	0.832	0.7511	0.809	0.8113	0.7695	0.7552	0.6871	0.6178	0.742	0.7972	0.7751	0.7982	0.8052	0.8068	0.8023	0.8213
chr3_170810000_170820000	chr3	170810000	170820000	0.6825	0.6761	0.5459	0.5512	0.66	0.6416	0.6173	0.6997	0.5781	0.6985	0.743	0.5209	0.5577	0.6146	0.6465	0.7163	0.6643	0.678	0.4623	0.5717	0.541	0.706	0.6829	0.6634	0.7288	0.6873	0.5158	0.6172	0.6207	0.7564	0.7053	0.7409	0.6438	0.7376	0.7287	0.525	0.6889	0.7227	0.7343	0.8055	0.734	0.7186	0.7065	0.7219	0.7452
chr3_170820000_170830000	chr3	170820000	170830000	0.8332	0.7982	0.5053	0.6552	0.779	0.719	0.7225	0.7814	0.6338	0.8351	0.8316	0.691	0.6408	0.7229	0.7467	0.641	0.693	0.7564	0.4583	0.62	0.5888	0.8313	0.8217	0.7826	0.8156	0.8026	0.5277	0.805	0.6547	0.8325	0.7463	0.788	0.7219	0.7582	0.8017	0.7129	0.6724	0.7495	0.8517	0.8472	0.8033	0.8075	0.8089	0.7909	0.8283
chr3_170830000_170840000	chr3	170830000	170840000	0.7735	0.7788	0.4733	0.5739	0.5909	0.6538	0.7485	0.692	0.5448	0.628	0.7839	0.6386	0.641	0.5671	0.664	0.543	0.6157	0.695	0.3663	0.4706	0.5573	0.8297	0.8104	0.724	0.764	0.7789	0.419	0.7573	0.5555	0.7947	0.6592	0.7429	0.6356	0.7084	0.7293	0.5895	0.5182	0.7008	0.7515	0.8036	0.7962	0.8086	0.7157	0.7343	0.8317
chr3_170840000_170850000	chr3	170840000	170850000	0.8328	0.8084	0.501	0.623	0.7381	0.7006	0.737	0.715	0.6774	0.7967	0.8402	0.6999	0.727	0.7243	0.7748	0.6821	0.6505	0.7606	0.4069	0.5276	0.5987	0.8274	0.8681	0.7307	0.8049	0.8106	0.5323	0.7834	0.6101	0.8185	0.7293	0.7217	0.6731	0.742	0.7589	0.6842	0.6553	0.696	0.7851	0.8018	0.7739	0.785	0.7358	0.7543	0.8204
chr3_170850000_170860000	chr3	170850000	170860000	0.7806	0.8119	0.5209	0.6674	0.779	0.7114	0.709	0.7464	0.6648	0.7775	0.8385	0.695	0.7464	0.7244	0.7731	0.6529	0.7812	0.8218	0.5166	0.5986	0.5618	0.833	0.801	0.793	0.7849	0.8019	0.7378	0.8153	0.7137	0.791	0.7244	0.7825	0.7683	0.7877	0.7724	0.6365	0.7622	0.7305	0.8173	0.7662	0.7479	0.7687	0.7495	0.7691	0.7916
chr3_170860000_170870000	chr3	170860000	170870000	0.9101	0.8619	0.6449	0.7329	0.8292	0.7592	0.7802	0.7836	0.7631	0.8627	0.8545	0.7658	0.8299	0.769	0.8146	0.7633	0.8271	0.8061	0.5809	0.6926	0.6706	0.8556	0.8773	0.8313	0.839	0.8443	0.7554	0.855	0.7548	0.8508	0.7297	0.8864	0.8654	0.8349	0.785	0.7723	0.6901	0.8528	0.8529	0.84	0.8601	0.8804	0.8426	0.7995	0.8965
chr3_170870000_170880000	chr3	170870000	170880000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
