region	mean
chr3:195119579-195120022	-0.40980699023199
chr5:1039196-1039900	-0.384158276643991
chr8:10482347-10482907	-0.35692648904006
chr1:161472538-161472769	-0.353017145949289
chr8:55871609-55872040	-0.33875850340136
chr3:196675311-196675811	-0.328620745275574
chr1:3905788-3906164	-0.327226243386243
chr11:59531553-59531631	-0.319155555555556
chr18:3514408-3515208	-0.317599882339882
chr7:138105048-138105879	-0.313205236033808
chr19:20121011-20124452	-0.312697353489304
chr9:37118344-37118838	-0.308677973972198
chr2:118015331-118016192	-0.307984482580911
chr6:27440819-27441370	-0.307696020408163
chr14:87955497-87955918	-0.306992970521542
chr15:70868306-70868650	-0.305809523809524
chr21:38756425-38756992	-0.302747659767133
chr8:89900728-89901411	-0.299515541566744
chr1:40117431-40117854	-0.295401360544218
chr11:94573998-94574831	-0.294269160680589
chr8:140096794-140096931	-0.292214058956916
chr16:626885-626959	-0.291323809523809
chr2:149210537-149211300	-0.285061798941799
chr2:202035957-202037341	-0.279180963411005
chr6:105587154-105587847	-0.278191487877202
chr6:156980579-156980737	-0.275725283446712
chr8:142322682-142323154	-0.275709829439022
chr6:166730866-166731351	-0.27556120387549
chr13:47863428-47864180	-0.275029446657451
chr10:131992815-131993536	-0.27499893402337
chr1:107910836-107911172	-0.274770158730159
chr15:57025437-57025903	-0.274073015873016
chr16:47182154-47182827	-0.273119425547997
chr2:239048213-239048986	-0.272820246099651
chr20:5518872-5521901	-0.272582445463034
chr3:170262013-170262898	-0.271402857142857
chr16:19363720-19364252	-0.268317513227513
chr1:40936484-40937306	-0.2678
chr3:187251913-187252670	-0.266511734693878
chr15:60494384-60494983	-0.265503492063492
chr7:106004812-106005814	-0.265406462585034
chr14:66547348-66547749	-0.263666666666667
chr3:183701489-183702215	-0.26353
chr9:120598904-120600126	-0.263168045001951
chr17:1129913-1131075	-0.262867181231467
chr1:164792467-164792859	-0.262662318422318
chr1:246433386-246433817	-0.26188455988456
chr19:20198098-20213290	-0.261040434033661
chr5:35231004-35231539	-0.260703357383357
chr9:106970341-106971086	-0.259762301587302
chr17:66779874-66780631	-0.259702628205128
chr3:175512682-175513374	-0.259284353741496
chr18:22731389-22732084	-0.257575
chr16:25023662-25023780	-0.256160317460317
chr17:51228261-51228822	-0.25582328042328
chr14:103014835-103015546	-0.255412461625676
chr19:16883398-16884126	-0.254905759637188
chr17:82931886-82932096	-0.254875555555556
chr3:197578413-197578827	-0.254597505668934
chr10:28054753-28055303	-0.254296765271765
