region	lessFDR	greatFDR	lessFDRType	greatFDRType
chr9:95064568-95065187	0.999999999308234	0.0793740817999442	0	0
chr20:43959211-43959726	0.999999999308234	0.000889103345397681	0	1
chr11:46942263-46942543	0.999999999308234	0.0923238741312146	0	0
chr14:60650479-60652076	0.999999999308234	0.0000250540312144319	0	1
chr7:27120901-27123265	0.999999999308234	0.00560398878160566	0	1
chr17:39704832-39705274	0.999999999308234	0.13904598801163	0	0
chr13:48527547-48528146	0.999999999308234	0.001020602389567	0	1
chr8:28364823-28366153	0.999999999308234	0.000889103345397681	0	1
chr1:168387095-168387724	0.999999999308234	0.000331525851053712	0	1
chr14:68172311-68173520	0.999999999308234	0.151029932486994	0	0
chr7:130939249-130940714	0.999999999308234	0.0103268208592673	0	1
chr2:113118127-113118961	0.999999999308234	0.0000250540312144319	0	1
chr2:176110216-176111598	0.999999999308234	0.0000250540312144319	0	1
chr3:71059498-71061521	0.999999999308234	0.0133778609576998	0	1
chr11:102312619-102313642	0.999999999308234	0.000889103345397681	0	1
chr20:11917273-11918559	0.999999999308234	0.0294816822277349	0	1
chr15:45064429-45064841	0.999999999308234	0.0468596580256168	0	1
chr1:226100173-226101337	0.999999999308234	0.000889103345397681	0	1
chr9:121743078-121744986	0.999999999308234	0.090426685162197	0	0
chr11:67268304-67270813	0.999999999308234	0.0020949214422886	0	1
chr17:75696436-75697703	0.999999999308234	0.0146913667876795	0	1
chr4:124429115-124430089	0.999999999308234	0.0000805192851251942	0	1
chr21:36701933-36702122	0.999999999308234	0.000273071423135676	0	1
chr17:56909599-56910639	0.999999999308234	0.0564662487152098	0	0
chr1:207825631-207827280	0.999999999308234	0.0693110211235714	0	0
chr8:122969519-122970396	0.999999999308234	0.0020949214422886	0	1
chr11:129141527-129142453	0.999999999308234	0.00000535011456066918	0	1
chr1:42938694-42940049	0.999999999308234	0.0106798261661024	0	1
chr21:36500816-36501466	0.999999999308234	0.0923238741312146	0	0
chr19:19488248-19489185	0.999999999308234	0.0528969512984481	0	0
chr12:51953320-51954461	0.999999999308234	0.0020949214422886	0	1
chr6:158631853-158632498	0.999999999308234	0.0104650972241024	0	1
chr17:50636085-50637266	0.999999999308234	0.000479709471302348	0	1
chr2:27765702-27766621	0.999999999308234	0.0398809570226044	0	1
chr2:43222750-43223968	0.999999999308234	0.000858210176338278	0	1
chr10:132113193-132113886	0.999999999308234	0.00939151724064942	0	1
chr4:110627448-110628441	0.999999999308234	0.001020602389567	0	1
chr20:50110157-50111102	0.999999999308234	0.0770156205830373	0	0
chr10:103851363-103852064	0.999999999308234	0.0134607366561814	0	1
chr18:13381639-13382656	0.999999999308234	0.0215222597706725	0	1
chr17:66447927-66448630	0.999999999308234	0.0134607366561814	0	1
chr12:118370912-118371336	0.999999999308234	0.0103268208592673	0	1
chr1:207056024-207057046	0.999999999308234	0.0918091482291621	0	0
chr9:14308067-14309985	0.999999999308234	0.053689598332645	0	0
chr10:89204941-89205973	0.999999999308234	0.0384984261968459	0	1
chr13:29548293-29548898	0.999999999308234	0.0104650972241024	0	1
chr1:167754236-167755048	0.999999999308234	0.0780217681921123	0	0
chr6:31183612-31185196	0.999999999308234	0.106119492697488	0	0
chr4:38223786-38224584	0.999999999308234	0.0889594372535842	0	0
chr1:3461046-3461209	0.999999999308234	0.0923238741312146	0	0
chr11:48092880-48094338	0.999999999308234	0.0000873358228526834	0	1
chr17:19651393-19651771	0.999999999308234	0.0356418315726672	0	1
chr8:86355066-86355904	0.999999999308234	0.0215130815828856	0	1
chr12:53989650-53990780	0.999999999308234	0.000889103345397681	0	1
chr17:78734863-78735803	0.999999999308234	0.0793740817999442	0	0
chr20:22578177-22579252	0.999999999308234	0.00346223624058694	0	1
chr2:64650941-64651378	0.999999999308234	0.0901487443808874	0	0
chr10:29647705-29648967	0.999999999308234	0.00182933092715187	0	1
chr5:132475727-132476080	0.999999999308234	0.0627433983333253	0	0
chr2:105746375-105747078	0.999999999308234	0.00105334778251321	0	1
chr4:110630381-110631726	0.999999999308234	0.0238112637015893	0	1
chr7:139691009-139692013	0.999999999308234	0.0875019052806816	0	0
chr2:105426331-105427590	0.999999999308234	0.00344041742236137	0	1
chr2:54579237-54580279	0.999999999308234	0.0153374390622708	0	1
chr8:17337820-17338586	0.999999999308234	0.0477243950023933	0	1
chr4:110640018-110641222	0.999999999308234	0.000872858175138259	0	1
chr7:100802874-100804143	0.999999999308234	0.00242014485980818	0	1
chr6:125920282-125922782	0.999999999308234	0.0564662487152098	0	0
chr2:43483115-43483491	0.999999999308234	0.0276321150882177	0	1
chr3:188266058-188267089	0.999999999308234	0.00568112151220678	0	1
chr13:40088198-40088672	0.999999999308234	0.0463172276092176	0	1
chr3:186176319-186177111	0.999999999308234	0.0568223564370854	0	0
chr1:200437548-200438085	0.999999999308234	0.175082804293711	0	0
chr7:98282814-98283567	0.999999999308234	0.0103268208592673	0	1
chr18:22838754-22840279	0.999999999308234	0.00242453845166016	0	1
chr3:52316839-52317583	0.999999999308234	0.00139108675802099	0	1
chr17:48579842-48580895	0.999999999308234	0.015239620956257	0	1
chr9:113302789-113303321	0.999999999308234	0.0218669830669409	0	1
chr10:29725134-29725665	0.999999999308234	0.00806491067791448	0	1
chr3:134353134-134354314	0.999999999308234	0.18627633998494	0	0
chr11:13012000-13013055	0.999999999308234	0.0294816822277349	0	1
chr2:172088547-172089229	0.999999999308234	0.256133844501672	0	0
chr21:15659226-15660880	0.999999999308234	0.0231676497650169	0	1
chr14:73753373-73754836	0.999999999308234	0.0484195089432937	0	1
chr8:126926901-126927773	0.999999999308234	0.00065863680189144	0	1
