region	ESCC_1	ESCC_2	ESCC_3	ESCC_4	ESCC_5	ESCC_6	ESCC_7	ESCC_8	ESCC_9	ESCC_10	ESCC_11	ESCC_12	ESCC_13	ESCC_14	ESCC_15	ESCC_16	ESCC_17	ESCC_19	ESCC_20	ESCC_21	ESCC_22	ESCC_Nonmalignant_1	ESCC_Nonmalignant_2	ESCC_Nonmalignant_3	ESCC_Nonmalignant_54M	ESCC_Nonmalignant_53F	EAC_1	EAC_2	EAC_3	EAC_4	EAC_6	GEJ_1	GEJ_2	GEJ_3	GEJ_4	GEJ_5	GEJ_6	GEJ_7	GEJ_Nonmalignant_1	GEJ_Nonmalignant_2	GEJ_Nonmalignant_3	GEJ_Nonmalignant_4	GEJ_Nonmalignant_5	GEJ_Nonmalignant_6	GEJ_Nonmalignant_7
chr3:195119579-195120022	0.0849230769230769	0.406769230769231	0.387923076923077	0.35925	0.271769230769231	0.758846153846154	0.496307692307692	0.305769230769231	0.440846153846154	0.619461538461539	0.317923076923077	0.0797692307692308	0.212307692307692	0.416538461538462	0.275230769230769	0.250692307692308	0.398	0.135083333333333	0.134583333333333	0.214	0.0956923076923077	0.718625	0.94	0.671692307692308	0.625333333333333	0.6795	0.701166666666667	0.884454545454545	0.689923076923077	0.497615384615385	0.592615384615385	0.941	0.774	0.842230769230769	0.525076923076923	0.700083333333333	0.623	0.729384615384615	0.975636363636364	0.9	0.944333333333333	0.866666666666667	0.862375	0.885	0.9206
chr5:1039196-1039900	0.252333333333333	0.76025	0.642	0.7475625	0.3235	0.829666666666667	0.799875	0.5794375	0.60125	0.760933333333333	0.5925	0.322	0.2578125	0.726357142857143	0.4581875	0.800666666666667	0.38775	0.0202857142857143	0	0.637	0.0265333333333333	0.771	0.9375	0.913333333333333	0.898125	0.907	0.916090909090909	0.971545454545454	0.829727272727273	0.91475	0.7880625	0.8396	0.898375	0.9095	0.8859375	0.9501875	0.9453125	0.959230769230769	0.966666666666667	0.927454545454545	0	0.9	0.7	0.95	0
chr8:10482347-10482907	0.7102	0.716	0.5329	0.4496	0.5428	0.6156	0.4628	0.5155	0.2788	0.542444444444444	0.5395	0.2259	0.4372	0.667222222222222	0.4896	0.2241	0.6123	0.2109	0.188714285714286	0.312111111111111	0.327	0.873875	0.8496	0.6453	0.8243	0.877555555555556	0.593714285714286	0.8046	0.6545	0.851714285714286	0.6558	0.87025	0.5221	0.752	0.749	0.4667	0.732222222222222	0.6883	0.826666666666667	0.888571428571429	0.9428	0	0.885666666666667	0.78275	0.836375
chr1:161472538-161472769	0.498428571428571	0.885	0.602666666666667	0.342214285714286	0.698357142857143	0.472714285714286	0.214714285714286	0.682166666666667	0.513928571428571	0.286142857142857	0.7385	0.118357142857143	0.329214285714286	0.632166666666667	0.508857142857143	0.273375	0.611666666666667	0.239636363636364	0.503	0.08	0.933333333333333	0.932	0.72	0.728857142857143	0.804333333333333	1	0.652142857142857	0.941545454545455	0.951636363636364	0.915555555555556	0.851714285714286	0.959230769230769	0.773928571428571	0.699375	0.592428571428571	0.860571428571429	0.876642857142857	0.699785714285714	1	0	0.4505	0.8675	0.866666666666667	0.842666666666667	0.856166666666667
chr8:55871609-55872040	0.279428571428571	0.607571428571429	0.537142857142857	0.417	0.798428571428571	0.472857142857143	0.757571428571429	0.735714285714286	0.513285714285714	0.882714285714286	0.751285714285714	0.312428571428571	0.352571428571429	0.527857142857143	0.886285714285714	0.605142857142857	0.872428571428571	0.315714285714286	0.1875	0.406142857142857	0.0858	0.889	0.936285714285714	0.845428571428571	0.857	0.857714285714286	0.939571428571429	0.877142857142857	0.8336	0.974	0.616	0.801333333333333	0.826	0.690857142857143	0.778285714285714	0.787285714285714	0.766	0.684571428571429	0.817	0.875285714285714	0.844	0.770142857142857	0.604666666666667	0.849833333333333	0.828857142857143
chr3:196675311-196675811	0.157652173913043	0.853304347826087	0.574304347826087	0.40995652173913	0.52	0.583739130434783	0.602478260869565	0.770739130434783	0.572739130434783	0.851173913043478	0.762086956521739	0.397869565217391	0.782826086956522	0.540333333333333	0.585086956521739	0.536333333333333	0.884157894736842	0.319739130434783	0.4925	0.591421052631579	0.701090909090909	0.955260869565217	0.8841	0.916571428571429	0.937869565217391	0.923	0.8034	0.889333333333333	0.932285714285714	0.910954545454545	0.932521739130435	0.9479	0.950478260869565	0.950826086956522	0.898695652173913	0.903826086956522	0.770739130434783	0.944826086956522	0.98315	1	0.950761904761905	0.9069375	0.928391304347826	0.958222222222222	0.985
chr1:3905788-3906164	0.296	0.8467	0.776777777777778	0.345777777777778	0.7636	0.4854	0.54725	0.6068	0.4704	0.6739	0.8156	0.4203	0.6717	0.7553	0.817625	0.503888888888889	0.933444444444444	0	0	0.7568	0.41075	0.931166666666667	0.9264	0.9211	0.830125	0.8602	0.9406	0.8449	0.7558	0.9322	0.8036	0.8072	0.963888888888889	0.8028	0.7812	0.9333	0.747142857142857	0.7775	1	1	0.89	0.9	0.746666666666667	0.915	0.93
chr11:59531553-59531631	0.393833333333333	0.771333333333333	0.682166666666667	0.826333333333333	0.635333333333333	0.772666666666667	0.683666666666667	0.7685	0.527	0.921833333333333	0.764666666666667	0.4565	0.516833333333333	0.908333333333333	0.372666666666667	0.4505	0	0	0	0.602666666666667	0.4065	0.909166666666667	0.958	0.682833333333333	0.8535	0.921166666666667	0.838666666666667	1	0.948666666666667	1	0.922333333333333	0.935833333333333	0.957333333333333	0.967666666666667	0.918833333333333	0.937666666666667	0.826333333333333	0.916333333333333	1	0.975666666666667	0.96	0.921666666666667	0.881833333333333	0.919166666666667	0.924333333333333
chr18:3514408-3515208	0.089	0.650461538461538	0.595615384615385	0.445461538461538	0.584692307692308	0.601230769230769	0.358076923076923	0.326230769230769	0.195461538461538	0.794846153846154	0.5815	0.422	0.448307692307692	0.664615384615385	0.282615384615385	0.171692307692308	0.774076923076923	0.543230769230769	0.500166666666667	0.391692307692308	0.143923076923077	0.928461538461538	0.7213	0.605461538461538	0.820769230769231	0.789363636363636	0.647230769230769	0.832153846153846	0.701	0.951666666666667	0.700384615384615	0.908692307692308	0.870230769230769	0.794153846153846	0.889	0.600846153846154	0.675846153846154	0.821307692307692	0.951769230769231	0.919	0.940714285714286	0.921461538461538	0.877	0.898692307692308	0.896615384615385
chr7:138105048-138105879	0.508083333333333	0.794636363636364	0.486545454545455	0.485333333333333	0.698833333333333	0.595083333333333	0.471666666666667	0.7885	0.344333333333333	0.92775	0.654083333333333	0.394916666666667	0.521333333333333	0.625	0.583545454545455	0.3588	0.71425	0.135714285714286	0.18975	0.588909090909091	0.244272727272727	0.849545454545455	0.872454545454545	0.811916666666667	0.880583333333333	0.797083333333333	0.883636363636364	0.928555555555556	0.78525	0.933166666666667	0.794583333333333	0.953833333333333	0.855916666666667	0.876181818181818	0.888333333333333	0.65125	0.684916666666667	0.825166666666667	0.932111111111111	0.964777777777778	0.884	0.895818181818182	0.873083333333333	0.920666666666667	0.89525
