chrom	start	end	Methylation	NNscore	cor
chr16	26240106	26240106	0.131579	0.942708909511566	-0.647433341987466
chr16	26240155	26240155	0.512821	0.199500441551208	-0.646726149527964
chr16	26240178	26240178	0.948718	0.0547274112701416	-0.64613330106929
chr16	26240287	26240287	0.465116	0.0361288368701935	-0.647274815465414
chr16	26240353	26240353	0.875	0.0477553904056549	-0.648227700017583
chr16	26240928	26240928	0.235294	0.472022837400436	-0.654900080706044
chr16	26241071	26241071	0.24	0.972238826751709	-0.655188678824427
chr16	26241239	26241239	0.651163	0.803490340709686	-0.657987219416798
chr16	26241355	26241355	0.837838	0.101811796426773	-0.664895631171449
chr16	26241365	26241365	0.861111	0.0276426792144775	-0.671271440796943
chr16	26241483	26241483	0.548387	0.555115604400635	-0.671232630120978
chr16	26241538	26241538	0.258065	0.674556410312653	-0.673448642937806
chr16	26241720	26241720	0.722222	0.080304616689682	-0.67478191744511
chr16	26241819	26241819	0.416667	0.279884988069534	-0.675101131134829
chr16	26241829	26241829	0.268293	0.230337059497833	-0.671223902809651
chr16	26241954	26241954	0.1	0.553287696838379	-0.666211118216028
chr16	26242270	26242270	0.071429	0.587336206436157	-0.665077436665856
chr16	26242616	26242616	0.827586	0.0624936401844025	-0.665504512536533
chr16	26242810	26242810	0.586207	0.167482650279999	-0.664156736547653
chr16	26243260	26243260	0.833333	0.178729021549225	-0.671378333151069
chr16	26243294	26243294	0.038462	0.554013323783874	-0.672948858717316
chr16	26243389	26243389	0.761905	0.137722539901733	-0.674810804372203
chr16	26243854	26243854	0.27027	0.377361673116684	-0.674821365014272
chr16	26244024	26244024	0.428571	0.208936786651611	-0.68000219130738
chr16	26244369	26244369	0.034483	0.978533041477203	-0.68264864150121
chr16	26244650	26244650	0.04	0.987628054618835	-0.683649066370802
chr16	26244795	26244795	0.88	0.0610177338123322	-0.685796077964243
chr16	26244870	26244870	0.130435	0.429587721824646	-0.684349492730535
chr16	26245063	26245063	0.096774	0.988197600841522	-0.684821546247331
chr16	26245146	26245146	0.368421	0.676219952106476	-0.691491075328088
chr16	26245206	26245206	0.15625	0.946902441978455	-0.702001554951631
chr16	26246118	26246118	0.08	0.951624643802643	-0.715066073834661
chr16	26246138	26246138	0.090909	0.656596982479095	-0.722390344826887
chr16	26246222	26246222	0.263158	0.770175051689148	-0.721516640662354
chr16	26246456	26246456	0.909091	0.141822111606598	-0.720141008044353
chr16	26246709	26246709	0.16129	0.963689172267914	-0.719935984584677
chr16	26246960	26246960	0.117647	0.783021354675293	-0.719688433012055
chr16	26247266	26247266	0.060606	0.99714765548706	-0.72102787962789
chr16	26247737	26247737	0.518519	0.289064913988113	-0.716855916452823
chr16	26247863	26247863	0.086957	0.785918259620667	-0.715223979339916
chr16	26248163	26248163	0.157895	0.94779908657074	-0.713853278599193
chr16	26248210	26248210	0.391304	0.510734152793884	-0.713186579114558
chr16	26248396	26248396	0.129032	0.924308562278748	-0.712607533937699
chr16	26248691	26248691	0.71875	0.206720781326294	-0.709968303445336
chr16	26248888	26248888	0.5	0.0598913252353668	-0.709692447073582
chr16	26248921	26248921	0.034483	0.987231755256653	-0.709026924058095
chr16	26249036	26249036	0.2	0.978490388393402	-0.714342533392297
chr16	26249194	26249194	0.772727	0.786505913734436	-0.711027729505163
chr16	26249522	26249522	0.761905	0.313628602027893	-0.711762117381555
chr16	26249525	26249525	0.869565	0.152197885513306	-0.71160548859946
chr16	26249601	26249601	0.076923	0.809228503704071	-0.725774991614294
chr16	26249713	26249713	0.461538	0.605325734615326	-0.725517490434892
chr16	26249920	26249920	0.107143	0.894544565677643	-0.724382104707012
chr16	26250086	26250086	0.294118	0.0780034184455872	-0.723820325662183
chr16	26250335	26250335	0.179487	0.0562976539134979	-0.723740431701199
chr16	26250767	26250767	0.108108	0.982351875305176	-0.725873389336362
chr16	26250915	26250915	0.266667	0.862453472614288	-0.723577028203033
chr16	26250968	26250968	0.133333	0.118689161539078	-0.717791215439787
chr16	26251039	26251039	0.757576	0.293460589647293	-0.718750952564418
chr16	26251198	26251198	0.833333	0.127363204956055	-0.725401534348774
chr16	26251298	26251298	0.166667	0.86138778924942	-0.727608895993727
chr16	26251418	26251418	0.914286	0.177205449342728	-0.729232315719111
chr16	26251424	26251424	0.848485	0.503567254543304	-0.729837681322869
chr16	26252473	26252473	0.407407	0.0548357427120209	-0.725355920015092
chr16	26252848	26252848	0.714286	0.66469920873642	-0.727567069768426
chr16	26252884	26252884	0.916667	0.0523309528827667	-0.728276969344648
chr16	26253359	26253359	0.206897	0.371012502908707	-0.728463403295055
chr16	26253519	26253519	0.055556	0.996865904331207	-0.733302767554081
chr16	26253982	26253982	0.833333	0.142143082618713	-0.737676036462144
chr16	26253985	26253985	0.827586	0.242602741718292	-0.735765527581715
chr16	26254237	26254237	0.689655	0.28539913892746	-0.740871399315569
chr16	26254535	26254535	0.090909	0.957902908325195	-0.728580482130103
chr16	26254748	26254748	0.285714	0.722487318515778	-0.737978145569275
chr16	26255035	26255035	0.08	0.971425700187683	-0.739171586448868
chr16	26255900	26255900	0.03125	0.984921360015869	-0.737631116821554
chr16	26256351	26256351	0.125	0.743801355361938	-0.7462500808255
chr16	26256847	26256847	0.92	0.832990801334381	-0.748743026062972
chr16	26257070	26257070	0.259259	0.841880464553833	-0.748436102813188
chr16	26257193	26257193	0.032258	0.956468772888184	-0.745804677226522
chr16	26257460	26257460	0.121212	0.9214728474617	-0.745678607587024
chr16	26257496	26257496	0.964286	0.0262534379959106	-0.747316978213724
chr16	26257750	26257750	0.68	0.957962584495544	-0.748220980123471
chr16	26258049	26258049	0	0.971142220497131	-0.743722197466621
chr16	26258096	26258096	0.05	0.876219809055328	-0.74460824161333
chr16	26258145	26258145	0.282051	0.743479061126709	-0.743916138609229
chr16	26258384	26258384	0.025	0.877725946903229	-0.743347979222856
chr16	26258926	26258926	0.73913	0.540129590034485	-0.746041271525372
chr16	26259014	26259014	0.625	0.116525799036026	-0.746495501292867
chr16	26259028	26259028	0.62069	0.489216941595078	-0.747373780486474
chr16	26259435	26259435	0.485714	0.54515386223793	-0.747252599699294
chr16	26259616	26259616	0.151515	0.198622101545334	-0.748976768142504
chr16	26259912	26259912	0	0.0772762835025787	-0.75099824310427
chr16	26260263	26260263	0.155556	0.58994562625885	-0.748790673842053
chr16	26260282	26260282	0.934783	0.002294921875	-0.748543542364118
chr16	26260348	26260348	0.694444	0.346506142616272	-0.754054571730939
chr16	26260458	26260458	0.166667	0.896036887168884	-0.757288420262994
chr16	26260847	26260847	0	0.903886556625366	-0.756125349341984
chr16	26260937	26260937	0.533333	0.0192023754119873	-0.756696110564742
chr16	26260960	26260960	0.104167	0.775932538509369	-0.750913980333665
chr16	26260993	26260993	0	0.997754848003387	-0.751017033211174
chr16	26261150	26261150	0.482759	0.267441564798355	-0.744258625330682
chr16	26261307	26261307	0	0.8265669465065	-0.74126637112042
chr16	26261352	26261352	0.666667	0.146336150169373	-0.742725334293904
chr16	26261438	26261438	0.076923	0.846361315250397	-0.740339399590624
chr16	26261518	26261518	0.863636	0.337041372060776	-0.741230254018837
chr16	26261735	26261735	0.027027	0.919459843635559	-0.738060267115775
chr16	26261837	26261837	0.071429	0.973326230049133	-0.740997317065972
chr16	26261867	26261867	0.645161	0.130574887990952	-0.733817578202152
chr16	26262274	26262274	0.566667	0.317915451526642	-0.738839607772883
chr16	26262478	26262478	0.75	0.0130026400089264	-0.738427201694546
chr16	26262512	26262512	0.84375	0.104416733980179	-0.737745433090454
chr16	26262517	26262517	0.833333	0.00352441668510437	-0.736959545773582
chr16	26262664	26262664	0.851852	0.133277785778046	-0.734072505375952
chr16	26262893	26262893	0.133333	0.980098187923431	-0.734133628020258
chr16	26263082	26263082	0.159091	0.189935082197189	-0.736559175273973
chr16	26263153	26263153	0.378378	0.207129645347595	-0.73952578168172
chr16	26263312	26263312	0.022727	0.961482214927673	-0.74336417258415
chr16	26263921	26263921	0.852941	0.0842345535755157	-0.746587338353007
chr16	26264233	26264233	0.204545	0.887107348442078	-0.742366313115717
chr16	26264286	26264286	0.481481	0.571876978874207	-0.743029600050059
chr16	26264411	26264411	0	0.993617403507233	-0.739262243259221
chr16	26264718	26264718	0.625	0.750120043754578	-0.742877753673388
chr16	26264800	26264800	0.586207	0.323825621604919	-0.742465294717866
chr16	26264874	26264874	0.944444	0.00741038918495178	-0.744430697628368
chr16	26264885	26264885	0.609756	0.507218027114868	-0.745372743328353
chr16	26265083	26265083	0.222222	0.97964301109314	-0.744609605760825
chr16	26265203	26265203	0	0.879712545871735	-0.743100356124579
chr16	26265244	26265244	0.590909	0.342409837245941	-0.741922240536705
chr16	26265340	26265340	0	0.96448323726654	-0.7459984781703
chr16	26265477	26265477	0.484848	0.742458701133728	-0.740946790106087
chr16	26265565	26265565	0.1	0.925537979602814	-0.738965254912198
chr16	26265592	26265592	0.965517	0.00716063976287842	-0.737984045040721
chr16	26265601	26265601	0.935484	0.00987323522567749	-0.738952549450348
chr16	26265683	26265683	0.793103	0.139652913808823	-0.738568148939952
chr16	26266151	26266151	0.0625	0.85254533290863	-0.74090060829156
