Sample	width
hypoEAC_DMRs	902
hypoEAC_DMRs	1034
hypoEAC_DMRs	2683
hypoEAC_DMRs	1044
hypoEAC_DMRs	2087
hypoEAC_DMRs	1066
hypoEAC_DMRs	3970
hypoEAC_DMRs	4658
hypoEAC_DMRs	1406
hypoEAC_DMRs	10000
hypoEAC_DMRs	2966
hypoEAC_DMRs	1407
hypoEAC_DMRs	2596
hypoEAC_DMRs	789
hypoEAC_DMRs	1328
hypoEAC_DMRs	1219
hypoEAC_DMRs	736
hypoEAC_DMRs	1441
hypoEAC_DMRs	1217
hypoEAC_DMRs	1656
hypoEAC_DMRs	1930
hypoEAC_DMRs	1111
hypoEAC_DMRs	1026
hypoEAC_DMRs	3310
hypoEAC_DMRs	789
hypoEAC_DMRs	2450
hypoEAC_DMRs	981
hypoEAC_DMRs	874
hypoEAC_DMRs	692
hypoEAC_DMRs	1833
hypoEAC_DMRs	1284
hypoEAC_DMRs	1569
hypoEAC_DMRs	1827
hypoEAC_DMRs	1098
hypoEAC_DMRs	1363
hypoEAC_DMRs	1020
hypoEAC_DMRs	3300
hypoEAC_DMRs	1343
hypoEAC_DMRs	1234
hypoEAC_DMRs	783
hypoEAC_DMRs	1020
hypoEAC_DMRs	524
hypoEAC_DMRs	2186
hypoEAC_DMRs	4978
hypoEAC_DMRs	475
hypoEAC_DMRs	4646
hypoEAC_DMRs	1692
hypoEAC_DMRs	619
hypoEAC_DMRs	1104
hypoEAC_DMRs	1353
hypoEAC_DMRs	881
hypoEAC_DMRs	1541
hypoEAC_DMRs	844
hypoEAC_DMRs	2514
hypoEAC_DMRs	1722
hypoEAC_DMRs	1854
hypoEAC_DMRs	508
hypoEAC_DMRs	829
hypoEAC_DMRs	548
hypoEAC_DMRs	1703
hypoEAC_DMRs	1579
hypoEAC_DMRs	1692
hypoEAC_DMRs	1435
hypoEAC_DMRs	1912
hypoEAC_DMRs	1184
hypoEAC_DMRs	2348
hypoEAC_DMRs	1290
hypoEAC_DMRs	1357
hypoEAC_DMRs	4512
hypoEAC_DMRs	345
hypoEAC_DMRs	1591
hypoEAC_DMRs	1186
hypoEAC_DMRs	1207
hypoEAC_DMRs	1708
hypoEAC_DMRs	1306
hypoEAC_DMRs	1535
hypoEAC_DMRs	3329
hypoEAC_DMRs	1461
hypoEAC_DMRs	2345
hypoEAC_DMRs	900
hypoEAC_DMRs	1796
hypoEAC_DMRs	1411
hypoEAC_DMRs	1680
hypoEAC_DMRs	2729
hypoEAC_DMRs	4202
hypoEAC_DMRs	1688
hypoEAC_DMRs	986
hypoEAC_DMRs	1025
hypoEAC_DMRs	1584
hypoEAC_DMRs	1442
hypoEAC_DMRs	547
hypoEAC_DMRs	1914
hypoEAC_DMRs	1047
hypoEAC_DMRs	478
hypoEAC_DMRs	4136
hypoEAC_DMRs	1112
hypoEAC_DMRs	1647
hypoEAC_DMRs	900
hypoEAC_DMRs	6248
hypoEAC_DMRs	954
hypoEAC_DMRs	1081
hypoEAC_DMRs	1593
hypoEAC_DMRs	1451
hypoEAC_DMRs	1096
hypoEAC_DMRs	1460
hypoEAC_DMRs	2104
hypoEAC_DMRs	1917
hypoEAC_DMRs	132
hypoEAC_DMRs	1699
hypoEAC_DMRs	2110
hypoEAC_DMRs	2750
hypoEAC_DMRs	2118
hypoEAC_DMRs	1308
hypoEAC_DMRs	1111
hypoEAC_DMRs	741
hypoEAC_DMRs	2101
hypoEAC_DMRs	1649
hypoEAC_DMRs	1826
hypoEAC_DMRs	1245
hypoEAC_DMRs	1506
hypoEAC_DMRs	1383
hypoEAC_DMRs	848
hypoEAC_DMRs	759
hypoEAC_DMRs	924
hypoEAC_DMRs	1275
hypoEAC_DMRs	876
hypoEAC_DMRs	891
hypoEAC_DMRs	989
hypoEAC_DMRs	1408
hypoEAC_DMRs	1452
hypoEAC_DMRs	858
hypoEAC_DMRs	695
hypoEAC_DMRs	1148
hypoEAC_DMRs	1125
hypoEAC_DMRs	2002
hypoEAC_DMRs	2000
hypoEAC_DMRs	1148
hypoEAC_DMRs	629
hypoEAC_DMRs	1293
hypoEAC_DMRs	1433
hypoEAC_DMRs	1203
hypoEAC_DMRs	534
hypoEAC_DMRs	1200
hypoEAC_DMRs	1595
hypoEAC_DMRs	832
hypoEAC_DMRs	1366
hypoEAC_DMRs	2620
hypoEAC_DMRs	1281
hypoEAC_DMRs	1017
hypoEAC_DMRs	954
hypoEAC_DMRs	1331
hypoEAC_DMRs	732
hypoEAC_DMRs	1248
hypoEAC_DMRs	1274
hypoEAC_DMRs	1320
hypoEAC_DMRs	2166
hypoEAC_DMRs	897
hypoEAC_DMRs	899
hypoEAC_DMRs	1248
hypoEAC_DMRs	2260
hypoEAC_DMRs	2134
hypoEAC_DMRs	896
hypoEAC_DMRs	546
hypoEAC_DMRs	1913
hypoEAC_DMRs	1284
hypoEAC_DMRs	1479
hypoEAC_DMRs	1096
hypoEAC_DMRs	1462
hypoEAC_DMRs	2108
hypoEAC_DMRs	1055
hypoEAC_DMRs	947
hypoEAC_DMRs	332
hypoEAC_DMRs	640
hypoEAC_DMRs	677
hypoEAC_DMRs	802
hypoEAC_DMRs	1929
hypoEAC_DMRs	1299
hypoEAC_DMRs	1854
hypoEAC_DMRs	1004
hypoEAC_DMRs	902
hypoEAC_DMRs	1235
hypoEAC_DMRs	592
hypoEAC_DMRs	632
hypoEAC_DMRs	931
hypoEAC_DMRs	1608
hypoEAC_DMRs	1372
hypoEAC_DMRs	964
hypoEAC_DMRs	934
hypoEAC_DMRs	694
hypoEAC_DMRs	2139
hypoEAC_DMRs	859
hypoEAC_DMRs	1176
hypoEAC_DMRs	1606
hypoEAC_DMRs	802
hypoEAC_DMRs	1360
hypoEAC_DMRs	1027
hypoEAC_DMRs	738
hypoEAC_DMRs	1497
hypoEAC_DMRs	1001
hypoEAC_DMRs	662
hypoEAC_DMRs	652
hypoEAC_DMRs	1521
hypoEAC_DMRs	1757
hypoEAC_DMRs	1722
hypoEAC_DMRs	1641
hypoEAC_DMRs	779
hypoEAC_DMRs	734
hypoEAC_DMRs	1834
hypoEAC_DMRs	574
hypoEAC_DMRs	1148
hypoEAC_DMRs	647
hypoEAC_DMRs	1777
hypoEAC_DMRs	789
hypoEAC_DMRs	1125
hypoEAC_DMRs	723
hypoEAC_DMRs	1033
hypoEAC_DMRs	740
hypoEAC_DMRs	677
hypoEAC_DMRs	1567
hypoEAC_DMRs	662
hypoEAC_DMRs	2080
hypoEAC_DMRs	1737
hypoEAC_DMRs	1310
hypoEAC_DMRs	1289
hypoEAC_DMRs	1842
hypoEAC_DMRs	1647
hypoEAC_DMRs	1421
hypoEAC_DMRs	643
hypoEAC_DMRs	840
hypoEAC_DMRs	751
hypoEAC_DMRs	1153
hypoEAC_DMRs	374
hypoEAC_DMRs	2197
hypoEAC_DMRs	907
hypoEAC_DMRs	1054
hypoEAC_DMRs	3571
hypoEAC_DMRs	727
hypoEAC_DMRs	1081
hypoEAC_DMRs	1955
hypoEAC_DMRs	1003
hypoEAC_DMRs	2251
hypoEAC_DMRs	735
hypoEAC_DMRs	426
hypoEAC_DMRs	1281
hypoEAC_DMRs	1389
hypoEAC_DMRs	2735
hypoEAC_DMRs	1102
hypoEAC_DMRs	2297
hypoEAC_DMRs	607
hypoEAC_DMRs	1313
hypoEAC_DMRs	432
hypoEAC_DMRs	694
hypoEAC_DMRs	870
hypoEAC_DMRs	240
hypoEAC_DMRs	1002
hypoEAC_DMRs	733
hypoEAC_DMRs	458
hypoEAC_DMRs	427
hypoEAC_DMRs	779
hypoEAC_DMRs	2076
hypoEAC_DMRs	391
hypoEAC_DMRs	1837
hypoEAC_DMRs	834
hypoEAC_DMRs	966
hypoEAC_DMRs	1107
hypoEAC_DMRs	702
hypoEAC_DMRs	543
hypoEAC_DMRs	860
hypoEAC_DMRs	753
hypoEAC_DMRs	1228
hypoEAC_DMRs	693
hypoEAC_DMRs	418
hypoEAC_DMRs	1022
hypoEAC_DMRs	843
hypoEAC_DMRs	1616
hypoEAC_DMRs	3543
hypoEAC_DMRs	859
hypoEAC_DMRs	1560
hypoEAC_DMRs	1377
hypoEAC_DMRs	1093
hypoEAC_DMRs	1236
hypoEAC_DMRs	489
hypoEAC_DMRs	2328
hypoEAC_DMRs	485
hypoEAC_DMRs	1242
hypoEAC_DMRs	939
hypoEAC_DMRs	1185
hypoEAC_DMRs	910
hypoEAC_DMRs	1707
hypoEAC_DMRs	1013
hypoEAC_DMRs	1884
hypoEAC_DMRs	727
hypoEAC_DMRs	1030
hypoEAC_DMRs	608
hypoEAC_DMRs	484
hypoEAC_DMRs	1075
hypoEAC_DMRs	844
hypoEAC_DMRs	1368
hypoEAC_DMRs	674
hypoEAC_DMRs	1732
hypoEAC_DMRs	1172
hypoEAC_DMRs	532
hypoEAC_DMRs	984
hypoEAC_DMRs	666
hypoEAC_DMRs	517
hypoEAC_DMRs	1305
hypoEAC_DMRs	518
hypoEAC_DMRs	1297
hypoEAC_DMRs	1167
hypoEAC_DMRs	1132
hypoEAC_DMRs	1075
hypoEAC_DMRs	1292
hypoEAC_DMRs	2064
hypoEAC_DMRs	862
hypoEAC_DMRs	868
hypoEAC_DMRs	530
hypoEAC_DMRs	931
hypoEAC_DMRs	820
hypoEAC_DMRs	1058
hypoEAC_DMRs	2137
hypoEAC_DMRs	694
hypoEAC_DMRs	875
hypoEAC_DMRs	756
hypoEAC_DMRs	812
hypoEAC_DMRs	1028
hypoEAC_DMRs	258
hypoEAC_DMRs	2707
hypoEAC_DMRs	538
hypoEAC_DMRs	3358
hypoEAC_DMRs	382
hypoEAC_DMRs	889
hypoEAC_DMRs	167
hypoEAC_DMRs	742
hypoEAC_DMRs	687
hypoEAC_DMRs	577
hypoEAC_DMRs	725
hypoEAC_DMRs	646
hypoEAC_DMRs	621
hypoEAC_DMRs	1108
hypoEAC_DMRs	643
hypoEAC_DMRs	2487
hypoEAC_DMRs	1158
hypoEAC_DMRs	467
hypoEAC_DMRs	1380
hypoEAC_DMRs	610
hypoEAC_DMRs	804
hypoEAC_DMRs	955
hypoEAC_DMRs	812
hypoEAC_DMRs	762
hypoEAC_DMRs	237
hypoEAC_DMRs	766
hypoEAC_DMRs	915
hypoEAC_DMRs	406
hypoEAC_DMRs	911
hypoEAC_DMRs	436
hypoEAC_DMRs	889
hypoEAC_DMRs	410
hypoEAC_DMRs	1033
hypoEAC_DMRs	853
hypoEAC_DMRs	780
hypoEAC_DMRs	1015
hypoEAC_DMRs	932
hypoEAC_DMRs	574
hypoEAC_DMRs	999
hypoEAC_DMRs	421
hypoEAC_DMRs	713
hypoEAC_DMRs	1170
hypoEAC_DMRs	2069
hypoEAC_DMRs	466
hypoEAC_DMRs	1120
hypoEAC_DMRs	1034
hypoEAC_DMRs	1293
hypoEAC_DMRs	587
hypoEAC_DMRs	1898
hypoEAC_DMRs	1275
hypoEAC_DMRs	1515
hypoEAC_DMRs	490
hypoEAC_DMRs	1308
hypoEAC_DMRs	735
hypoEAC_DMRs	964
hypoEAC_DMRs	1066
hypoEAC_DMRs	899
hypoEAC_DMRs	417
hypoEAC_DMRs	901
hypoEAC_DMRs	782
hypoEAC_DMRs	936
hypoEAC_DMRs	849
hypoEAC_DMRs	2282
hypoEAC_DMRs	378
hypoEAC_DMRs	796
hypoEAC_DMRs	1981
hypoEAC_DMRs	1711
hypoEAC_DMRs	689
hypoEAC_DMRs	724
hypoEAC_DMRs	1410
hypoEAC_DMRs	355
hypoEAC_DMRs	1000
hypoEAC_DMRs	855
hypoEAC_DMRs	316
hypoEAC_DMRs	2012
hypoEAC_DMRs	1253
hypoEAC_DMRs	1143
hypoEAC_DMRs	700
hypoEAC_DMRs	720
hypoEAC_DMRs	1144
hypoEAC_DMRs	1024
hypoEAC_DMRs	1134
hypoEAC_DMRs	959
hypoEAC_DMRs	1298
hypoEAC_DMRs	934
hypoEAC_DMRs	1686
hypoEAC_DMRs	688
hypoEAC_DMRs	813
hypoEAC_DMRs	1604
hypoEAC_DMRs	1683
hypoEAC_DMRs	877
hypoEAC_DMRs	960
hypoEAC_DMRs	581
hypoEAC_DMRs	1298
hypoEAC_DMRs	2042
hypoEAC_DMRs	2315
hypoEAC_DMRs	1527
