region	EAC_hypoDMRs	ESCC_hypoDMRs
chr1:125180234-125180235	0	0
chr16:46399430-46399431	0	0
chr16:46389892-46389893	0	0
chr16:46391129-46391130	0	0
chr16:46398631-46398632	0	0
chr16:34583482-34583483	0	0
chr13:18213057-18213058	0	0
chr13:18212030-18212031	0	0
chr1:143214703-143214704	0	0
chr1:125182474-125182475	0	0
chr1:143213229-143213230	0	0
chr1:125183673-125183674	0	0
chr1:143217408-143217409	0	0
chr17:41773326-41773327	0	0
chr17:38871608-38871609	1	0
chr18:108155-108156	0	0
chr5:49659891-49659892	0	0
chr4:49710770-49710771	0	0
chr18:107384-107385	0	0
chr17:39705996-39705997	0	0
chr5:49658551-49658552	0	0
chr16:34581513-34581514	0	0
chr13:18213616-18213617	0	0
chr4:49149460-49149461	0	0
chr17:26619686-26619687	0	0
chr12:43848213-43848214	0	0
chr4:49709437-49709438	0	0
chr1:143233016-143233017	0	0
chr17:39782656-39782657	0	0
chr1:143262881-143262882	0	0
chr5:49661055-49661056	0	0
chrY:56763510-56763511	0	0
chr10:80204264-80204265	0	0
chr17:39652453-39652454	0	0
chr12:45991070-45991071	0	0
chr17:26603912-26603913	0	0
chr1:143192998-143192999	0	0
chr1:143264664-143264665	0	0
chr17:38733124-38733125	0	0
chr4:190179559-190179560	0	0
chr12:124914736-124914737	0	0
chr1:143192261-143192262	0	0
chr7:20219919-20219920	1	0
chr4:49711663-49711664	0	0
chr16:34592731-34592732	0	0
chr12:47820065-47820066	0	0
chr2:47034475-47034476	0	0
chr16:46394238-46394239	0	0
chr1:143255569-143255570	0	0
chr15:77070121-77070122	0	0
chr16:46393180-46393181	0	0
chr1:143253095-143253096	0	0
chr15:100713407-100713408	0	0
chr4:78552575-78552576	0	0
chr1:143254678-143254679	0	0
chr2:233422642-233422643	1	0
chr10:5547136-5547137	0	0
chr2:54572458-54572459	0	0
chr7:105012522-105012523	0	0
chr8:101079298-101079299	1	0
chr22:18730610-18730611	0	0
chr15:77068243-77068244	1	0
chr1:143239659-143239660	0	0
chr10:42080584-42080585	0	0
chr1:16173373-16173374	0	0
chr10:5548998-5548999	0	0
chr10:69459043-69459044	1	0
chr1:234960861-234960862	1	0
chr10:42079791-42079792	0	0
chr2:54574273-54574274	1	0
chr1:16143960-16143961	0	0
chr2:218289080-218289081	0	0
chr3:172750419-172750420	0	0
chr2:200377937-200377938	1	0
chr20:47359324-47359325	0	0
chr14:55127298-55127299	1	0
chr2:200405805-200405806	0	0
chr10:61836743-61836744	0	0
chr10:133689422-133689423	0	0
chr1:143251852-143251853	0	0
chr10:133688396-133688397	0	0
chr15:77067591-77067592	1	0
chr1:67686893-67686894	0	0
chr12:46473162-46473163	0	0
chr1:143222198-143222199	0	0
chr13:41060355-41060356	0	0
chr1:143195113-143195114	0	0
chr17:75645551-75645552	1	0
chr5:16521818-16521819	1	0
chr12:46473827-46473828	0	0
chr5:168314917-168314918	1	0
chrY:11722015-11722016	0	0
chr10:42078582-42078583	0	0
chr10:61837441-61837442	0	0
chr16:46395254-46395255	0	0
chrY:11723310-11723311	0	0
chr1:143231416-143231417	0	0
chr3:156825566-156825567	1	0
chr12:47038446-47038447	0	0
chr12:133079635-133079636	0	0
chr10:62024518-62024519	1	0
chr14:55127813-55127814	1	0
chr2:201116742-201116743	0	0
chr12:12872475-12872476	0	0
chr11:65181841-65181842	0	0
chr3:172749053-172749054	0	0
chr18:3603134-3603135	0	0
chr1:202010465-202010466	0	0
chr14:93043663-93043664	0	0
chr17:59829352-59829353	0	0
chr4:142550296-142550297	0	0
chr5:49661753-49661754	0	0
chr11:130181783-130181784	0	0
chr22:36370130-36370131	1	0
chr1:202108534-202108535	0	0
chr16:34574070-34574071	0	0
chr2:234880420-234880421	0	0
chr7:130995846-130995847	0	0
chr17:42519177-42519178	0	0
chr4:76600674-76600675	1	0
chr1:17597201-17597202	0	0
chr12:12403922-12403923	1	0
chr1:143202709-143202710	0	0
chr11:129014249-129014250	1	0
chr13:27953007-27953008	1	0
chr8:127247409-127247410	0	0
chr15:100722506-100722507	0	0
chr17:59837785-59837786	0	0
chr2:172442745-172442746	0	0
chr1:185317597-185317598	0	0
chr7:130997043-130997044	0	0
chr11:16924177-16924178	0	0
chr2:223861592-223861593	1	0
chr16:324521-324522	0	0
chr2:219124992-219124993	1	0
chr12:122097983-122097984	1	0
chr13:100099380-100099381	1	0
chr1:183472074-183472075	0	0
chr13:26956625-26956626	0	0
chr1:234723994-234723995	0	0
chr2:235001378-235001379	1	0
chr13:27966163-27966164	0	0
chr13:112723015-112723016	0	0
chr1:47323749-47323750	1	0
chr8:117948047-117948048	0	0
chr9:91193812-91193813	0	0
chr21:10272491-10272492	0	0
chr7:73833205-73833206	0	0
