chrom	start	end	Methylation	NNscore	cor
chr16	27361494	27361494	1	0.190938007831573	-0.28714049278547
chr16	27361587	27361587	1	0.087760204076767	-0.28898155918835
chr16	27361880	27361880	0.736842	0.195293700695038	-0.288900059121995
chr16	27361924	27361924	1	0.774286925792694	-0.281248553755263
chr16	27361994	27361994	0.961538	0.763703393936157	-0.27779707147979
chr16	27362103	27362103	0.956522	0.939424669742584	-0.278939537239591
chr16	27362258	27362258	0.947368	0.11256388425827	-0.27458447526144
chr16	27362396	27362396	1	0.860996460914612	-0.26942961416762
chr16	27362532	27362532	1	0.960521364212036	-0.267283940076378
chr16	27362732	27362732	1	0.934919834136963	-0.281806620979566
chr16	27362778	27362778	1	0.155927085876465	-0.281352020630066
chr16	27362863	27362863	1	0.0660261988639832	-0.273610751298597
chr16	27362984	27362984	0.958333	0.190690475702286	-0.288087639275649
chr16	27363087	27363087	0.948718	0.531487113237381	-0.300205368342082
chr16	27363353	27363353	0.555556	0.990176343917847	-0.305776126996829
chr16	27363422	27363422	0.857143	0.0564331412315369	-0.292540244700293
chr16	27363458	27363458	0.956522	0.0484213948249817	-0.294659270054474
chr16	27363610	27363610	0.933333	0.665710616111755	-0.296536012126614
chr16	27364266	27364266	1	0.181680989265442	-0.295333280631488
chr16	27364592	27364592	0.967742	0.0552590608596802	-0.28927495577891
chr16	27364598	27364598	0.967742	0.016742742061615	-0.296323496701985
chr16	27364805	27364805	1	0.899763178825378	-0.297933463920287
chr16	27365309	27365309	0.962963	0.105175173282623	-0.296051446542392
chr16	27365352	27365352	0.96	0.00900546908378601	-0.295530254511431
chr16	27365363	27365363	1	0.00152928233146667	-0.295523328512732
chr16	27365501	27365501	0.96875	0.0341939389705658	-0.296090524960894
chr16	27365671	27365671	0.958333	0.923718428611755	-0.296725693749848
chr16	27365719	27365719	0.909091	0.712815082073212	-0.299538315020681
chr16	27365906	27365906	0.925926	0.967726695537567	-0.293666890809131
chr16	27366027	27366027	0.967742	0.199608314037323	-0.293717835265341
chr16	27366058	27366058	0.965517	0.91889556646347	-0.293751346160593
