region	EAC_hypoDMRs	ESCC_hypoDMRs
chr8:127795765-127795766	0	0
chr8:127794543-127794544	0	0
chr8:127401427-127401428	0	0
chr8:127854697-127854698	0	1
chr8:127661456-127661457	0	1
chr8:127632861-127632862	0	1
chr18:3652870-3652871	0	0
chr9:136624076-136624077	0	0
chr2:24084382-24084383	0	0
chr9:136109832-136109833	0	0
chr9:136108584-136108585	0	0
chr11:534773-534774	0	0
chr12:52152404-52152405	0	0
chr1:3717158-3717159	0	0
chr17:19753335-19753336	0	0
chr22:31254156-31254157	0	0
chr11:10899666-10899667	0	0
chr3:189834137-189834138	0	1
chr1:209816139-209816140	0	1
chr7:100272275-100272276	0	0
chr11:94707102-94707103	0	0
chr10:89645273-89645274	0	0
chr11:1830832-1830833	0	0
chr13:113837438-113837439	0	0
chr11:10900796-10900797	0	0
chr18:3593729-3593730	0	0
chr16:592698-592699	0	0
chr5:138505087-138505088	0	0
chr22:31647276-31647277	0	1
chr18:811894-811895	0	0
chr8:127223066-127223067	0	0
chr9:136297082-136297083	0	0
chr11:119692232-119692233	0	0
chr11:65421321-65421322	0	0
chr7:2523609-2523610	0	0
chr8:127294671-127294672	0	0
chr17:40176949-40176950	0	0
chr12:68808940-68808941	0	0
chr18:3449606-3449607	0	0
chr3:53270072-53270073	0	0
chr17:19707307-19707308	0	0
chr7:56009915-56009916	0	0
chr9:129333156-129333157	0	1
chr18:3623587-3623588	0	0
chr8:127852273-127852274	0	1
chr3:126753435-126753436	0	1
chr16:85385121-85385122	0	0
chr14:22979380-22979381	0	0
chr5:151572869-151572870	0	0
chr9:134380175-134380176	0	0
chr18:3626385-3626386	0	0
chr11:119696567-119696568	0	1
chr3:193830937-193830938	0	1
chr8:127312030-127312031	0	0
chr5:151571426-151571427	0	0
chr8:127209005-127209006	0	0
chr7:5430226-5430227	0	0
chr14:105087663-105087664	0	0
chr7:55774857-55774858	0	0
chr18:658290-658291	0	0
chr2:128305388-128305389	0	0
chr18:3261823-3261824	0	0
chr12:52521406-52521407	0	0
chr7:100867224-100867225	0	0
chr16:591964-591965	0	0
chr11:65382314-65382315	0	0
chr14:51382731-51382732	0	0
chr8:143939007-143939008	0	0
chr16:10594789-10594790	0	0
chr9:129332335-129332336	0	1
chr11:16097719-16097720	0	0
chr19:1028308-1028309	0	0
chr16:75305453-75305454	0	0
chr18:3618337-3618338	0	0
chr7:43778851-43778852	0	0
chr8:143940081-143940082	0	0
chr7:5427965-5427966	0	0
chr19:47231343-47231344	0	0
chr9:134371885-134371886	0	0
chr15:90191172-90191173	0	0
chr8:143936656-143936657	0	0
chr1:153566663-153566664	0	0
chr14:22980791-22980792	0	0
chr3:184741338-184741339	0	1
chr19:47232577-47232578	0	0
chr21:38904001-38904002	0	1
chr10:24383403-24383404	0	0
chr8:121334353-121334354	0	0
chr8:127687322-127687323	0	1
chr11:76784712-76784713	0	0
chr11:62600086-62600087	0	0
chr12:52522915-52522916	0	0
chr17:4854546-4854547	0	1
chr1:12618488-12618489	0	0
chr15:90192001-90192002	0	0
chr18:3453713-3453714	0	0
chr7:5596420-5596421	0	0
