PeakID (cmd=annotatePeaks.pl hyperDMR//specific_hyper_ESCC_Tumor.bed hg38 -cpu 4)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
135	chr14	60650480	60652076	+	0	NA	Intergenic	Intergenic	-1801	NM_005982	6495	Hs.633506	NM_005982	ENSG00000126778	SIX1	BOS3|DFNA23|TIP39	SIX homeobox 1	protein-coding
90	chr9	113302790	113303321	+	0	NA	intron (NM_001371237, intron 1 of 4)	intron (NM_001371237, intron 1 of 4)	321	NM_001371236								
150	chr17	50636086	50637266	+	0	NA	intron (NM_003786, intron 1 of 30)	intron (NM_003786, intron 1 of 30)	1795	NM_001144070	8714	Hs.463421	NM_003786	ENSG00000108846	ABCC3	ABC31|EST90757|MLP2|MOAT-D|MRP3|cMOAT2	ATP binding cassette subfamily C member 3	protein-coding
102	chr10	114766507	114767214	+	0	NA	intron (NR_120628, intron 1 of 2)	intron (NR_120628, intron 1 of 2)	1444	NM_001322886	3983	Hs.438236	NM_002313	ENSG00000099204	ABLIM1	ABLIM|LIMAB1|LIMATIN|abLIM-1	actin binding LIM protein 1	protein-coding
42	chr4	110640019	110641222	+	0	NA	intron (NM_001204397, intron 1 of 6)	intron (NM_001204397, intron 1 of 6)	1503	NM_001204397	5308	Hs.643588	NM_000325	ENSG00000164093	PITX2	ARP1|ASGD4|Brx1|IDG2|IGDS|IGDS2|IHG2|IRID2|Otlx2|PTX2|RGS|RIEG|RIEG1|RS	paired like homeodomain 2	protein-coding
114	chr11	64876324	64876883	+	0	NA	intron (NM_006795, intron 1 of 4)	MIR3|SINE|MIR	2006	NR_162101	113218486		NR_162101		MIR10392	-	microRNA 10392	ncRNA
177	chr22	38753957	38754230	+	0	NA	intron (NM_001199579, intron 1 of 17)	intron (NM_001199579, intron 1 of 17)	1373	NM_001199580	25777	Hs.517622	NM_015374	ENSG00000100242	SUN2	UNC84B	Sad1 and UNC84 domain containing 2	protein-coding
55	chr6	138456649	138457463	+	0	NA	intron (NM_020464, intron 3 of 6)	AluSz|SINE|Alu	-21762	NR_036099	100423001		NR_036099	ENSG00000266555	MIR3145	mir-3145	microRNA 3145	ncRNA
113	chr11	13012001	13013055	+	0	NA	TTS (NM_001080521)	TTS (NM_001080521)	3212	NM_001080521	644943	Hs.134650	NM_001080521	ENSG00000189431	RASSF10	-	Ras association domain family member 10	protein-coding
121	chr12	22562145	22563449	+	0	NA	Intergenic	MLT2B2|LTR|ERVL	-18251	NM_001286177	9847	Hs.271014	NM_014802	ENSG00000111731	C2CD5	CDP138|KIAA0528	C2 calcium dependent domain containing 5	protein-coding
84	chr8	28364824	28366153	+	0	NA	intron (NM_018660, intron 1 of 9)	intron (NM_018660, intron 1 of 9)	20972	NM_018660	55893	Hs.435535	NM_018660	ENSG00000186918	ZNF395	HDBP-2|HDBP2|HDRF-2|PBF|PRF-1|PRF1|Si-1-8-14	zinc finger protein 395	protein-coding
129	chr13	49938423	49939466	+	0	NA	Intergenic	Intergenic	-2443	NM_001127482	57213	Hs.44235	NM_020456	ENSG00000123178	SPRYD7	C13orf1|CLLD6	SPRY domain containing 7	protein-coding
96	chr10	32971343	32972725	+	0	NA	Intergenic	Intergenic	-13804	NM_002211	3688	Hs.643813	NM_002211	ENSG00000150093	ITGB1	CD29|FNRB|GPIIA|MDF2|MSK12|VLA-BETA|VLAB	integrin subunit beta 1	protein-coding
54	chr6	56540745	56541869	+	0	NA	intron (NM_001144770, intron 53 of 94)	intron (NM_001144770, intron 53 of 94)	101582	NM_015548	667	Hs.604915	NM_001723	ENSG00000151914	DST	BP240|BPA|BPAG1|CATX-15|CATX15|D6S1101|DMH|DT|EBSB2|HSAN6|MACF2	dystonin	protein-coding
137	chr15	71528964	71529926	+	0	NA	intron (NM_024817, intron 6 of 16)	intron (NM_024817, intron 6 of 16)	-17791	NM_001286429	79875	Hs.387057	NM_024817	ENSG00000187720	THSD4	ADAMTSL-6|ADAMTSL6|FVSY9334|PRO34005	thrombospondin type 1 domain containing 4	protein-coding
162	chr20	10985003	10985988	+	0	NA	Intergenic	Intergenic	-41049	NR_146878	728434	Hs.570365	NR_146878	ENSG00000125899	C20orf187	-	chromosome 20 open reading frame 187 (putative)	ncRNA
32	chr3	71059499	71061521	+	0	NA	intron (NR_146142, intron 7 of 19)	intron (NR_146142, intron 7 of 19)	4414	NM_001349344	27086	Hs.59368	NM_032682	ENSG00000114861	FOXP1	12CC4|HSPC215|MFH|QRF1|hFKH1B	forkhead box P1	protein-coding
85	chr8	27766322	27766678	+	0	NA	intron (NR_156432, intron 1 of 7)	intron (NR_156432, intron 1 of 7)	6140	NM_001304529	55246	Hs.445512	NM_018246	ENSG00000147419	CCDC25	-	coiled-coil domain containing 25	protein-coding
175	chr22	36369082	36370274	+	0	NA	intron (NM_002473, intron 1 of 40)	intron (NM_002473, intron 1 of 40)	18389	NM_002473	4627	Hs.474751	NM_002473	ENSG00000100345	MYH9	BDPLT6|DFNA17|EPSTS|FTNS|MATINS|MHA|NMHC-II-A|NMMHC-IIA|NMMHCA	myosin heavy chain 9	protein-coding
140	chr15	45064430	45064841	+	0	NA	intron (NM_003104, intron 4 of 8)	intron (NM_003104, intron 4 of 8)	41440	NM_003104	6652	Hs.878	NM_003104	ENSG00000140263	SORD	HEL-S-95n|RDH|SDH|SORD1|XDH	sorbitol dehydrogenase	protein-coding
152	chr17	46189758	46190319	+	0	NA	intron (NM_001193465, intron 2 of 15).2	intron (NM_001193465, intron 2 of 15).2	2744	NM_001193466	284058	Hs.648744	NM_015443	ENSG00000120071	KANSL1	CENP-36|KDVS|KIAA1267|MSL1v1|NSL1|hMSL1v1	KAT8 regulatory NSL complex subunit 1	protein-coding
139	chr15	101439164	101440214	+	0	NA	intron (NM_138325, intron 2 of 13)	intron (NM_138325, intron 2 of 13)	50018	NM_138322	5046	Hs.498494	NM_002570	ENSG00000140479	PCSK6	PACE4|SPC4	proprotein convertase subtilisin/kexin type 6	protein-coding
