region	lessFDR	greatFDR	lessFDRType	greatFDRType
chr13:98569537-98570033	0.00105805652634441	0.999999957471351	1	0
chr13:27442343-27443516	0.00133277462645607	0.999999957471351	1	0
chr8:142728616-142729366	0.00116724246191393	0.999999957471351	1	0
chr17:27797594-27798481	0.00434422788898142	0.999999957471351	1	0
chr1:236349263-236349849	0.00105805652634441	0.999999957471351	1	0
chr2:10752306-10752723	0.00415650498596843	0.999999957471351	1	0
chr17:4241563-4241916	0.00295189342175862	0.999999957471351	1	0
chr8:80406505-80407459	0.00116724246191393	0.999999957471351	1	0
chr18:9736702-9737934	0.000972861591973918	0.999999957471351	1	0
chr8:118031145-118032258	0.00105805652634441	0.999999957471351	1	0
chr17:39916261-39918861	0.000972861591973918	0.999999957471351	1	0
chr13:30332437-30332712	0.00386467473600028	0.999999957471351	1	0
chr17:7258682-7260100	0.00232688804966328	0.999999957471351	1	0
chr17:60187207-60187793	0.000669460940242232	0.999999957471351	1	0
chr8:123749189-123749958	0.00105805652634441	0.999999957471351	1	0
chr17:27558962-27559679	0.00169484348295665	0.999999957471351	1	0
chr8:70666450-70667902	0.000257444166337806	0.999999957471351	1	0
chr7:99170621-99171112	0.00105805652634441	0.999999957471351	1	0
chr6:38556734-38556845	0.00402531295144222	0.999999957471351	1	0
chr11:102564500-102564777	0.00160017982818239	0.999999957471351	1	0
chr3:19364057-19364833	0.000263546727469431	0.999999957471351	1	0
chr2:9798872-9799667	0.00162993127930426	0.999999957471351	1	0
chr1:230299184-230299698	0.000922900561560599	0.999999957471351	1	0
chr2:111995159-111995565	0.000620962670063382	0.999999957471351	1	0
chr15:42573975-42574868	0.00212481244501136	0.999999957471351	1	0
chr6:13484218-13484862	0.00111520395760798	0.999999957471351	1	0
chr7:99246904-99246996	0.00214226631125029	0.999999957471351	1	0
chr1:168565265-168566114	0.000972861591973918	0.999999957471351	1	0
chr11:9606756-9607279	0.00116724246191393	0.999999957471351	1	0
chr13:106183437-106184044	0.00105805652634441	0.999999957471351	1	0
chr8:125648170-125649035	0.000257444166337806	0.999999957471351	1	0
chr11:67114596-67115438	0.00105805652634441	0.999999957471351	1	0
chr16:81451947-81452447	0.00392484481080391	0.999999957471351	1	0
chr8:144386752-144387974	0.00105805652634441	0.999999957471351	1	0
chr1:232678989-232679507	0.001123542091305	0.999999957471351	1	0
chr22:46195620-46196249	0.0011590880282151	0.999999957471351	1	0
chr7:102097108-102098245	0.00116724246191393	0.999999957471351	1	0
chr20:44400508-44401476	0.00330500346711458	0.999999957471351	1	0
chr2:86294905-86295451	0.00105805652634441	0.999999957471351	1	0
chr9:129980779-129981763	0.0012258927154042	0.999999957471351	1	0
chr9:95434050-95434663	0.00160017982818239	0.999999957471351	1	0
chr8:80396563-80398130	0.00187430994933931	0.999999957471351	1	0
chr5:10481126-10482222	0.00109914222059221	0.999999957471351	1	0
chr17:55332403-55333076	0.00206323360955581	0.999999957471351	1	0
chr10:30459354-30459524	0.00846091676597696	0.999999957471351	1	0
chr1:234823260-234824677	0.0028021755978313	0.999999957471351	1	0
chr12:52924759-52925588	0.00160017982818239	0.999999957471351	1	0
chr6:53187026-53187483	0.00162993127930426	0.999999957471351	1	0
chr19:38819573-38820602	0.00365111380933619	0.999999957471351	1	0
chr1:155636370-155637906	0.00105805652634441	0.999999957471351	1	0
chr8:95169370-95170143	0.00212481244501136	0.999999957471351	1	0
chr6:34674050-34674345	0.00105805652634441	0.999999957471351	1	0
chr11:62425377-62425663	0.00116724246191393	0.999999957471351	1	0
chr7:17206012-17207585	0.000284845622884013	0.999999957471351	1	0
chr20:17877201-17878173	0.000723413535855743	0.999999957471351	1	0
chr18:8723027-8723808	0.00134203503902326	0.999999957471351	1	0
chr8:8923504-8923885	0.0028021755978313	0.999999957471351	1	0
chr16:3006033-3007324	0.00359736524563696	0.999999957471351	1	0
chr19:18504328-18505100	0.0984471415710665	0.999999957471351	0	0
chr20:41124764-41125244	0.00105805652634441	0.999999957471351	1	0
chr11:3148495-3148967	0.00430298664676524	0.999999957471351	1	0
chr6:52898996-52899573	0.00226591254414036	0.999999957471351	1	0
chr15:52369821-52370341	0.00167031540669327	0.999999957471351	1	0
chr16:78483407-78483937	0.000873083638000698	0.999999957471351	1	0
chr3:129656664-129657623	0.000922900561560599	0.999999957471351	1	0
chr11:63613129-63613405	0.00445961181677733	0.999999957471351	1	0
chr7:155960785-155961436	0.00105805652634441	0.999999957471351	1	0
chr22:46202728-46203814	0.00201892065708792	0.999999957471351	1	0
chr22:46264377-46265000	0.00350867356897657	0.999999957471351	1	0
chr6:30763131-30764014	0.00162993127930426	0.999999957471351	1	0
chr3:194855269-194855511	0.0018037729232759	0.999999957471351	1	0
chr6:43277169-43278872	0.0029583786712268	0.999999957471351	1	0
chr3:171676528-171677461	0.00335695122387934	0.999999957471351	1	0
chr7:76403808-76404103	0.00412361226508116	0.999999957471351	1	0
chr6:156715926-156716640	0.00424929558261256	0.999999957471351	1	0
chr1:184479271-184480145	0.0013089002181285	0.999999957471351	1	0
chr5:6660106-6660831	0.0020487545383557	0.999999957471351	1	0
chr8:94814650-94815504	0.00272297310857232	0.999999957471351	1	0
chr8:133727991-133728981	0.0026793429128015	0.999999957471351	1	0
chr16:19236383-19237131	0.00523399745432927	0.999999957471351	1	0
chr3:177135908-177136424	0.00123749617563815	0.999999957471351	1	0
chr7:6990058-6990513	0.00386926376666139	0.999999957471351	1	0
chr17:57376724-57377426	0.00116724246191393	0.999999957471351	1	0
chr11:74479245-74479874	0.00187430994933931	0.999999957471351	1	0
chr8:53731033-53731631	0.00178618335586593	0.999999957471351	1	0
