region	chr	start	end	ESCC_1	ESCC_2	ESCC_3	ESCC_4	ESCC_5	ESCC_6	ESCC_7	ESCC_8	ESCC_9	ESCC_10	ESCC_11	ESCC_12	ESCC_13	ESCC_14	ESCC_15	ESCC_16	ESCC_17	ESCC_19	ESCC_20	ESCC_21	ESCC_22	ESCC_Nonmalignant_1	ESCC_Nonmalignant_2	ESCC_Nonmalignant_3	ESCC_Nonmalignant_53F	ESCC_Nonmalignant_54M	EAC_1	EAC_2	EAC_3	EAC_4	EAC_6	GEJ_1	GEJ_2	GEJ_3	GEJ_4	GEJ_5	GEJ_6	GEJ_7	GEJ_Nonmalignant_1	GEJ_Nonmalignant_2	GEJ_Nonmalignant_3	GEJ_Nonmalignant_4	GEJ_Nonmalignant_5	GEJ_Nonmalignant_6	GEJ_Nonmalignant_7
chr12_52520000_52530000	chr12	52520000	52530000	0.5004	0.6647	0.5205	0.5687	0.5983	0.4493	0.4057	0.5424	0.6143	0.4335	0.6697	0.5261	0.6392	0.7185	0.534	0.6085	0.6658	0.559	0.5769	0.6247	0.46	0.544	0.5335	0.5492	0.6356	0.5371	0.2337	0.6111	0.6718	0.7818	0.6554	0.7168	0.5974	0.7009	0.6896	0.5757	0.7813	0.7641	0.7197	0.7345	0.8063	0.6396	0.7018	0.6448	0.7725
chr12_52530000_52540000	chr12	52530000	52540000	0.787	0.6822	0.7362	0.6737	0.7283	0.6355	0.6558	0.7623	0.7763	0.8488	0.811	0.7868	0.8139	0.7803	0.8662	0.841	0.8191	0.8457	0.8029	0.7213	0.7274	0.7662	0.742	0.6984	0.7706	0.7163	0.3516	0.7634	0.7181	0.8283	0.6927	0.7308	0.7226	0.7295	0.724	0.6303	0.692	0.7487	0.8269	0.7508	0.7366	0.7167	0.7345	0.716	0.7396
chr12_52540000_52550000	chr12	52540000	52550000	0.8104	0.7672	0.7297	0.7358	0.7459	0.693	0.6995	0.7548	0.8132	0.79	0.8471	0.8075	0.8089	0.8528	0.8634	0.8311	0.8316	0.8925	0.8413	0.7084	0.5845	0.7896	0.7254	0.7316	0.7748	0.7423	0.3219	0.748	0.7274	0.7963	0.6821	0.7355	0.663	0.733	0.7291	0.5918	0.6811	0.7095	0.804	0.7625	0.7471	0.7362	0.7515	0.6808	0.7764
chr12_52550000_52560000	chr12	52550000	52560000	0.8432	0.7484	0.7012	0.7531	0.7252	0.7324	0.7197	0.8114	0.8212	0.8724	0.8588	0.799	0.7535	0.7646	0.8677	0.7508	0.8267	0.8435	0.8102	0.7311	0.6445	0.8479	0.7874	0.7686	0.7939	0.8104	0.203	0.7798	0.6193	0.7201	0.6518	0.6704	0.5328	0.7048	0.6641	0.5183	0.6561	0.7035	0.7606	0.7719	0.7339	0.6932	0.6934	0.615	0.7656
chr12_52560000_52570000	chr12	52560000	52570000	0.8543	0.7493	0.7112	0.7689	0.7214	0.7102	0.7105	0.7888	0.8455	0.7897	0.8506	0.772	0.8003	0.7694	0.8536	0.8266	0.8259	0.8915	0.8418	0.769	0.7095	0.8337	0.8408	0.8273	0.8019	0.8289	0.2438	0.7739	0.6223	0.7592	0.6641	0.74	0.5286	0.6871	0.6515	0.5213	0.6658	0.7213	0.7359	0.7744	0.7686	0.742	0.7633	0.6478	0.7552
chr12_52570000_52580000	chr12	52570000	52580000	0.7276	0.7483	0.7736	0.7321	0.7507	0.6841	0.6833	0.7552	0.8116	0.8375	0.8573	0.7587	0.7702	0.8081	0.8692	0.8302	0.8237	0.8606	0.7601	0.7421	0.6816	0.7938	0.7538	0.7517	0.7768	0.7982	0.2436	0.8201	0.7106	0.8463	0.6852	0.7714	0.63	0.7545	0.7421	0.6571	0.7687	0.7831	0.7959	0.8686	0.8467	0.8343	0.7526	0.7094	0.8044
chr12_52580000_52590000	chr12	52580000	52590000	0.7312	0.6921	0.6856	0.7272	0.6752	0.6208	0.57	0.7108	0.7399	0.7558	0.7793	0.734	0.7146	0.7522	0.7465	0.6746	0.7369	0.7908	0.6662	0.6718	0.6963	0.6999	0.6833	0.691	0.6961	0.6971	0.2078	0.7875	0.6439	0.7792	0.6078	0.6863	0.5995	0.6777	0.6561	0.5749	0.6719	0.7197	0.7212	0.7601	0.7275	0.6661	0.6795	0.6213	0.7197
chr12_52590000_52600000	chr12	52590000	52600000	0.8639	0.7693	0.6803	0.7652	0.6936	0.7538	0.6835	0.7871	0.8015	0.8682	0.8757	0.8166	0.8003	0.8237	0.8457	0.7511	0.8171	0.8759	0.7111	0.7408	0.6768	0.8384	0.831	0.7877	0.8393	0.8458	0.2728	0.7522	0.5513	0.7934	0.6681	0.6931	0.5804	0.6722	0.6562	0.4219	0.5933	0.6828	0.7595	0.7539	0.7854	0.7122	0.6717	0.6483	0.7506
chr12_52600000_52610000	chr12	52600000	52610000	0.8569	0.7238	0.6341	0.746	0.6007	0.714	0.6226	0.7475	0.7329	0.8254	0.7926	0.7412	0.6888	0.6812	0.7994	0.7019	0.7624	0.8478	0.7049	0.661	0.5666	0.7764	0.7286	0.726	0.7663	0.7768	0.1752	0.8244	0.5881	0.7146	0.582	0.5882	0.5289	0.6446	0.5942	0.489	0.5831	0.6159	0.7211	0.7058	0.6866	0.6617	0.6586	0.6607	0.7466
chr12_52610000_52620000	chr12	52610000	52620000	0.8049	0.6834	0.6837	0.6719	0.6359	0.6191	0.5986	0.7728	0.7422	0.8057	0.7496	0.7284	0.665	0.7475	0.759	0.7036	0.6558	0.8698	0.7677	0.7421	0.6176	0.7314	0.6961	0.6913	0.7554	0.7348	0.2209	0.7786	0.5915	0.6478	0.6052	0.6652	0.5179	0.6989	0.5839	0.5535	0.6503	0.6537	0.6579	0.6276	0.7013	0.6529	0.6994	0.5852	0.7495
chr12_52620000_52630000	chr12	52620000	52630000	0.8253	0.7454	0.7243	0.7483	0.679	0.6877	0.6699	0.7771	0.7645	0.8646	0.8173	0.7115	0.7085	0.7432	0.8429	0.7278	0.7998	0.887	0.7247	0.7288	0.632	0.8341	0.8001	0.7974	0.8051	0.8135	0.3209	0.7819	0.7115	0.7745	0.6384	0.726	0.553	0.7201	0.6752	0.589	0.7331	0.6563	0.7492	0.7126	0.7296	0.7813	0.7183	0.6917	0.7351
chr12_52630000_52640000	chr12	52630000	52640000	0.7519	0.6684	0.6176	0.703	0.6581	0.6098	0.5638	0.7075	0.6884	0.7837	0.7819	0.6453	0.6913	0.6581	0.7769	0.6225	0.74	0.8356	0.6219	0.6663	0.568	0.7166	0.7055	0.7121	0.7412	0.7065	0.262	0.7537	0.6538	0.7205	0.546	0.6159	0.5358	0.596	0.6559	0.5846	0.7053	0.5844	0.7307	0.7305	0.7373	0.7437	0.6439	0.625	0.7768
