gene	motif	NumOfRegions	lowerOR	upperOR	OR	p.value	FDR	family	subfamily	GeneId	ESCCTumorMean	EACTumorMean	EACNormalMean	Genebiotype
TP63	P63_HUMAN.H11MO.0.A	3298	5.37311118137582	6.03952078382827	5.69622764048003	0	0	p53-related factors	p63	ENSG00000073282	105.037670982326	2.44462834821655	3.81445273562813	protein_coding
TP53	P53_HUMAN.H11MO.0.A	2896	4.3447813107796	4.87393792221816	4.60180060715791	0	0	p53-related factors	p53	ENSG00000141510	21.8074331144347	19.5327039898631	11.43088746524	protein_coding
FOSL2	FOSL2_HUMAN.H11MO.0.A	1725	2.57297983878595	2.91456769552858	2.73879384038381	2.1397309824566e-201	2.14508030991274e-199	Fos-related factors	Fos factors	ENSG00000075426	52.920416395402	45.5399994124449	63.5917475844143	protein_coding
FOSL1	FOSL1_HUMAN.H11MO.0.A	1724	2.53433018722928	2.87063045505701	2.69772474883763	7.37243104882817e-196	5.91268970116019e-194	Fos-related factors	Fos factors	ENSG00000175592	43.731453433248	31.3024361755002	7.69720753452857	protein_coding
JUN	JUN_HUMAN.H11MO.0.A	1681	2.50259332855878	2.83742319806412	2.66535013777073	2.92923943743739e-188	1.95770835735399e-186	Jun-related factors	Jun factors	ENSG00000177606	78.0136179800651	55.9660687599204	57.4049820456571	protein_coding
FOS	FOS_HUMAN.H11MO.0.A	1688	2.4437493263327	2.76941183904849	2.60184537315481	1.4480186898492e-180	8.29507849470755e-179	Fos-related factors	Fos factors	ENSG00000170345	106.157306173387	111.541623050691	101.268793172129	protein_coding
FOSB	FOSB_HUMAN.H11MO.0.A	1690	2.40361943122913	2.7237947280115	2.55906440333052	3.26611169416256e-175	1.63713848669898e-173	Fos-related factors	Fos factors	ENSG00000125740	16.3965425928314	18.4689645852873	13.8303691895616	protein_coding
JUND	JUND_HUMAN.H11MO.0.A	1662	2.25529578966617	2.55615205463088	2.40122294477882	1.09523908714592e-152	3.99264430859557e-151	Jun-related factors	Jun factors	ENSG00000130522	117.184294665797	140.518148513586	104.1608352761	protein_coding
JUNB	JUNB_HUMAN.H11MO.0.A	1643	2.16525515995102	2.45470910817508	2.30575740255894	4.99785148058131e-139	1.43152745979508e-137	Jun-related factors	Jun factors	ENSG00000171223	179.859364129864	120.584892789278	105.050290355943	protein_coding
NFE2L2	NF2L2_HUMAN.H11MO.0.A	1398	1.55782826137671	1.77512203897818	1.66324521309705	3.55717681580223e-50	4.45758719730217e-49	Jun-related factors	NF-E2-like factors	ENSG00000116044	58.4842745101539	28.1919279871167	48.1945427886857	protein_coding
MAFK	MAFK_HUMAN.H11MO.0.A	1036	1.44015772035549	1.665722391613	1.54934386791692	1.50315774038906e-30	9.4182227171252e-30	Maf-related factors	Small Maf factors	ENSG00000198517	9.48401889386914	12.8748779870085	7.47093584742714	protein_coding
RUNX1	RUNX1_HUMAN.H11MO.0.A	1370	1.44878261654897	1.6517097569852	1.54724016041326	2.27481970733426e-37	1.90042229716883e-36	Runt-related factors	Runx1 (PEBP2alphaB, CBF-alpha2, AML-1)	ENSG00000159216	9.93197455091303	7.52712766473705	4.36802250231	protein_coding
RUNX3	RUNX3_HUMAN.H11MO.0.A	1260	1.42662703136524	1.63275996259393	1.5265991735368	2.60160299843161e-33	1.76820813961199e-32	Runt-related factors	Runx3 (PEBP2alphaC, CBF-alpha3, AML-2)	ENSG00000020633	10.4114110606786	6.26024701707699	2.417287247001	protein_coding
MAFB	MAFB_HUMAN.H11MO.0.B	1122	1.41342188468297	1.62719651004154	1.51700146651541	9.41531541464301e-30	5.72051739586643e-29	Maf-related factors	Large Maf factors	ENSG00000204103	37.5450353148739	10.3458251215512	11.1973922046094	protein_coding
CBFB	PEBB_HUMAN.H11MO.0.C	1331	1.3660912058296	1.55901654026786	1.45969628034476	2.79690228463012e-28	1.64934972961276e-27			ENSG00000067955	17.6502128227999	15.9433720384996	6.87615177359714	protein_coding
ATF4	ATF4_HUMAN.H11MO.0.A	834	1.29703414758992	1.5193852580843	1.40443248858618	0.000000000000000167934808226852	0.000000000000000716402745733697	ATF-4-related factors	ATF-4	ENSG00000128272	82.7483702322671	81.0166372260615	73.9296313629	protein_coding
MAFG	MAFG_HUMAN.H11MO.0.A	1023	1.29732641070035	1.50062493875944	1.3957014198052	0.00000000000000000113335427976841	0.00000000000000000522385133548426	Maf-related factors	Small Maf factors	ENSG00000197063	12.6412425782454	11.2041203026873	7.36305332865	protein_coding
STAT3	STAT3_HUMAN.H11MO.0.A	967	1.28541002518031	1.49161496616357	1.38516152655788	0.0000000000000000369379505037259	0.000000000000000164579090577712	STAT factors	STAT3	ENSG00000168610	35.1451266683217	36.9279333551295	30.3888756841143	protein_coding
TFAP2A	AP2A_HUMAN.H11MO.0.A	1415	1.28676830154217	1.46405036833391	1.37282129466797	0.0000000000000000000019896546121057	0.0000000000000000000102288653776203	AP-2	AP-2alpha	ENSG00000137203	13.5953342115807	4.2742182267355	2.87371394087186	protein_coding
SOX4	SOX4_HUMAN.H11MO.0.B	1515	1.2851340953668	1.45790053735778	1.3690314085506	0.000000000000000000000525849775894669	0.00000000000000000000277454947544424	SOX-related factors	Group C	ENSG00000124766	36.1728157232089	28.7833552793737	19.48555732428	protein_coding
SOX9	SOX9_HUMAN.H11MO.0.B	827	1.2498757166577	1.46461729351477	1.35355576337297	0.000000000000187338579576087	0.000000000000674162366970358	SOX-related factors	Group E	ENSG00000125398	31.9810305802044	79.4962866135674	43.0014349061571	protein_coding
SOX2	SOX2_HUMAN.H11MO.0.A	1789	1.26895140988374	1.43090027593207	1.34766771246003	0.000000000000000000000409183420903136	0.00000000000000000000218776735709543	SOX-related factors	Group B	ENSG00000181449	47.2375674898852	4.55726448256549	5.82617258930357	protein_coding
CEBPG	CEBPG_HUMAN.H11MO.0.B	910	1.2204344425703	1.42103414614877	1.31738612213309	0.00000000000279876979425973	0.0000000000091244446138061	C/EBP-related	C/EBP	ENSG00000153879	14.8916813805062	19.1246246594678	8.58489846355286	protein_coding
STAT5B	STA5B_HUMAN.H11MO.0.A	926	1.21250799592887	1.41019878065843	1.30808213937511	0.00000000000614487474663614	0.0000000000198717320435572	STAT factors	STAT5B	ENSG00000173757	8.33458859745197	10.701129177001	10.3945622840057	protein_coding
STAT1	STAT1_HUMAN.H11MO.0.A	879	1.20333698410271	1.40414135866153	1.30040420142526	0.000000000047082506861504	0.00000000014303094887472	STAT factors	STAT1	ENSG00000115415	70.8173775516208	64.5395499084718	30.9112098376	protein_coding
FOXK1	FOXK1_HUMAN.H11MO.0.A	1360	1.21389884604733	1.383256077006	1.2960817198473	0.0000000000000133557655949944	0.0000000000000519967184814832	Forkhead box (FOX) factors	FOXK	ENSG00000164916	9.65520546713605	8.73744455428833	7.98954785918286	protein_coding
TEAD1	TEAD1_HUMAN.H11MO.0.A	1121	1.2075646669518	1.38915873813607	1.2955540766989	0.000000000000749822677489235	0.00000000000252671339221162	TEF-1-related factors	TEF-1 (TEAD-1, TCF-13)	ENSG00000187079	8.79996035817355	9.21832235722872	9.77114900593429	protein_coding
FOXO3	FOXO3_HUMAN.H11MO.0.B	945	1.20057740650363	1.39457474099642	1.29444814455339	0.0000000000255024031139953	0.0000000000792749120055204	Forkhead box (FOX) factors	FOXO	ENSG00000118689	11.9969610019629	15.0806188578476	20.2602391992571	protein_coding
SMARCA1	SMCA1_HUMAN.H11MO.0.C	1129	1.19975350496763	1.37965662591569	1.28692334268348	0.00000000000249915135218616	0.00000000000821442370677581	Myb/SANT domain factors	SMARCA-like factors	ENSG00000102038	8.88002977619618	8.44101259945245	8.52646824064043	protein_coding
LEF1	LEF1_HUMAN.H11MO.0.A	1372	1.20470666471026	1.37214880776932	1.28599678972783	0.00000000000006223701284721	0.000000000000233243384595619	TCF-7-related factors	LEF-1 (TCF-1alpha) [1]	ENSG00000138795	5.51884900140566	2.73670113127194	1.47280714371071	protein_coding
