chrom	start	end	num	length
chr1	856440	860787	1	4347
chr1	860787	862325	2	1538
chr1	862325	863872	3	1547
chr1	863872	865810	4	1938
chr1	865810	866260	5	450
chr1	866260	870044	6	3784
chr1	870044	876775	7	6731
chr1	876775	896767	8	19992
chr1	896767	897038	7	271
chr1	897038	897471	6	433
chr1	897471	897800	4	329
chr1	897800	899084	3	1284
chr1	899084	901531	2	2447
chr1	901531	929651	1	28120
chr1	1575250	1579389	1	4139
chr1	1579389	1608668	2	29279
chr1	1608668	1609187	1	519
chr1	1935750	1949634	1	13884
chr1	1949634	1956504	2	6870
chr1	1956504	1985709	3	29205
chr1	1985709	1999688	4	13979
chr1	1999688	2001405	5	1717
chr1	2001405	2002809	7	1404
chr1	2002809	2005494	8	2685
chr1	2005494	2026471	9	20977
chr1	2026471	2027133	8	662
chr1	2027133	2028142	7	1009
chr1	2028142	2029877	6	1735
chr1	2029877	2034694	5	4817
chr1	2034694	2037857	4	3163
chr1	2037857	2040553	3	2696
chr1	2040553	2048681	2	8128
chr1	2048681	2048849	1	168
chr1	2418064	2420568	1	2504
chr1	2420568	2422712	2	2144
chr1	2422712	2437065	3	14353
chr1	2437065	2487161	4	50096
chr1	2487161	2492487	3	5326
chr1	2492487	2493330	2	843
chr1	2493330	2501253	1	7923
chr1	2632637	2639112	1	6475
chr1	2639112	2639504	3	392
chr1	2639504	2640285	4	781
chr1	2640285	2643772	5	3487
chr1	2643772	2645154	6	1382
chr1	2645154	2646968	7	1814
chr1	2646968	2653944	8	6976
chr1	2653944	2783924	9	129980
chr1	2783924	2784196	10	272
chr1	2784196	2796232	11	12036
chr1	2796232	2809091	12	12859
chr1	2809091	2837471	11	28380
chr1	2837471	2840582	10	3111
chr1	2840582	2875900	9	35318
chr1	2875900	2915586	8	39686
chr1	2915586	2918867	9	3281
chr1	2918867	2919736	10	869
chr1	2919736	3003751	11	84015
chr1	3003751	3031942	10	28191
chr1	3031942	3053795	11	21853
chr1	3053795	3054669	10	874
chr1	3054669	3056473	9	1804
chr1	3056473	3058335	8	1862
chr1	3058335	3060096	7	1761
chr1	3060096	3061001	6	905
chr1	3061001	3063089	5	2088
chr1	3063089	3063575	4	486
chr1	3063575	3072865	3	9290
chr1	3072865	3081094	2	8229
chr1	3081094	3085205	1	4111
chr1	3435842	3459570	1	23728
chr1	3516061	3521693	1	5632
chr1	3521693	3550636	2	28943
chr1	3550636	3579056	3	28420
chr1	3579056	3605353	2	26297
chr1	3605353	3614819	1	9466
chr1	3651484	3655009	1	3525
chr1	3655009	3658455	2	3446
chr1	3658455	3668610	4	10155
chr1	3668610	3682990	5	14380
chr1	3682990	3713868	4	30878
chr1	3713868	3715933	3	2065
chr1	3715933	3725535	2	9602
chr1	3725535	3749734	1	24199
chr1	3749734	3766509	2	16775
chr1	3766509	3769791	1	3282
chr1	3910724	3910784	1	60
chr1	3910784	3912412	2	1628
chr1	3912412	3914632	3	2220
chr1	3914632	3919034	4	4402
chr1	3919034	3919080	5	46
chr1	3919080	3921072	6	1992
chr1	3921072	3921460	8	388
